id,answer,question,hint,desc
1397bebc-9fd9-4352-94fe-e691632dffd1,Access Control List,Cyber Security: Đâu là tên đầy đủ của ACL?,- Thuật ngữ cơ bản An ninh mạng,
7175f8bc-6a44-4f07-9fc9-bf49deae65b2,Application Programming Interface,Cyber Security: Đâu là tên đầy đủ của API?,- Thuật ngữ IT cơ bản,
1a49d484-c256-4f20-bfd5-5a42968965b5,Artificial Intelligence,Cyber Security: Đâu là tên đầy đủ của AI?,- Thuật ngữ IT cơ bản,
44d7c125-23e9-42f4-aabf-bb5ee812d367,Command Line Interface,Cyber Security: Đâu là tên đầy đủ của CLI?,- Thuật ngữ IT cơ bản,
140858e1-e5ba-4d77-ab3e-c4096536b79b,Database Management System,Cyber Security: Đâu là tên đầy đủ của DBMS?,- Thuật ngữ IT cơ bản,
1be076bc-6b4e-4d23-b32a-f863ccb0b1bc,Distributed Denial of Service,Cyber Security: Đâu là tên đầy đủ của DDoS?,- Thuật ngữ cơ bản An ninh mạng,
180e53b4-3443-4397-91ed-bb2d393530e9,Graphical User Interface,Cyber Security: Đâu là tên đầy đủ của GUI?,- Thuật ngữ IT cơ bản,
a578b968-514a-4cd5-8f93-eb045c83bfde,Infrastructure as a Service,Cyber Security: Đâu là tên đầy đủ của IaaS?,- Đám mây và ảo hóa,
196ab627-2e40-48b7-97e3-4be2855fc4b1,Internet of Things,Cyber Security: Đâu là tên đầy đủ của IoT?,- Thuật ngữ IT cơ bản,
075a2498-799b-4bb0-afbe-a267469aa201,Intrusion Detection System,Cyber Security: Đâu là tên đầy đủ của IDS?,- Thuật ngữ cơ bản An ninh mạng,
41841927-69a2-4c03-abcc-4020a0b8a7b3,Intrusion Prevention System,Cyber Security: Đâu là tên đầy đủ của IPS?,- Thuật ngữ cơ bản An ninh mạng,
a964e8d2-3e6c-456d-8a41-4ba9a9f679d1,Machine Learning,Cyber Security: Đâu là tên đầy đủ của ML?,- Thuật ngữ IT cơ bản,
9f5a2e10-98fe-4f1c-968e-bc16a25424e5,Multi-Factor Authentication,Cyber Security: Đâu là tên đầy đủ của MFA?,- Thuật ngữ cơ bản An ninh mạng,
4a6fc52a-14b3-4d26-af8d-d4d043c1936f,Operating System,Cyber Security: Đâu là tên đầy đủ của OS?,- Thuật ngữ IT cơ bản,
c68f9a1f-cfa8-4e18-a83d-37d2186499c4,Platform as a Service,Cyber Security: Đâu là tên đầy đủ của PaaS?,- Đám mây và ảo hóa,
4379a797-3ddd-4a56-b919-0ac8135bf153,Security Information and Event Management,Cyber Security: Đâu là tên đầy đủ của SIEM?,- Thuật ngữ cơ bản An ninh mạng,
7e120b8b-a836-4e01-b93d-995404cb37b9,Software as a Service,Cyber Security: Đâu là tên đầy đủ của SaaS?,- Đám mây và ảo hóa,
a9c165a2-9a0c-4f32-8ee4-6ae8237481a8,Structured Query Language,Cyber Security: Đâu là tên đầy đủ của SQL?,- Thuật ngữ IT cơ bản,
9c75bf22-5d81-40f0-bbf7-c742dea287f2,Two-Factor Authentication,Cyber Security: Đâu là tên đầy đủ của 2FA?,- Thuật ngữ cơ bản An ninh mạng,
892ce820-014a-4a66-9f5a-e8a6e9b3a5e7,Virtual Machine,Cyber Security: Đâu là tên đầy đủ của VM?,- Đám mây và ảo hóa,
40d8e574-e618-4233-974a-5109f6b8ef68,Virtual Private Cloud,Cyber Security: Đâu là tên đầy đủ của VPC?,- Đám mây và ảo hóa,
