id,answer,question,desc,ref
4030bbb1-499e-4aa9-a334-99b3d7b18ad7,"-- ends options, ensures file is read. {BRIGHT_CYAN}(Dấu -- kết thúc tùy chọn, đảm bảo file được đọc đúng.)",What does {BRIGHT_GREEN}cat -- access.log{RESET} do? {BRIGHT_CYAN}(Lệnh cat -- access.log dùng để làm gì?),,
cedff9ea-557f-4403-b524-32006ce0ecf1,"Backslash escapes newline, still prints file. {BRIGHT_CYAN}(Dấu \ thoát xuống dòng, vẫn in file.)",What does {BRIGHT_GREEN}cat access.log{RESET} do? {BRIGHT_CYAN}(Lệnh cat access.log\ dùng để làm gì?),,
25e4d3b0-479a-43dd-aca0-79500855706d,"Command substitution, prints file contents. {BRIGHT_CYAN}(Dùng command substitution để in nội dung file.)","What does {BRIGHT_GREEN}echo ""$(<access.log)""{RESET} do? {BRIGHT_CYAN}(Lệnh echo ""$(<access.log)"" dùng để làm gì?)",,
9e401cae-91d2-416a-857e-aa7ffc1d5de6,Concatenates all .log files. {BRIGHT_CYAN}(Ghép và in tất cả file có đuôi .log.),What does {BRIGHT_GREEN}cat *.log{RESET} do? {BRIGHT_CYAN}(Lệnh cat *.log dùng để làm gì?),,
256e544d-f75e-4404-a85c-719193d6e2db,Concatenates all files ending with log. {BRIGHT_CYAN}(Ghép và in tất cả file kết thúc bằng log.),What does {BRIGHT_GREEN}cat *log{RESET} do? {BRIGHT_CYAN}(Lệnh cat *log dùng để làm gì?),,
1e8690ec-e3d2-429a-ba71-5bc91e6a391b,Concatenates all files matching access.log*. {BRIGHT_CYAN}(Ghép và in các file khớp với access.log*.),What does {BRIGHT_GREEN}cat access.log*{RESET} do? {BRIGHT_CYAN}(Lệnh cat access.log* dùng để làm gì?),,
be008260-0fa5-4981-a3ab-f3eba0fdbb9a,Concatenates all files starting with a. {BRIGHT_CYAN}(Ghép và in tất cả file bắt đầu bằng chữ a.),What does {BRIGHT_GREEN}cat a*{RESET} do? {BRIGHT_CYAN}(Lệnh cat a* dùng để làm gì?),,
9170c61c-7a1a-4bc1-9609-ee13a252dffe,Concatenates all files starting with acc. {BRIGHT_CYAN}(Ghép và in các file bắt đầu bằng acc.),What does {BRIGHT_GREEN}cat acc*{RESET} do? {BRIGHT_CYAN}(Lệnh cat acc* dùng để làm gì?),,
7c1c30e6-ee79-4906-bd69-75ccb460328d,Concatenates all files starting with access. {BRIGHT_CYAN}(Ghép và in các file bắt đầu bằng access.),What does {BRIGHT_GREEN}cat access*{RESET} do? {BRIGHT_CYAN}(Lệnh cat access* dùng để làm gì?),,
de9efa6f-ac0a-4b7d-8486-93ffc5a07836,Concatenates all files starting with access.. {BRIGHT_CYAN}(Ghép và in các file bắt đầu bằng access..),What does {BRIGHT_GREEN}cat access.{RESET} do? {BRIGHT_CYAN}(Lệnh cat access. dùng để làm gì?),,
50207d64-9f56-4751-8c30-792f75ee9a3d,Concatenates and displays all files in the current directory. {BRIGHT_CYAN}(Ghép và hiển thị toàn bộ file trong thư mục hiện tại.),What does {BRIGHT_GREEN}cat *{RESET} do? {BRIGHT_CYAN}(Lệnh cat * dùng để làm gì?),,
f214c6a6-616e-4a95-b610-869c0e2ded2e,Concatenates files matching *access.log*. {BRIGHT_CYAN}(Ghép và in file khớp với *access.log*.),What does {BRIGHT_GREEN}cat access.log{RESET} do? {BRIGHT_CYAN}(Lệnh cat access.log dùng để làm gì?),,
b34955cd-3d73-498b-a72d-28d3bbb6d7df,Concatenates files matching access.l*. {BRIGHT_CYAN}(Ghép và in file khớp với access.l*.),What does {BRIGHT_GREEN}cat access.l*{RESET} do? {BRIGHT_CYAN}(Lệnh cat access.l* dùng để làm gì?),,
6f5b0e8c-f0e1-4f37-9137-8e9ff636175b,"Concatenates files starting with a and ending with g. {BRIGHT_CYAN}(Ghép và in file bắt đầu bằng a, kết thúc bằng g.)",What does {BRIGHT_GREEN}cat ag{RESET} do? {BRIGHT_CYAN}(Lệnh cat ag dùng để làm gì?),,
56cefda1-b7d2-4d3e-ac87-0402b50d9a4d,"Concatenates files starting with a and ending with log. {BRIGHT_CYAN}(Ghép và in file bắt đầu bằng a, kết thúc bằng log.)",What does {BRIGHT_GREEN}cat alog{RESET} do? {BRIGHT_CYAN}(Lệnh cat alog dùng để làm gì?),,
e106a0c5-bd9b-4a1f-b716-bb9d767999d0,Concatenates files starting with ac. {BRIGHT_CYAN}(Ghép và in file bắt đầu bằng ac.),What does {BRIGHT_GREEN}cat ac*{RESET} do? {BRIGHT_CYAN}(Lệnh cat ac* dùng để làm gì?),,
c17dcc53-a934-465a-99f7-eb7533ef5713,Concatenates files starting with acce. {BRIGHT_CYAN}(Ghép và in file bắt đầu bằng acce.),What does {BRIGHT_GREEN}cat acce*{RESET} do? {BRIGHT_CYAN}(Lệnh cat acce* dùng để làm gì?),,
508c9931-385a-4598-b7b5-51779ff37db7,Concatenates files starting with acces. {BRIGHT_CYAN}(Ghép và in file bắt đầu bằng acces.),What does {BRIGHT_GREEN}cat acces*{RESET} do? {BRIGHT_CYAN}(Lệnh cat acces* dùng để làm gì?),,
f56f67a4-9368-439c-91b4-479384888f98,"Displays access.log (quotes have no effect here). {BRIGHT_CYAN}(Hiển thị file access.log, dấu ngoặc kép không ảnh hưởng.)","What does {BRIGHT_GREEN}cat ""access.log""{RESET} do? {BRIGHT_CYAN}(Lệnh cat ""access.log"" dùng để làm gì?)",,
35bbba1e-56c7-4fdf-923e-8c31894c7c30,Displays access.log from the current directory. {BRIGHT_CYAN}(Hiển thị file access.log trong thư mục hiện tại.),What does {BRIGHT_GREEN}cat ./access.log{RESET} do? {BRIGHT_CYAN}(Lệnh cat ./access.log dùng để làm gì?),,
6c482c26-2c78-4cde-b00f-5196ce374d6f,Displays access.log. {BRIGHT_CYAN}(Hiển thị file access.log.),What does {BRIGHT_GREEN}cat 'access.log'{RESET} do? {BRIGHT_CYAN}(Lệnh cat 'access.log' dùng để làm gì?),,
48969c7c-ed40-4176-acf2-1ff69fa92bb6,Displays file one screen at a time. {BRIGHT_CYAN}(Hiển thị nội dung file theo từng trang màn hình.),What does {BRIGHT_GREEN}pg access.log{RESET} do? {BRIGHT_CYAN}(Lệnh pg access.log dùng để làm gì?),,
1e196b3b-fd2b-4b4a-9907-477f1a76ce82,"Displays file, semicolon has no effect. {BRIGHT_CYAN}(Hiển thị file, dấu ; không ảnh hưởng.)",What does {BRIGHT_GREEN}cat access.log;{RESET} do? {BRIGHT_CYAN}(Lệnh cat access.log; dùng để làm gì?),,
