id,answer,question,desc,ref
b291dee4-40ce-4be0-8340-be0f34546021,Abu Dhabi,Tên thủ đô của Các Tiểu vương quốc Ả Rập Thống nhất?,,
01b89005-230b-40be-9f9e-7a72aaf90496,Amman,Tên thủ đô của Vương quốc Hashemite Jordan?,,
76cc3163-bbd1-41c5-9710-b3a6e4265900,Ankara,Tên thủ đô của Cộng hòa Thổ Nhĩ Kỳ?,,
0ac9fc68-158a-4d71-8443-7b106c321cd3,Ashgabat,Tên thủ đô của Cộng hòa Turkmenistan?,,
d505693c-01a2-4d7b-887f-dd589d729d3a,Astana,Tên thủ đô của Cộng hòa Kazakhstan?,,
b062ffaf-61f3-4396-96eb-1faa43c696df,Baghdad,Tên thủ đô của Cộng hòa Iraq?,,
1c904154-1baf-4415-9bd1-35b0ea2f93df,Baku,Tên thủ đô của Cộng hòa Azerbaijan?,,
5be9cdda-78c4-4b42-a477-d4e2018e0090,Bandar Seri Begawan,Tên thủ đô của Brunei Darussalam?,,
9847bed1-51e0-499d-842f-12e8f601a7d0,Bangkok (Băng Cốc),Tên thủ đô của Vương quốc Thái Lan?,,
091dba83-36d4-4a65-a4e2-a30959b48242,Beijing (Bắc Kinh),Tên thủ đô của Cộng hòa Nhân dân Trung Hoa?,,
a7626453-1fb6-4707-b673-bc59ff7ca4de,Beirut,Tên thủ đô của Cộng hòa Liban?,,
d5db07ed-aa20-4c8c-b8ea-3d96ce476864,Bishkek,Tên thủ đô của Cộng hòa Kyrgyzstan?,,
c33484f6-1180-4c18-8c62-41652a9a44fe,Cairo,Tên thủ đô của Cộng hòa Ả Rập Ai Cập?,,
674c8431-4f54-4374-8e45-a0f66ba2406d,Damascus,Tên thủ đô của Cộng hoà Ả Rập Syria?,,
a63a6e32-5ba8-4b6e-956a-c02250ae469c,Dhaka,Tên thủ đô của Cộng hoà Nhân dân Bangladesh?,,
c500d763-7f08-40e0-8e55-cdd1144540ff,Dili,Tên thủ đô của Cộng hòa Dân chủ Timor-Leste?,,
ad1511a6-6bf0-4f47-be85-c08a35c696a7,Doha,Tên thủ đô của Nhà nước Qatar?,,
05a86198-a7ce-4b66-ad1f-b06b97376334,Dushanbe,Tên thủ đô của Cộng hoà Tajikistan?,,
4b81f28d-6018-433b-bfd5-f3482db7c2a0,Hà Nội,Tên thủ đô của Cộng hòa Xã hội Chủ nghĩa Việt Nam?,,
a7610a08-2d9f-47d3-8a9e-7156ad852238,Islamabad,Tên thủ đô của Cộng hòa Hồi giáo Pakistan?,,
