id,answer,question,hint,desc
8d51cc32-2021-4931-8060-cd61fdd91c34,Algorithm,"Một chuỗi hữu hạn các chỉ thị có tính chặt chẽ về mặt toán học, thường được sử dụng để giải quyết một lớp các bài toán cụ thể hoặc để thực hiện một phép tính. Nói đến thuật ngữ nào sau đây?",,* Algorithm: Thuật toán
fcf6c36e-d7f1-4f44-9a50-db9897118501,Applied science,Việc áp dụng phương pháp khoa học và kiến thức khoa học để đạt được các mục tiêu thực tiễn. Nói đến thuật ngữ nào sau đây?,,* Applied science: Khoa học ứng dụng
4a419fac-de51-4764-bce3-dd500d198d3d,Automation,"Thuật ngữ chỉ một loạt các công nghệ giúp giảm thiểu sự can thiệp của con người vào các quy trình, chủ yếu thông qua việc xác định trước các tiêu chí ra quyết định, mối quan hệ giữa các quy trình con và các hành động liên quan, cũng như tích hợp những thiết lập sẵn đó vào máy móc. Nói đến thuật ngữ nào sau đây?",,* Automation: Tự động hóa
acca943b-ff06-402e-98b9-b3d992910497,Computation,Bất kỳ loại phép tính số học hay phi số học nào được định nghĩa rõ ràng. Nói đến thuật ngữ nào sau đây?,,* Computation: Tính toán
51046856-7bd6-4b7d-bf3c-5ef3bf4e8f10,Computer architecture,"Thiết kế khái niệm và cấu trúc hoạt động của một hệ thống máy tính, xác định cách các thành phần được tổ chức và tương tác với nhau để thực thi các chương trình một cách hiệu quả. Nói đến thuật ngữ nào sau đây?",,* Computer architecture: Kiến trúc máy tính
c84d2364-e738-43c2-8604-e4eaa2f469ff,Computer science,"Ngành nghiên cứu về tính toán, thông tin và tự động hóa. Nói đến thuật ngữ nào sau đây?",,* Computer science: Khoa học máy tính
e3b0a1e3-530a-4225-a023-20d6432364f7,Computer scientist,Nhà khoa học chuyên nghiên cứu học thuật về khoa học máy tính và công nghệ. Nói đến thuật ngữ nào sau đây?,,* Computer scientist: Nhà khoa học máy tính
7210cc8d-b8f7-46b0-944a-19aeeeefcd0f,Data structure,"Một phương pháp sắp xếp và lưu trữ dữ liệu, thường được lựa chọn nhằm đảm bảo việc truy cập dữ liệu được thực hiện một cách hiệu quả. Nói đến thuật ngữ nào sau đây?",,* Data structure: Cấu trúc dữ liệu
2dc0fb82-c423-4453-a9a3-c684476df9dd,Information,Một khái niệm trừu tượng chỉ những gì có khả năng cung cấp thông tin. Nói đến thuật ngữ nào sau đây?,,* Information: Thông tin
8de0c7c7-8efd-4d9c-a3bb-1902b3888cb6,Information theory,"Ngành nghiên cứu toán học về việc định lượng, lưu trữ và truyền tải một loại thông tin cụ thể được định nghĩa theo toán học. Nói đến thuật ngữ nào sau đây?",,* Information theory: Lý thuyết thông tin
c8174da5-e1b9-4773-aac6-90a6994651e5,Science,"Ngành học có hệ thống, nhằm xây dựng và tổ chức kiến thức dưới dạng các lời giải thích có thể kiểm chứng về tự nhiên và xã hội. Nói đến thuật ngữ nào sau đây?",,* Science: Khoa học
45a8c005-d1e2-4342-bdcc-3b9b06a83827,Software,Các chương trình máy tính có chức năng điều khiển hoạt động của máy tính. Nói đến thuật ngữ nào sau đây?,,* Software: Phần mềm
09b78607-c041-44cc-ad8a-380d70b04ff6,Theoretical computer science,"Một nhánh của khoa học máy tính và toán học, tập trung vào các nền tảng trừu tượng và toán học của quá trình tính toán. Nói đến thuật ngữ nào sau đây?",,* Theoretical computer science: Khoa học máy tính lý thuyết
63fcc886-81e9-474d-8b4c-8715023ad3e7,Theory of computation,"Ngành nghiên cứu về những bài toán nào có thể được giải quyết trên một mô hình tính toán bằng cách sử dụng thuật toán, mức độ hiệu quả của việc giải quyết đó và ở mức độ nào. Nói đến thuật ngữ nào sau đây?",,* Theory of computation: Lý thuyết tính toán
