id,answer,question,hint,desc
1b62b9be-2900-4484-abb5-4f736bf33766,Data,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì các hàng hóa được xem như là:,,
f28d7d0c-4f64-4557-8af2-fded1e41a4f9,Data,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì các kiện hàng được xem như là:,,
fc2cf94d-792c-4ab8-8e75-c9df363db394,Firewall,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì cảnh sát giao thông được xem như là:,,
ed71dc65-20d2-483a-ae82-0e8f1b563d9b,Frame,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì xe được xem như là:,,
c96a92e8-1790-4bd9-8458-bafdf325abfe,IP Address,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì địa chỉ nhà được xem như là:,,
ee93d243-c52e-4394-b732-588cbcb06dcc,MAC Address,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì tên người trong khu phố được xem như là:,,
0da14fa1-7b0a-40b9-b8b0-324f30d33580,NAT,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì trạm chuyển đổi biến số xe từ nội địa sang quốc tế được xem như là:,,
5345dcec-76d9-44a8-92fa-a4740be79476,Packet,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì xe được xem như là:,,
6d9c099b-2f5c-4b31-87d8-7d3b25823094,Protocol,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì luật giao thông được xem như là:,,
9e6e14d4-3f62-49ef-98bd-6b4fba94d400,Router,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì ngã ba được xem như là:,,
7bc24db3-29a9-4988-94cd-84c31640094b,Router,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì ngã tư được xem như là:,,
3bce3a87-afa1-4c8e-b2ef-a111b9c2ac09,Router,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì trạm điều hướng liên tỉnh được xem như là:,,
52acb01f-abb2-4685-ab8b-dd76e05fa886,Switch,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì bảng chỉ dẫn được xem như là:,,
5674516d-fc74-4d3d-84f8-0d90d4d954c4,Switch,Network: Hãy tưởng tượng hệ thống giao thông trong một thành phố giống như mạng máy tính. Vậy thì hệ thống phân làn được xem như là:,,
