id,answer,question,hint,desc
2f4833c2-c9b9-4db9-b425-57fea4abad72,Initial Access > Content Injection,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể truy cập và liên tục giao tiếp với nạn nhân bằng cách đưa nội dung độc hại vào hệ thống thông qua lưu lượng mạng trực tuyến.,,"- Thay vì thu hút nạn nhân đến các tải trọng độc hại được lưu trữ trên một trang web bị xâm nhập (tức là Mục tiêu lái xe theo sau là Thỏa hiệp lái xe), kẻ thù ban đầu có thể truy cập nạn nhân thông qua các kênh truyền dữ liệu bị xâm phạm, nơi họ có thể thao túng lưu lượng truy cập và / hoặc chèn nội dung của riêng họ. Các kênh mạng trực tuyến bị xâm phạm này cũng có thể được sử dụng để cung cấp tải trọng bổ sung (tức là Chuyển công cụ đầu vào) và các dữ liệu khác đến các hệ thống đã bị xâm phạm."
6e3bf1a8-2bf5-4a3e-88a2-c84acf62ce0d,Initial Access > Drive-by Compromise,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể truy cập vào hệ thống thông qua người dùng truy cập trang web trong quá trình duyệt web bình thường.,,"- Có nhiều cách để phân phối mã khai thác đến trình duyệt (tức là Drive-by Target), bao gồm:"
c0c16d20-c029-4b1b-bb42-11bb3a0febc0,Initial Access > Exploit Public-Facing Application,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể cố gắng khai thác điểm yếu trong máy chủ hoặc hệ thống kết nối Internet để truy cập mạng ban đầu,,"- Điểm yếu trong hệ thống có thể là lỗi phần mềm, trục trặc tạm thời hoặc cấu hình sai."
8bb7f1a3-4901-42f9-bdfa-751e51f6df25,Initial Access > External Remote Services,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể tận dụng các dịch vụ từ xa hướng ra bên ngoài để ban đầu truy cập và / hoặc tồn tại trong mạng.,,"- Các dịch vụ từ xa như VPN, Citrix và các cơ chế truy cập khác cho phép người dùng kết nối với các tài nguyên mạng nội bộ của doanh nghiệp từ các vị trí bên ngoài. Thường có các cổng dịch vụ từ xa quản lý kết nối và xác thực thông tin xác thực cho các dịch vụ này. Các dịch vụ như Windows Remote Management và VNC cũng có thể được sử dụng bên ngoài."
98d671ab-05ff-458b-9c06-e36fbd13e3d0,Initial Access > Hardware Additions,"Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể đưa các phụ kiện máy tính, phần cứng mạng hoặc các thiết bị máy tính khác vào một hệ thống hoặc mạng có thể được sử dụng như một vectơ để truy cập.",,"- Thay vì chỉ kết nối và phân phối tải trọng thông qua bộ nhớ di động (tức là Sao chép thông qua phương tiện di động), các bổ sung phần cứng mạnh mẽ hơn có thể được sử dụng để giới thiệu các chức năng và / hoặc tính năng mới vào một hệ thống sau đó có thể bị lạm dụng."
24fe6a9b-05aa-47f4-8a56-84836d769a2e,Initial Access > Phishing,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể gửi tin nhắn lừa đảo để truy cập vào hệ thống nạn nhân.,,"- Tất cả các hình thức lừa đảo đều được cung cấp bằng kỹ thuật xã hội điện tử. Lừa đảo có thể được nhắm mục tiêu, được gọi là spearphishing. Trong spearphishing, một cá nhân, công ty hoặc ngành cụ thể sẽ là mục tiêu của đối thủ. Nói chung, đối thủ có thể tiến hành lừa đảo không nhắm mục tiêu, chẳng hạn như trong các chiến dịch spam phần mềm độc hại hàng loạt."
c3c20e88-cdb1-40f9-ad69-0ab97c8219aa,Initial Access > Phishing: Spearphishing Attachment,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể gửi email lừa đảo với tệp đính kèm độc hại trong nỗ lực truy cập vào hệ thống nạn nhân.,,"- Tệp đính kèm spearphishing là một biến thể cụ thể của spearphishing. Tệp đính kèm spearphishing khác với các hình thức spearphishing khác ở chỗ nó sử dụng phần mềm độc hại được đính kèm với email. Tất cả các hình thức spearphishing đều được cung cấp bằng kỹ thuật xã hội điện tử nhắm mục tiêu vào một cá nhân, công ty hoặc ngành cụ thể. Trong trường hợp này, kẻ thù đính kèm một tệp vào email spearphishing và thường dựa vào User Execution để thực thi. Spearphishing cũng có thể liên quan đến các kỹ thuật kỹ thuật xã hội, chẳng hạn như đóng giả là một nguồn đáng tin cậy."
1c6022b2-7814-41cc-b290-b41274879045,Initial Access > Phishing: Spearphishing Link,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể gửi email lừa đảo với liên kết độc hại để cố gắng truy cập vào hệ thống nạn nhân.,,"- Spearphishing có liên kết là một biến thể cụ thể của spearphishing. Nó khác với các hình thức lừa đảo khác ở chỗ nó sử dụng các liên kết để tải xuống phần mềm độc hại có trong email, thay vì đính kèm các tệp độc hại vào chính email, để tránh các biện pháp phòng thủ có thể kiểm tra các tệp đính kèm email. Spearphishing cũng có thể liên quan đến các kỹ thuật kỹ thuật xã hội, chẳng hạn như đóng giả là một nguồn đáng tin cậy."
bd5f1539-e07e-40b4-b611-ecf60ffaffb9,Initial Access > Phishing: Spearphishing via Service,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể gửi tin nhắn lừa đảo qua các dịch vụ của bên thứ ba trong nỗ lực truy cập vào hệ thống nạn nhân.,,- Spearphishing thông qua dịch vụ là một biến thể cụ thể của spearphishing. Nó khác với các hình thức lừa đảo khác ở chỗ nó sử dụng các dịch vụ của bên thứ ba thay vì trực tiếp qua các kênh email doanh nghiệp.
eba21b3c-c823-4031-85f4-b17351382bda,Initial Access > Phishing: Spearphishing Voice,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể sử dụng liên lạc bằng giọng nói để cuối cùng có quyền truy cập vào hệ thống của nạn nhân.,,"- Spearphishing voice là một biến thể cụ thể của spearphishing. Nó khác với các hình thức lừa đảo khác ở chỗ nó sử dụng việc thao túng người dùng cung cấp quyền truy cập vào hệ thống thông qua cuộc gọi điện thoại hoặc các hình thức liên lạc bằng giọng nói khác. Spearphishing thường liên quan đến các kỹ thuật kỹ thuật xã hội, chẳng hạn như đóng giả là nguồn đáng tin cậy (ví dụ: Mạo danh) và/hoặc tạo cảm giác cấp bách hoặc báo động cho người nhận."
