id,answer,question,desc,ref
05787818-d763-48bf-aa64-1e30fd51056f,2,Có bao nhiêu loại kiến trúc mạng?,"- Client-Server Architecture (Kiến trúc máy khách-máy chủ) là một loại kiến trúc mạng máy tính trong đó node có thể là server hoặc client. Tại đây, nút máy chủ có thể quản lý hành vi của nút máy khách.\n- Peer-to-peer Architecture (Kiến trúc ngang hàng) là kiểu kiến trúc không có bất kỳ khái niệm nào về máy chủ trung tâm. Mỗi thiết bị đều có thể hoạt động miễn phí với tư cách là máy khách hoặc máy chủ.",
1a0ce439-f9e3-4ed6-8edd-2a7afeb6b41e,5,Có bao nhiêu bước trong quy trình client (máy khách) tương tác với server (máy chủ),"- B1: Người dùng nhập URL (Uniform Resource Locator) - Người dùng gõ địa chỉ website (VD: www.example.com) vào thanh địa chỉ của trình duyệt.\n- B2: Tra cứu DNS (Domain Name System) - Trình duyệt gửi yêu cầu đến máy chủ DNS để chuyển đổi tên miền thành địa chỉ IP tương ứng.\n- B3: Thiết lập kết nối - Trình duyệt gửi yêu cầu HTTP hoặc HTTPS đến máy chủ sử dụng địa chỉ IP vừa được phân giải.\n- B4: Máy chủ phản hồi - Máy chủ gửi lại các tệp website (HTML, CSS, JavaScript, hình ảnh...).\n- B5: Trình duyệt hiển thị trang web (Render):\n\t+ DOM Interpreter: Phân tích tệp HTML để xây dựng cấu trúc trang.\n\t+ CSS Interpreter: Áp dụng kiểu dáng và định dạng.\n\t+ JavaScript Engine: Thêm tính tương tác (sử dụng JIT Compilation để tăng hiệu suất).",
bd5ca865-4e80-4f53-89c5-ceb8f1ff8380,5,Có bao nhiêu đặc điểm chính trong mạng máy tính?,"- Bảo mật (Security), Độ tin cậy (Reliability), Khả năng mở rộng (Scalability), Hiệu năng cao (High Performance), Chất lượng dịch vụ (Quality of Service – QoS)",
96dcee5b-281f-47a2-831a-5dde15f15431,6,Có bao nhiêu mục tiêu chính đề ra trong mạng?,"- Tiện lợi (Convenience): Giúp người dùng thao tác dễ dàng hơn.\n- Hiệu quả (Efficiency): Quản lý tài nguyên phần cứng hiệu quả để đạt hiệu suất cao hơn.\n- Quản lý tài nguyên (Resource Management): Phân bổ CPU, bộ nhớ, I/O và lưu trữ một cách công bằng, hợp lý.\n- Bảo mật (Security & Protection): Bảo vệ dữ liệu và tài nguyên khỏi truy cập trái phép.\n- Độ tin cậy & chịu lỗi (Reliability & Fault Tolerance): Đảm bảo hệ thống hoạt động ổn định và có khả năng phục hồi khi gặp sự cố.\n- Khả năng mở rộng (Scalability): Hỗ trợ sự gia tăng người dùng, tiến trình, và tài nguyên.",
8b4375e9-9196-48c3-8e3c-74c345ded861,Access Point (Điểm truy cập không dây),Thiết bị nào dùng để cung cấp khả năng kết nối không dây cho các thiết bị trong mạng và mở rộng từ mạng có dây thành mạng không dây?,,
c3912607-2d54-4403-9ae8-bcbe5a9d6e08,Brigde (Cầu nối mạng),"Thiết bị nào dùng để kết nối, lọc lưu lượng, giúp giảm lưu lượng mạng dư thừa giữa hai mạng hoặc hai phân đoạn mạng?",,
cbf72adc-b4f0-4df1-84be-f8b578320c7f,"Bảo vệ dữ liệu khỏi truy cập trái phép, tấn công mạng và virus. Sử dụng tường lửa, mã hóa và xác thực để đảm bảo an toàn.",Đâu là đặc điểm {BRIGHT_CYAN}bảo mật{RESET} trong mạng máy tính?,,
b02c54ec-a7c0-443e-8382-04a90c13f80a,Client (Máy khách),Thiết bị hoặc phần mềm khởi tạo quá trình giao tiếp bằng cách gửi yêu cầu dữ liệu hoặc dịch vụ đến máy chủ được gọi là?,,
e2b2d7d0-d1b4-446b-9b3b-0727b2dce106,Client-Server Architecture (Kiến trúc máy khách - máy chủ),"Kiến trúc phân tán, trong đó client (máy khách) gửi yêu cầu dịch vụ, còn server (máy chủ) chịu trách nhiệm cung cấp dịch vụ hoặc dữ liệu đó được gọi là?","- Mô hình này là nền tảng của rất nhiều hệ thống hiện đại — bao gồm website, email, và các nền tảng lưu trữ đám mây.",
a6c022af-1dbc-4d08-84f9-7ad907f5435a,"Có thể mở rộng, hỗ trợ thêm thiết bị/người dùng mà không giảm hiệu năng.",Đâu là đặc điểm {BRIGHT_CYAN}khả năng mở rộng{RESET} trong mạng máy tính?,,
