id,answer,question,hint,desc
9d9b7b46-92ad-40ab-a740-555c228305b6,"Là tiện ích dòng lệnh cơ bản, có chức năng chia nhỏ nội dung đầu ra.",Linux: [green]less[/] là gì?,,
5e21d338-8570-448c-a953-b453c1f1faba,"Là tiện ích dòng lệnh cơ bản, có chức năng cắt và dán đến nơi được chỉ định hoặc đổi tên.",Linux: [green]mv[/] là gì?,,
f1355629-e28e-490c-b596-796ee5a8280a,"Là tiện ích dòng lệnh cơ bản, có chức năng giải nén các tập tin mở rộng [blue].zip[/].",Linux: [green]unzip[/] là gì?,,
ba5920e9-5dc6-4734-a810-77fe17184ed1,"Là tiện ích dòng lệnh cơ bản, có chức năng in hướng dẫn sử dụng của tiện ích dòng lệnh cụ thể khác.",Linux: [green]man[/] là gì?,,
029a9e34-55c0-47be-90e4-fc0fb862da8c,"Là tiện ích dòng lệnh cơ bản, có chức năng in nội dung vừa nhập sau lệnh.",Linux: [green]echo[/] là gì?,,
444bdb71-fd56-43aa-976e-a3155c0e5e34,"Là tiện ích dòng lệnh cơ bản, có chức năng in phần cuối nội dung với số lượng có thể chỉ định.",Linux: [green]tail[/] là gì?,,
aefab4b1-64b0-4c35-89eb-10eb2339c434,"Là tiện ích dòng lệnh cơ bản, có chức năng in phần đầu nội dung với số lượng có thể chỉ định.",Linux: [green]head[/] là gì?,,
8ef042d0-54c7-49b3-b15b-01a4fc499e3d,"Là tiện ích dòng lệnh cơ bản, có chức năng in thông tin về kernel của hệ thống.",Linux: [green]uname[/] là gì?,,
a962ae8d-2480-40d7-b578-03b53a92e328,"Là tiện ích dòng lệnh cơ bản, có chức năng in thư mục hiện tại trên terminal.",Linux: [green]pwd[/] là gì?,,
96f2f810-fda8-48ac-b7ba-d3a27fa171b0,"Là tiện ích dòng lệnh cơ bản, có chức năng in tên người dùng hiện tại.",Linux: [green]whoami[/] là gì?,,
6153470d-9cfb-45ca-998d-7b1a147e349b,"Là tiện ích dòng lệnh cơ bản, có chức năng liên kết tập tin được chỉ định.",Linux: [green]ln[/] là gì?,,
c53c681c-f73d-45d8-99b4-cf72efe55e3e,"Là tiện ích dòng lệnh cơ bản, có chức năng liệt kê các thư mục và tập tin trong thư mục hiện tại hoặc được chỉ định.",Linux: [green]ls[/] là gì?,,
def5f400-97e5-405b-99c8-6782b5ad7821,"Là tiện ích dòng lệnh cơ bản, có chức năng làm sạch nội dung trên terminal.",Linux: [green]clear[/] là gì?,,
042966ce-acb6-453a-b665-d75247eb3485,"Là tiện ích dòng lệnh cơ bản, có chức năng nén các tập tin mở rộng [blue].zip[/].",Linux: [green]zip[/] là gì?,,
486a717f-af25-481a-9800-d61993fca2b2,"Là tiện ích dòng lệnh cơ bản, có chức năng nén và giải nén các tập tin mở rộng [blue].tar[/].",Linux: [green]tar[/] là gì?,,
31a46eb2-5af9-4fc6-93df-e3c2aa610e8e,"Là tiện ích dòng lệnh cơ bản, có chức năng nối các tập tin được chỉ định và in liên tiếp nội dung ra màn hình được chỉ định.",Linux: [green]cat[/] là gì?,,
f7964aff-df2d-495d-b43a-b0ae3aae07e7,"Là tiện ích dòng lệnh cơ bản, có chức năng sao chép và dán đến nơi được chỉ định hoặc thư mục hiện tại với một tên khác.",Linux: [green]cp[/] là gì?,,
b65300aa-564b-459a-a7c2-68827e425238,"Là tiện ích dòng lệnh cơ bản, có chức năng so sánh các tập tin và hiển thị byte đầu tiên khác nhau giữa chúng.",Linux: [green]cmp[/] là gì?,,
47637008-be8d-4ba6-bf80-c755b52346c7,"Là tiện ích dòng lệnh cơ bản, có chức năng so sánh hai tệp được sắp xếp và hiển thị các dòng duy nhất cho mỗi tệp, cũng như các dòng chung cho cả hai tệp.",Linux: [green]comm[/] là gì?,,
7a596a37-cd80-4bad-8a87-e32d0dace581,"Là tiện ích dòng lệnh cơ bản, có chức năng tìm kiếm văn bản dựa trên các mẫu, chuỗi hoặc ký tự cụ thể.",Linux: [green]grep[/] là gì?,,
a85b3b95-18f9-413a-8441-0c03b8009a75,"Là tiện ích dòng lệnh cơ bản, có chức năng tạo các thư mục mới được chỉ định trên terminal.",Linux: [green]mkdir[/] là gì?,,
e2a3cf0e-9c80-428e-95af-557aa97a244f,"Là tiện ích dòng lệnh cơ bản, có chức năng tạo tệp trống hoặc cập nhật thời gian tập tin hiện có.",Linux: [green]touch[/] là gì?,,
7ed1f359-ff9b-409e-8c83-6407052047af,"Là tiện ích dòng lệnh cơ bản, có chức năng xóa các thư mục và tập tin được chỉ định.",Linux: [green]rm[/] là gì?,,
3efddf89-d287-4e48-adc1-f55c1b8a0c53,"Là tiện ích dòng lệnh cơ bản, có chức năng điều hướng qua các thư mục được chỉ định.",Linux: [green]cd[/] là gì?,,
