id,answer,question,hint,desc
6a022684-5e02-47a6-af57-7e37a41e9fed,checkout counter,English - Translate: Quầy tính tiền,,
06aa2218-0d85-4d6f-a7bc-f1463c9800b8,deserve,English - Translate: Xứng đáng,,
3887cbf1-c131-4fd5-95f8-58a135e186c8,discount,English - Translate: Giảm giá,,
7fa809e9-e4e4-47f8-8f38-b28e6b2d28ea,enhance,English - Translate: Cải thiện,,
5b95b885-e327-4496-995a-1479089ad9fc,essential,English - Translate: Quan trọng,,
b126199f-1b72-46a7-b71d-50a8d6994435,price tag,English - Translate: Bảng giá,,
8168f2e4-5680-4bb8-9439-4d518377a4c1,require,English - Translate: Cần đến,,
6e1aea15-2bde-427c-90de-2c90f0d27379,travelator,English - Translate: Thang cuốn,,
15220789-812e-4c95-b651-cf65c8789285,want,English - Translate: Muốn,,
0f92afef-1f95-42c7-b51c-06e3587ff1bc,What happened?,English - Translate: Chuyện gì đã xảy ra?,,
7734f22c-2966-4757-9fd8-93a079add6fe,What's going on?,English - Translate: Có chuyện gì vậy?,,
e9b7f7f2-c4a4-4fae-b923-60ce08caa35a,You serious,English - Translate: Thật à.,,
