id,answer,question,desc,ref
c0be1e24-fa7f-4f83-8f24-56b7f701706b,172.16.0.5,Network Basic: Địa chỉ IP nào sau đây thuộc dải địa chỉ riêng (Private IP) theo chuẩn rfc 1918?,- Dải 172.16.0.0 đến 172.31.255.255 là dải địa chỉ riêng được quy định cho các mạng nội bộ. \n- Dải địa chỉ này thường được dùng trong các doanh nghiệp lớn hoặc môi trường ảo hóa.,
627a046f-d044-4c84-9561-36ac3b626106,255.255.255.0,Network - Basic: Subnet Mask mặc định của một địa chỉ IP lớp C (ví dụ: 192.168.1.1) là gì?,"- Lớp C dành 24 bit đầu tiên cho phần mạng, tương ứng với mặt nạ 255.255.255.0.",
e28fc471-a5b9-4619-896f-25918b910f0c,32,Network - Basic: Độ dài địa chỉ IPv4 có bao nhiêu bit?,"* Internet Protocol (IP): Giao thức mạng\n- IPv4 gồm 4 nhóm (octet), mỗi nhóm 8 bit, tổng cộng là 32 bit, cho phép khoảng 4 tỷ địa chỉ.",
83534984-dea5-44b1-867e-72f03691409d,48,Network - Basic: Độ dài địa chỉ MAC có bao nhiêu bit?,"* Media Access Control (MAC): Địa chỉ kiểm soát truy cập thiết bị/phương tiện\n- Địa chỉ MAC gồm 48 bit (6 octet), thường được viết dưới dạng 12 chữ số thập lục phân. \n- Nó gấp rưỡi độ dài của địa chỉ IPv4.",
ed7202e4-de3d-4c00-82a2-79fa756f3d9a,A,"Network Basic: Lớp nào trong địa chỉ IPv4 được thiết kế cho các mạng có số lượng máy chủ (hosts) cực lớn, với octet đầu tiên nằm trong khoảng từ 1 đến 126?","- Lớp A sử dụng 1 octet cho mạng và 3 octet cho máy chủ, cho phép hơn 16 triệu địa chỉ IP mỗi mạng.",
4a454972-1d53-4f18-a031-05de2dffd69a,Fiber Optic Cable,Network - Basic: Loại cáp nào sử dụng ánh sáng để truyền tải dữ liệu và có băng thông cực lớn?,"* Fiber Optic Cable: Cáp quang\n- Cáp quang truyền dữ liệu dưới dạng xung ánh sáng qua sợi thủy tinh, cho tốc độ rất cao và không bị nhiễu điện từ.",
465a6dec-3701-4f5d-9d8a-790b88ad4f34,Hexadecimal,"Network - Basic: Trong IPv6, các địa chỉ được biểu diễn dưới dạng nào?","* Hexadecimal (HEX): Số thập lục phân\n- IPv6 sử dụng 8 nhóm số thập lục phân, mỗi nhóm cách nhau bởi dấu hai chấm (:) để biểu diễn 128 bit. \n- Hệ đếm này bao gồm các chữ số từ 0-9 và các chữ cái từ A-F.",
23989b87-e041-4a85-8046-d395a5b289c3,Làm trung gian giữa máy khách và máy chủ đích để tăng tính bảo mật và kiểm soát,Network Basic: Chức năng chính của máy chủ Proxy là gì?,"- Proxy nhận yêu cầu từ máy khách, đại diện máy khách gửi yêu cầu đến đích và ẩn địa chỉ IP gốc của máy khách. \n- Nó đóng vai trò như một 'người đại diện' cho bạn khi truy cập Internet.",
05bf6626-5e6d-4b14-a312-c32b37ff5375,Network Address Translation,Network - Basic: Quá trình chuyển đổi một địa chỉ IP công cộng (Public IP) thành nhiều địa chỉ IP riêng (Private IP) trong mạng nội bộ được gọi là gì?,* Network Address Translation (NAT): Phiên dịch địa chỉ mạng\n- NAT (Network Address Translation) cho phép nhiều thiết bị trong mạng nội bộ dùng chung một địa chỉ IP công cộng để truy cập Internet.,
96319caf-c9c3-4a7d-9f99-0b14aeaba020,Network Protocols,"Network - Basic: Nội dung sau là định nghĩa của cái gì?\n- Tập hợp các quy tắc quy định cách dữ liệu được định dạng, truyền đi, nhận và xử lý giữa các thiết bị.","* Network Protocol: Giao thức mạng\n- Nếu không có giao thức, máy tính gửi đi một đống dữ liệu {BRIGHT_BLUE}0{RESET} và {BRIGHT_BLUE}1{RESET} nhưng máy nhận sẽ không biết đó là một bức ảnh, một email hay là một đoạn video.",
a31f4065-b9da-407d-a463-277a60a8e413,syn,"Network Basic: Trong quá trình bắt tay 3 bước của TCP, gói tin đầu tiên mà máy khách gửi cho máy chủ mang cờ nào?",* Synchronize (SYN): Đồng bộ\n- Gói SYN là bước khởi đầu để yêu cầu thiết lập một kết nối và đồng bộ hóa số thứ tự gói tin.,
25a838bf-01f9-437e-99ce-5cd0f3d9f204,Virtual Local Area Network,Network Basic: Kỹ thuật nào cho phép chia một mạng lớn thành nhiều mạng nhỏ hơn để tăng cường hiệu quả quản lý và bảo mật?,* Virtual Local Area Network (VLAN): Mạng nội bộ ảo\n- Virtual LAN giúp phân chia các thiết bị vào các mạng logic khác nhau ngay cả khi chúng cùng cắm vào một Switch vật lý.,
