id,answer,question,hint,desc
8dba57e8-c8f6-4207-8939-cbff38b93b4e,+,"Nếu cơ sở dữ liệu là MSSQL, kẻ tấn công có thể dùng toán tử nào để nối các chuỗi dữ liệu lại với nhau?",- Toán tử này giống như phép cộng trong toán học.,- Microsoft SQL Server sử dụng dấu cộng (+) làm toán tử nối chuỗi mặc định.
03903a3a-160b-4950-a934-b8c0e21fa2c1,@@version,"Trong MySQL, hằng số nào sau đây được sử dụng để lấy thông tin phiên bản của cơ sở dữ liệu?",- Đây là một biến toàn cục bắt đầu bằng ký hiệu @.,"- Trong MySQL, biến hệ thống '@@version' hoặc hàm 'version()' trả về thông tin phiên bản của server."
399fe8b9-0b0f-4139-8b6f-43551baa02ca,Blind SQL Injection,Kỹ thuật 'Inference SQLi' là một tên gọi khác của loại tấn công nào?,- Nghĩ về hành động 'đoán' kết quả dựa trên các phản ứng của ứng dụng.,- Inference (suy luận) phản ánh cách kẻ tấn công thu thập dữ liệu bằng cách hỏi các câu hỏi đúng/sai thay vì nhận trực tiếp kết quả.
a6f5d6c9-ef8a-412a-a4b1-6fdcc3ef00c9,Blind SQLi không hiển thị lỗi SQL.,Sự khác biệt giữa 'Blind SQLi' và 'Classic SQLi' về mặt thông báo lỗi là gì?,- Từ 'mù' (Blind) ám chỉ việc kẻ tấn công không thấy được phản hồi trực tiếp từ DB.,"- Blind SQLi xảy ra khi ứng dụng đã tắt thông báo lỗi hoặc xử lý lỗi nội bộ, buộc kẻ tấn công phải đoán kết quả qua hành vi khác"
a9562eb3-d302-4618-b087-bd75e8459cc1,Boolean-based Blind SQLi,Hàm 'SUBSTRING()' thường được dùng trong kiểu tấn công SQLi nào?,- Kỹ thuật này yêu cầu trích xuất từng ký tự một để kiểm tra logic.,- Kẻ tấn công dùng SUBSTRING để cắt từng ký tự của dữ liệu (như mật khẩu) và so sánh từng ký tự đó để tìm ra kết quả đúng/sai.
3d4ea651-5e25-43a3-9309-e0d9ef4ef874,Boolean-based và Time-based.,Lỗ hổng 'Blind SQLi' thường được chia thành hai tiểu loại chính nào?,"- Một loại dựa trên những gì bạn thấy, một loại dựa trên thời gian bạn chờ.","- Boolean-based dựa trên sự thay đổi nội dung trang, còn Time-based dựa trên độ trễ phản hồi của máy chủ."
b4401b4f-b800-45e9-b0e2-5f84ac8f7a7e,Bắt đầu một chú thích.,Kẻ tấn công sử dụng payload 'admin' --' để vượt qua trang đăng nhập. Ký hiệu '--' có ý nghĩa gì?,- Nó dùng để vô hiệu hóa các điều kiện đứng sau nó trong câu lệnh SQL.,"- Ký hiệu '--' (thường đi kèm khoảng trắng) bắt đầu một chú thích trong SQL, làm cho phần còn lại của truy vấn (như kiểm tra mật khẩu) bị bỏ qua."
18d1ef70-96c0-44b4-90e4-616eadc4c2a5,Chỉ cho phép các giá trị đã biết.,Tại sao việc sử dụng 'White-list' cho tham số truyền vào lại an toàn hơn 'Black-list'?,- Nghĩ về sự khác biệt giữa việc 'cấm kẻ xấu' và 'chỉ mời người quen'.,"- White-list định nghĩa các giá trị hợp lệ (ví dụ: chỉ cho phép 'asc' hoặc 'desc'); mọi giá trị lạ khác đều bị từ chối, loại bỏ hoàn toàn mã độc."
be65aa3c-390a-45a6-b803-83667eaca4d3,Comment thực thi (Executable comment).,"Trong MySQL, tổ hợp '/* !' được gọi là gì?",- Nó trông giống một chú thích nhưng thực chất vẫn có thể chạy được mã bên trong.,- Nó cho phép các câu lệnh bên trong được thực thi nếu phiên bản MySQL hiện tại lớn hơn hoặc bằng số phiên bản đi kèm.
e8e0614b-78e0-4c6d-b9d9-f79a1be670ad,Có thể thực hiện Error-based SQLi.,Điều gì xảy ra khi kẻ tấn công thực hiện 'SQL Injection' vào mệnh đề 'LIMIT' của MySQL?,- Đây là một vị trí 'khó' khai thác hơn thông thường nhưng vẫn khả thi qua thông báo lỗi.,"- Mệnh đề LIMIT rất khó khai thác bằng UNION, nhưng kẻ tấn công có thể chèn các hàm gây lỗi (như PROCEDURE ANALYSE) để trích xuất dữ liệu."
b12d6463-a86f-4652-b2da-b3fd93bf0145,Cả 5 kỹ thuật SQLi phổ biến.,Công cụ 'sqlmap' sử dụng kỹ thuật nào để tự động xác định lỗ hổng?,- Đây là một công cụ 'tất cả trong một' cho việc kiểm thử SQL Injection.,"- sqlmap hỗ trợ đầy đủ: Boolean-based, Time-based, Error-based, UNION-based và Stacked queries."
646c7234-1009-427d-92b2-ab42f08699fd,Danh sách tất cả các bảng.,"Trong cơ sở dữ liệu MySQL, bảng 'information_schema.tables' chứa thông tin gì?",- Đây là bảng 'từ điển' giúp liệt kê các đối tượng lưu trữ dữ liệu.,- Bảng này lưu trữ siêu dữ liệu (metadata) về tất cả các bảng trong tất cả các cơ sở dữ liệu trên server.
c1272e8f-fad4-4552-8997-59c5aa33396f,Do thói quen nối chuỗi thủ công của dev.,Tại sao lỗi SQL Injection vẫn là một trong những lỗ hổng web phổ biến nhất hiện nay?,- Vấn đề nằm ở con người và cách họ viết mã 'nhanh' nhưng không 'sạch'.,- Nhiều lập trình viên vẫn dùng cách cộng chuỗi (string concatenation) để tạo truy vấn thay vì dùng thư viện an toàn hoặc ORM.
d0fbc35c-9376-430c-b4cf-07fb42e40bb1,Dò đoán từng ký tự bằng wildcard.,Toán tử 'LIKE' trong SQLi thường được dùng để làm gì trong kịch bản Blind SQLi?,- Hãy nghĩ đến việc tiên đoán,- Sử dụng ký tự '%' hoặc '_' để kiểm tra xem một giá trị bắt đầu bằng một chữ cái nhất định mà không cần biết toàn bộ giá trị.
02d07b10-8ab8-4a66-a1b2-dd7b6a442eae,Dữ liệu không hiển thị trực tiếp.,Kỹ thuật 'Blind SQL Injection' khác với 'In-band SQL Injection' ở điểm nào?,- Hãy xem xét cách kẻ tấn công nhận được kết quả từ máy chủ.,"- Trong Blind SQLi, ứng dụng không hiển thị dữ liệu trích xuất trên trang web, buộc kẻ tấn công phải suy luận qua các phản hồi logic hoặc thời gian."
37bfd75c-7331-484e-9f3c-eb298b8b2dc5,Dữ liệu độc hại được thực thi sau khi đã lưu trữ.,Một cuộc tấn công 'Second-Order SQL Injection' xảy ra khi nào?,- Hãy nghĩ đến việc lưu trữ,"- Payload được lưu vào database trước (ví dụ: đổi tên user), sau đó được ứng dụng gọi ra và sử dụng trong một truy vấn SQL khác một cách không an toàn."
9dfe98d5-c204-46e4-a3e3-d0b2c0d3a062,Error-based SQLi,Hàm 'EXTRACTVALUE()' thường được lợi dụng trong kỹ thuật SQLi nào trên MySQL?,- Dữ liệu được trích xuất thông qua các thông báo lỗi liên quan đến XPath.,- Kẻ tấn công cung cấp một đường dẫn XPath không hợp lệ chứa dữ liệu cần trích xuất; MySQL sẽ báo lỗi và hiển thị dữ liệu đó trong thông báo lỗi XPath.
369c9993-3322-4314-b2fe-b5905c531b13,FROM DUAL,"Trong Oracle SQL, mệnh đề nào là bắt buộc trong mọi câu lệnh SELECT ngay cả khi không lấy dữ liệu từ bảng nào?",- Bảng này chỉ có một hàng và một cột duy nhất.,- Oracle yêu cầu mệnh đề FROM; bảng ảo DUAL được cung cấp để thực thi các câu lệnh SELECT không cần bảng thực (như SELECT 1 FROM DUAL).
d751b50a-99c4-40b7-b838-24980c72fb75,Giới hạn độ dài của cột trong DB.,"Trong SQLi, 'Column Truncation Attack' lợi dụng điều gì?",- Cơ sở dữ liệu thường sẽ cắt bỏ phần chuỗi vượt quá kích thước định nghĩa (ví dụ VARCHAR(20)).,"- Kẻ tấn công điền thật nhiều khoảng trắng để đẩy phần quan trọng ra sau giới hạn độ dài của cột, khiến DB cắt bỏ phần đó và làm sai lệch logic kiểm tra mật khẩu/admin."
1aadb71c-b256-49fa-8df8-f63e9afcdfae,Gộp nhiều hàng dữ liệu vào một chuỗi.,Sử dụng 'GROUP_CONCAT()' trong MySQL SQLi có mục đích gì?,- Lệnh này giúp trích xuất toàn bộ danh sách dữ liệu trong một lần hiển thị.,- Hàm này cực kỳ hữu ích khi trang web chỉ hiển thị một kết quả duy nhất; kẻ tấn công có thể gộp tất cả tên bảng vào một ô duy nhất để xem toàn bộ.
02a84be1-ffc7-4ad8-b589-6944189c2f07,id=1 AND 1=1,Payload nào sau đây thường được dùng nhất để kiểm tra lỗi SQLi dạng số (Numeric SQLi) tại tham số 'id'?,- Hãy tìm một biểu thức logic luôn đúng không cần dùng dấu nháy.,"- Nếu ứng dụng trả về cùng một kết quả cho 'id=1' và 'id=1 AND 1=1', điều đó chứng tỏ đầu vào đang được nối trực tiếp vào câu lệnh SQL."
a2adec14-5753-43b2-92a3-027cdf14af34,Không bảo vệ được SQLi dạng số.,Tại sao việc dùng hàm lọc 'mysql_real_escape_string()' trong PHP không được coi là giải pháp bảo mật hoàn hảo?,- Điều gì xảy ra nếu kẻ tấn công không cần dùng dấu nháy đơn để tấn công?,"- Hàm này chỉ thêm dấu thoát cho chuỗi; nếu tham số đầu vào là số (không dùng nháy bao quanh), kẻ tấn công vẫn có thể chèn mã SQL trực tiếp."
593561e1-f921-4465-b5f1-1fc97772cfb6,LOAD_FILE(),"Để đọc file nội bộ trên server thông qua SQLi trong MySQL, kẻ tấn công dùng hàm nào?",- Hàm này dùng để 'tải' một tệp tin vào trong cơ sở dữ liệu.,- Hàm LOAD_FILE('/path/to/file') trả về nội dung của file dưới dạng chuỗi nếu user database có đủ quyền hạn.
1addc9b3-eff2-4249-b939-79ce13e14b4f,Microsoft SQL Server,Kẻ tấn công sử dụng 'Waitfor delay '0:0:10'' trong payload. Mục tiêu là hệ quản trị nào?,- Cú pháp này rất phổ biến trong các hệ thống sử dụng ngôn ngữ T-SQL.,- Cú pháp 'WAITFOR DELAY' là lệnh đặc thù của T-SQL (MSSQL) để tạm dừng xử lý trong một khoảng thời gian cụ thể.
8e17d03e-eef5-46cb-a985-9e8801442d5e,MySQL,Hệ quản trị cơ sở dữ liệu nào sau đây mặc định KHÔNG hỗ trợ Stacked Queries thông qua các API Web thông thường (như PHP mysqli)?,- Một DB rất phổ biến yêu cầu cấu hình đặc biệt để chạy nhiều lệnh cùng lúc trong PHP.,"- Mặc định, driver 'mysqli' và 'PDO' của PHP dành cho MySQL không cho phép thực thi nhiều câu lệnh cách nhau bởi dấu ';' để ngăn chặn nguy cơ này."
6f628007-58e4-4720-9daa-dea7235940b9,MySQL,"Trong SQLi, kỹ thuật 'WAF Bypass' bằng cách sử dụng '/* !50000SELECT */' là đặc thù của hệ quản trị nào?",- Cú pháp này lợi dụng cách xử lý comment theo phiên bản của DB.,- Đây là cú pháp comment thực thi của MySQL; các phiên bản server từ 5.0.0 trở lên sẽ thực thi nội dung bên trong như mã SQL bình thường.
2c4e2df5-4f21-4b08-8f5a-e31d5bccec15,Nó đóng vai trò là tham số giữ chỗ.,"Trong 'Prepared Statements', tại sao việc sử dụng dấu hỏi chấm (?) lại giúp bảo mật?",- Cơ chế này tách biệt hoàn toàn 'Mã' và 'Dữ liệu'.,"- Dấu '?' đại diện cho dữ liệu sẽ được gửi sau; DB sẽ coi giá trị truyền vào đó thuần túy là dữ liệu, không bao giờ thực thi nó như mã SQL."
73d4e316-2521-4677-b60d-adf07d6f669b,Oracle,Hàm 'UTL_HTTP.REQUEST' thường được sử dụng trong tấn công Out-of-band SQLi trên hệ quản trị nào?,- Đây là một gói chức năng (package) mạnh mẽ có sẵn trong các phiên bản Enterprise của DB này.,"- Gói UTL_HTTP trong Oracle cho phép cơ sở dữ liệu thực hiện các yêu cầu HTTP ra bên ngoài, giúp kẻ tấn công đẩy dữ liệu đi."
25e4d0a6-e28a-4991-ac7e-9f6c2e6caf27,Phải tương thích kiểu.,"Khi thực hiện UNION SELECT, điều kiện bắt buộc về các kiểu dữ liệu giữa truy vấn gốc và truy vấn chèn là gì?",- Cơ sở dữ liệu yêu cầu sự đồng nhất giữa các tập kết quả khi gộp lại.,- Các cột tương ứng trong hai tập kết quả của phép UNION phải có kiểu dữ liệu tương thích với nhau để không gây ra lỗi.
17c042de-63e4-42b3-8705-ba28832a532a,PostgreSQL,Hàm 'pg_sleep()' được sử dụng trên hệ quản trị cơ sở dữ liệu nào?,- Tên hàm có tiền tố 'pg' gợi nhớ đến tên của DB này.,"- Hàm 'pg_sleep(seconds)' là hàm đặc thù của PostgreSQL dùng để tạm dừng thực thi, phục vụ cho Time-based SQLi."
97336a54-cef1-4a37-bf9e-96a4f7bd7707,SELECT column_name FROM information_schema.columns,Lệnh SQL nào được dùng để liệt kê tất cả các tên cột trong một bảng nhất định trên MySQL?,- Cần truy vấn vào bảng metadata chứa thông tin về cột.,- Bảng 'information_schema.columns' lưu trữ chi tiết về mọi cột trong toàn bộ các database hiện có.
839d133b-0132-4dcd-9c7e-f73d84242e2a,Server có quyền gửi yêu cầu ra Internet.,"Để thực hiện tấn công Out-of-band SQLi qua DNS (DNS Exfiltration), kẻ tấn công cần điều kiện gì?",- Tấn công này phụ thuộc vào khả năng 'liên lạc' ra bên ngoài của cơ sở dữ liệu.,- Database server phải được phép thực hiện các truy vấn phân giải tên miền (DNS lookup) đến một máy chủ tên miền do kẻ tấn công kiểm soát.
b4da43d9-b1ed-4c1b-80b4-f4442bb65565,SLEEP(),Hàm nào sau đây trong MySQL thường được sử dụng để gây ra sự chậm trễ trong tấn công Time-based Blind SQLi?,- Tên hàm này mô tả hành động đi ngủ của chương trình.,"- Hàm SLEEP(n) tạm dừng việc thực thi truy vấn trong n giây, cho phép kẻ tấn công xác nhận sự tồn tại của lỗ hổng qua thời gian phản hồi."
3b52e2d2-448a-4c5c-aa5d-545c2ed2b359,Stacked Queries,Payload 'id=1; DROP TABLE users' thể hiện kỹ thuật nào?,- Nhiều câu lệnh được xếp chồng lên nhau để thực thi liên tiếp.,- Kỹ thuật này cho phép kẻ tấn công chạy nhiều câu lệnh SQL khác nhau trong cùng một yêu cầu bằng cách phân tách chúng bằng dấu ';'.
59ab1fb9-8cd5-40b5-adfd-9e56b44a0355,Số lượng yêu cầu HTTP rất lớn.,Tại sao Blind SQL Injection thường được thực hiện bằng các công cụ tự động (như sqlmap)?,- Hãy tưởng tượng bạn phải kiểm tra 1000 trường hợp để lấy được một chuỗi 10 ký tự.,"- Vì mỗi ký tự dữ liệu cần nhiều lần kiểm tra đúng/sai (Boolean) hoặc chờ đợi (Time), việc làm thủ công là cực kỳ chậm và tốn sức."
a217ab36-64a1-4513-8457-ae86842157ef,Sử dụng kênh truyền dữ liệu khác.,"Trong tấn công SQLi, thuật ngữ 'Out-of-band' ám chỉ điều gì?",- Nghĩ về việc dữ liệu được 'gọi điện' về nhà kẻ tấn công theo một đường riêng.,- Dữ liệu không được trả về qua phản hồi HTTP thông thường mà được gửi qua các giao thức khác như DNS hoặc HTTP đến server của kẻ tấn công.
558ba1a1-b6ee-47d3-879a-9f8580fd5352,Sử dụng Prepared Statements.,Phương pháp hiệu quả nhất để ngăn chặn hoàn toàn lỗi SQL Injection là gì?,- Giải pháp này liên quan đến việc tham số hóa dữ liệu đầu vào.,"- Prepared Statements (truy vấn tham số hóa) tách biệt hoàn toàn mã SQL và dữ liệu, khiến dữ liệu không bao giờ bị thực thi như mã."
76718bff-ea71-4d90-954c-409dab433ac6,Thay đổi logic truy vấn.,Mục tiêu cốt lõi của một cuộc tấn công SQL Injection là gì?,- Hãy nghĩ về cách mà câu lệnh SQL bị can thiệp bởi dữ liệu người dùng.,- SQLi cho phép kẻ tấn công chèn các câu lệnh SQL độc hại vào đầu vào của ứng dụng để thay đổi cấu trúc hoặc logic của truy vấn gốc.
e19b7e2a-837a-44b6-8ad5-a23eb5c2963d,Thông báo lỗi chi tiết.,Error-based SQLi chủ yếu dựa vào điều gì để trích xuất dữ liệu?,- Đề cập đến lỗi,- Kẻ tấn công cố tình gây ra lỗi (như ép kiểu dữ liệu sai) để DB trả về thông tin nhạy cảm ngay trong nội dung của thông báo lỗi.
c5242c6b-0413-47dd-9465-2b92f29da220,Trang web bị lỗi Boolean-based SQLi.,"Nếu một trang web trả về nội dung khác nhau khi nhập 'id=1 AND 1=1' và 'id=1 AND 1=0', ta có thể kết luận điều gì?",- Sự khác biệt về logic TRUE/FALSE phản ánh trực tiếp lên ứng dụng.,"- Vì sự thay đổi của biểu thức logic làm thay đổi kết quả hiển thị, kẻ tấn công có thể dùng điều này để dò tìm dữ liệu."
f5a19d04-46fe-40c0-81db-269d0afc6a79,Tránh dùng dấu nháy bao quanh chuỗi.,"Khi khai thác SQLi, việc sử dụng mã Hex (ví dụ 0x61646d696e thay cho 'admin') có tác dụng gì?",- Cơ sở dữ liệu có thể hiểu các giá trị số thập lục phân mà không cần ký hiệu chuỗi.,"- Cơ sở dữ liệu tự động hiểu giá trị Hex là chuỗi; điều này giúp payload không chứa dấu nháy, dễ dàng lọt qua các bộ lọc cơ bản."
e5542477-eced-4227-8934-9788761d511d,Tránh sử dụng dấu nháy trong payload.,Hàm 'CHR()' (hoặc CHAR() trong MySQL) hữu ích như thế nào trong khai thác SQLi?,- Nó giúp tạo ra các chuỗi văn bản từ các con số ASCII.,"- Kẻ tấn công có thể xây dựng chuỗi 'admin' bằng cách nối các hàm CHAR (ví dụ: CHAR(97,100,109,105,110)) để bypass các bộ lọc cấm dấu nháy đơn."
4bcfa8d4-6e22-4057-b848-3570d9a2d3dc,Tầng ứng dụng (Application Layer).,Lỗi SQL Injection xảy ra ở tầng nào trong mô hình OSI?,- Nó liên quan trực tiếp đến phần mềm web mà người dùng tương tác.,"- SQLi là lỗi do cách ứng dụng xử lý dữ liệu người dùng ở mức phần mềm, thuộc tầng 7 (Application)."
02e3ca1e-466d-49eb-8e9a-0a0e2d5e7713,Tốn nhiều thời gian hơn để thực hiện.,Kỹ thuật 'Time-based SQLi' gây khó khăn gì cho kẻ tấn công so với 'Boolean-based SQLi'?,- Tên của kỹ thuật đã nói lên nhược điểm lớn nhất của nó.,"- Vì mỗi lần kiểm tra phải chờ đợi vài giây (ví dụ: 5 giây), việc lấy một mật khẩu dài có thể mất hàng giờ đồng hồ."
40f2d450-5e04-4464-a493-6fe95fe7898a,Vượt qua các bộ lọc WAF.,Kỹ thuật 'Double Encoding' (ví dụ %2527 thay cho %27) được dùng trong SQLi nhằm mục đích gì?,- Nó giúp 'ngụy trang' các ký tự nguy hiểm trước các hệ thống giám sát.,- Một số bộ lọc chỉ giải mã URL một lần; kẻ tấn công mã hóa hai lần để ký tự độc hại lọt qua bước kiểm tra và chỉ được giải mã hoàn toàn bởi server đích.
318ec437-04e4-4213-a1a9-ac2314207dbb,Vị trí cột thứ 2 trong SELECT.,"Trong một truy vấn UNION-based, nếu cột thứ 2 hiển thị dữ liệu ra màn hình, kẻ tấn công sẽ đặt payload ở đâu?",- Payload cần được đặt tại 'điểm hiển thị' (reflection point) của trang web.,- Kẻ tấn công phải đưa câu lệnh trích xuất dữ liệu (như @@version) vào đúng cột mà ứng dụng web đang dùng để in ra giao diện.
a463ac95-5660-4886-b289-3c67372f40e3,xp_cmdshell,"Trong MSSQL, lệnh nào sau đây có thể được sử dụng để thực thi các lệnh hệ điều hành thông qua SQLi?",- Đây là một Extended Stored Procedure rất nổi tiếng bắt đầu bằng 'xp_'.,"- Nếu tính năng này được bật, kẻ tấn công có thể thực thi các lệnh CMD trực tiếp trên Windows server bằng quyền của SQL service."
ce7f6f45-64ad-49d7-a370-9fc7a9bb6816,Xác định số lượng cột.,"Payload '1' GROUP BY 1,2,3--' được sử dụng để làm gì?",- Đây là một cách thay thế cho lệnh ORDER BY trong một số trường hợp.,"- Tương tự ORDER BY, GROUP BY có thể được dùng để thăm dò số lượng cột; nếu cột thứ 4 không tồn tại, DB sẽ báo lỗi."
