id,answer,question,desc,ref
c6985d34-6bff-459d-bbdd-57a49c64d343,Adversary,Translate to English: Kẻ tấn công,,
4c22b6d4-8eed-4f95-9bd3-fe3d950bc4d0,Adversary,Translate to English: Đối thủ,,
fc68f67c-e2bf-44f9-9bb7-1ce9d002eac2,Blue Team,Translate to English: Đội phòng thủ,,
08911e41-4d69-4c71-9951-0c6729c5aee1,Client,Translate to English: Máy khách (Thiết bị đầu cuối của người dùng),,
6cad59af-7c5d-4e5e-9eca-8f6dd8c2394d,Cloud Computing,Translate to English: Điện toán đám mây,,
d99b6736-c4b8-4cca-8044-50428b1d1563,Cyber attacks,Translate to English: Các cuộc tấn công mạng,,
447056f0-6ad6-4018-ad04-3fbcbefe87d4,Data Center,Translate to English: Trung tâm dữ liệu,,
2ed5a8c4-c507-4e64-8f53-2f79d75975f9,Digital platforms,Translate to English: Các nền tảng kỹ thuật số,,
7cca5493-2ee5-461e-9132-8194bf222fa4,Ethically,Translate to English: Đạo đức,,
100ba6d2-7748-4969-ab66-b8e641e74c36,Exploit,Translate to English: Khai thác,,
9486c702-8ff9-4d51-9d07-958248c50e58,Incident Response,Translate to English: Ứng phó sự cố,,
ced88395-be04-4e20-b734-c11aecc5fd09,Information Security (InfoSec),Translate to English: An toàn thông tin,,
597c99ea-0cad-41c8-bb11-bee820608e30,Interconnected,Translate to English: Kết nối lẫn nhau,,
16181130-a853-4d1a-8be0-990bd153ad3c,Internal Security,Translate to English: An ninh nội bộ,,
0aae22d9-bde1-41b2-94d7-0878ffb6ffe6,Internet,Translate to English: Mạng Internet (Mạng toàn cầu),,
f2cc6384-ffdc-4830-bfd2-937ee6675791,Legally,Translate to English: Hợp pháp,,
a876f421-db07-467c-98e9-af0ac17c6847,Network,Translate to English: Mạng lưới,,
f52c0b9a-6dd9-48e6-820e-1e58225b95ef,Oversees,Translate to English: Giám sát / Quản lý cấp cao,,
9fb32bfe-7c1b-4b25-b12a-c73b821c0c50,Purple Team,Translate to English: Đội phối hợp,,
94b51ba5-03ed-462a-a611-c5c0f921c85d,Red Team,Translate to English: Đội kiểm thử,,
40e43cdc-56c9-40ad-a139-1f89aeb51387,Resources and Services,Translate to English: Tài nguyên và dịch vụ,,
38421cfa-270b-4a64-b8b7-2878fcd3e7f2,Safeguarding,Translate to English: Bảo vệ/Che chắn,,
4300c506-b265-4c09-9915-c02bee478259,Server,Translate to English: Máy chủ (Thiết bị cung cấp dịch vụ),,
c321149c-cab2-4854-a88e-289d30b1d9f2,Simulate,Translate to English: Mô phỏng,,
704b288b-9b60-43be-b182-4ffc1614ca14,Strategy,Translate to English: Chiến lược,,
a0710dd3-54b1-4c47-8b3a-7fad4e231899,Unauthorized access,Translate to English: Truy cập trái phép.,,
340c2272-7ef4-435d-a075-6922cc3d8158,Vulnerabilities,Translate to English: Lỗ hổng bảo mật,,
4f77e1a7-34ca-4665-83fc-e49b4b515152,Web Server,Translate to English: Máy chủ Web,,
