id,answer,question,hint,desc
dc18132b-e053-4099-bd56-61686565f26f,"Baiting hứa hẹn một phần thưởng, Whaling sử dụng áp lực/quyền lực.",Hành động 'Baiting' (Đánh bả) khác Whaling ở điểm nào?,- Baiting giống như việc đặt một cái bẫy có mồi ngon.,"- Whaling tập trung vào sự tuân thủ mệnh lệnh, trong khi Baiting dụ nạn nhân bằng lợi ích (ví dụ: USB ghi 'Lương lãnh đạo')."
56b9c71e-2866-413c-87ab-d1dacd1926b5,Báo cáo ngay cho bộ phận an ninh mạng để kiểm tra thiết bị.,Một lãnh đạo cấp cao nên làm gì nếu lỡ bấm vào liên kết trong một email nghi là Whaling?,- Thời gian là vàng trong phản ứng sự cố.,- Phản ứng nhanh giúp cô lập thiết bị và ngăn chặn việc bị chiếm quyền điều khiển (ATO).
a1b0874c-a665-47eb-b1c0-93bf05222571,Chỉ cho phép nhận email từ các địa chỉ hoặc tên miền đã được phê duyệt trước.,Phương pháp 'Whitelisting' trong bảo mật email doanh nghiệp là gì?,- Chỉ có 'người quen' mới được vào nhà.,- Đây là biện pháp cực đoan nhưng hiệu quả nhất để ngăn chặn Whaling từ các nguồn lạ hoàn toàn.
54addadc-290d-46b1-b9a2-af610f0bcad7,"Cung cấp các sở thích, thói quen và ngôn ngữ giao tiếp của lãnh đạo.",Khái niệm 'Digital Footprint' (Dấu chân số) hỗ trợ tin tặc Whaling như thế nào?,- Làm thế nào để đóng giả một người mà bạn chưa từng gặp?,"- Từ các bài đăng công khai, tin tặc có thể bắt chước phong cách viết lách của CEO để email trông giống thật nhất."
89ac5b5a-3233-4284-9310-1865a6425660,Các vụ kiện từ cổ đông do thiếu trách nhiệm trong bảo mật thông tin.,Một trong những rủi ro pháp lý sau vụ Whaling là gì?,- Cổ đông quan tâm nhất đến điều gì khi công ty mất tiền?,- Lãnh đạo có thể phải chịu trách nhiệm pháp lý nếu để xảy ra thất thoát lớn do bỏ qua các quy trình an toàn cơ bản.
9219baab-96e1-41e0-84e0-e95578ae151b,Cơ chế 'v=spf1 ip4:...',"Trong bản ghi SPF (Sender Policy Framework), cơ chế nào dùng để chỉ định các địa chỉ IP được phép gửi mail thay mặt tên miền?",- SPF liên quan trực tiếp đến danh sách trắng (whitelist) các địa chỉ IP.,"- Bản ghi SPF liệt kê các dải IP hợp lệ, giúp máy chủ nhận loại bỏ các email giả mạo gửi từ nguồn lạ."
8b511d37-e52d-4b0c-8b9e-030f7437c5fa,Cơ quan Thuế hoặc Ủy ban Chứng khoán.,"Trong các cuộc tấn công Whaling, tin tặc thường giả danh cơ quan nhà nước nào nhất để tạo áp lực?",- Cơ quan nào có quyền đóng băng tài khoản hoặc khởi tố doanh nghiệp?,- Các yêu cầu thanh tra hoặc cáo buộc sai phạm từ những nơi này buộc lãnh đạo phải phản ứng tức thì.
63972480-8fd3-4b15-a45f-44d2cb68b45b,Cảnh báo toàn bộ tổ chức và chia sẻ các đặc điểm nhận dạng (IoC).,Một tổ chức nên phản ứng thế nào sau khi phát hiện một vụ Whaling không thành công?,- Minh bạch và chuẩn bị là chìa khóa của an ninh mạng.,- Việc chia sẻ giúp tăng cường khả năng phòng vệ tập thể và giáo dục nhân viên thực tế.
35e13e7f-d359-4ba5-97a1-3883ca53c7b5,Giám sát các thông tin rò rỉ liên quan đến lãnh đạo trên Dark Web.,Mục đích của việc sử dụng 'Executive protection services' trong an ninh mạng là gì?,- Dịch vụ này tập trung vào dữ liệu của 'cá voi' trên internet.,- Dịch vụ này tìm kiếm các thông tin nhạy cảm của lãnh đạo đang bị rao bán để ngăn chặn tấn công Whaling từ sớm.
5608989c-caec-43b7-8e66-816721c74a9d,Giả danh CEO gửi cho bộ phận Nhân sự (HR) hoặc Kế toán lương.,Tin tặc thường khai thác mối quan hệ nào trong tấn công Whaling để yêu cầu dữ liệu nhân viên (W-2 forms)?,- Ai là người nắm giữ hồ sơ thuế và lương của toàn bộ nhân viên?,- Yêu cầu cung cấp thông tin thuế/lương nhân viên để thực hiện hành vi trộm cắp danh tính quy mô lớn.
7ded1182-7139-4ab2-a73d-aebc9b26f062,Giả giọng CEO gọi điện ra lệnh chuyển tiền sau khi gửi email.,Công nghệ 'Deepfake voice' có thể được sử dụng trong kịch bản Whaling như thế nào?,- Làm thế nào để 'nghe' thấy tiếng sếp nói dù sếp không hề gọi?,- Sự kết hợp giữa email và cuộc gọi có giọng nói giống hệt sếp tạo ra sự tin tưởng tuyệt đối cho nạn nhân.
26128096-66ed-4bc4-ae1c-f79b9ee214f0,Gửi tin nhắn SMS giả danh sếp để hối thúc nhân viên kiểm tra email gấp.,Kỹ thuật 'Smishing' có thể hỗ trợ Whaling như thế nào?,- Hãy kết hợp Email và tin nhắn điện thoại.,- Đa kênh tấn công (Email + SMS) tạo ra sự dồn dập khiến nạn nhân mất bình tĩnh.
d4d4c11c-4654-45a7-a8f6-60c41d129842,Hạn chế chia sẻ hoặc chỉ chia sẻ trong nhóm riêng tư (Private).,Lãnh đạo nên làm gì với những thông tin nhạy cảm như lịch trình chuyến bay hay địa chỉ nhà riêng trên mạng xã hội?,- Quyền riêng tư là lớp bảo mật đầu tiên chống lại OSINT.,- Giảm thiểu 'dấu chân số' công khai giúp bảo vệ bản thân và tổ chức khỏi các đòn tấn công nhắm mục tiêu.
9cd2ec40-cb89-4229-93c8-7d85f5e6b0a1,Khả năng tư duy phản biện bị suy giảm dưới áp lực thời gian.,Một email có gắn nhãn 'URGENT' (Khẩn cấp) từ CEO thường nhắm vào điểm yếu nào của con người?,"- Khi bạn vội vàng, bạn thường dễ làm sai điều gì?","- Khi bị hối thúc, con người có xu hướng bỏ qua các quy trình kiểm tra an toàn để hoàn thành nhiệm vụ nhanh nhất."
f00ea532-6c58-482b-a8cc-bd462cee0adc,Là nghệ thuật thao túng tâm lý để nạn nhân thực hiện hành động sai lầm.,Social Engineering đóng vai trò gì trong một cuộc tấn công Whaling?,- Đây là 'kỹ thuật bẻ khóa' bộ não con người.,"- Đây là cốt lõi của Whaling, sử dụng lòng tin và quyền lực thay vì mã độc kỹ thuật."
0eadb3a5-b0c4-47a0-89d5-37fdc552c1be,Làm tăng mức phạt tiền khủng khiếp nếu công ty để lộ dữ liệu nhân viên qua Whaling.,Quy định GDPR của Châu Âu ảnh hưởng thế nào đến Whaling?,- Cái giá phải trả cho việc mất dữ liệu ngày nay là rất cao.,"- GDPR áp đặt các hình phạt tài chính nặng nề lên tổ chức nếu họ không bảo vệ dữ liệu cá nhân tốt, tạo thêm áp lực hậu quả."
214b211d-436c-43b6-8774-246baf1694b2,Lịch trình công tác và các mối quan hệ đối tác.,"Trong giai đoạn thu thập thông tin (Reconnaissance) của Whaling, tin tặc thường tìm kiếm thông tin gì trên mạng xã hội?",- Cái gì giúp nội dung email trở nên cá nhân hóa và đáng tin cậy hơn?,"- Thông tin này giúp tin tặc soạn thảo email cực kỳ thuyết phục, ví dụ như giả vờ đang ở sân bay để yêu cầu thanh toán gấp."
abadcce4-9d78-40f0-abad-27670f530589,MFA giúp ngăn tin tặc chiếm tài khoản thật để gửi email lừa đảo.,Tại sao việc áp dụng Multi-Factor Authentication (MFA) lại gián tiếp giúp chống lại Whaling?,- MFA ngăn chặn giai đoạn nào của chuỗi tấn công?,"- Nếu tài khoản của CEO được bảo vệ bởi MFA, tin tặc khó có thể thực hiện 'vụ Whaling hoàn hảo' từ bên trong tổ chức."
940eb44d-9dac-4ab0-b6da-c570c3ed480f,Nó sẽ bị máy chủ nhận từ chối hoàn toàn và không được gửi đi.,"Khi một email có chính sách DMARC là 'p=reject', chuyện gì sẽ xảy ra với email giả mạo?",- Từ 'reject' có nghĩa là gì trong quản lý thư điện tử?,"- 'Reject' là mức độ bảo vệ cao nhất, ngăn chặn email không hợp lệ tiếp cận người dùng."
0f5aa042-5785-4083-aa79-4a14b5201734,Phát hiện các tên miền mới đăng ký có nguy cơ giả mạo thương hiệu.,Công cụ 'Look-alike domain finder' giúp bộ phận IT làm gì?,- Phòng bệnh hơn chữa bệnh đối với các tên miền giả.,- Chủ động phát hiện và ngăn chặn (block) các tên miền như 'apple-support-help.com' trước khi chúng gửi mail.
e491d7a4-cd67-46f2-bc99-117e5556aa49,Phân tích ngôn ngữ (AI/ML) để phát hiện sự bất thường trong cách diễn đạt.,Email Security Gateway (ESG) ngăn chặn Whaling bằng cách nào hiệu quả nhất?,- Máy móc hiện nay có thể 'hiểu' được ý đồ của văn bản không?,- ESG hiện đại có thể nhận diện email có 'giọng điệu' đòi hỏi chuyển tiền bất thường dù không có mã độc.
c94884a8-e7d1-444c-9ac5-93bddfe80ebe,Punycode sử dụng các ký tự quốc tế trông giống ký tự Latinh (Homograph attack).,Sự khác biệt giữa 'Punycode' và Typosquatting trong tấn công Whaling là gì?,- Hãy nghĩ đến các ký tự trông giống hệt nhau nhưng có mã code khác nhau.,- Ví dụ sử dụng chữ 'а' của tiếng Nga thay cho chữ 'a' tiếng Anh để tạo tên miền trông giống hệt bản gốc.
d482a931-c43f-47fa-9e31-e14411684fe8,Quarantine giúp thu thập các email nghi vấn để phân tích thay vì chặn nhầm thư đối tác.,Tại sao việc thiết lập chính sách 'DMARC Quarantine' lại an toàn hơn 'DMARC Reject' khi mới triển khai?,- Cái gì xảy ra nếu bạn cấu hình sai và chặn luôn thư từ CEO thật?,- Triển khai dần dần giúp IT điều chỉnh các bản ghi SPF/DKIM chưa chuẩn mà không làm mất email công việc quan trọng.
5fafb580-1e9c-4b1c-be90-6ea01ef4a7a6,Sử dụng cuộc gọi điện thoại để tăng tính thuyết phục sau email lừa đảo.,Thuật ngữ 'Vishing' liên quan gì đến kỹ thuật Whaling?,- Chữ 'V' trong Vishing viết tắt của từ gì?,- Tin tặc có thể gọi điện (Voice Phishing) giả danh thư ký CEO để thúc giục nạn nhân thực hiện yêu cầu trong email.
