id,answer,question,hint,desc
e2acc82a-e431-4574-9563-3681d8306feb,4,Cyber Security: Lĩnh vực IAM (Identity and Access Management) có bao nhiêu thành phần chính?,- I A A A,"- IAM có 4 thành phần chính: Identification, Authentication, Authorization, Accountability"
cba14e70-639a-44a7-95d2-ad6fbb04a73b,Accountability,Cyber Security: Thuật ngữ nào sau đây đề cập đến việc giám sát và ghi lại các hành động của người dùng?,"- Thuật ngữ này chỉ về lĩnh vực Identity and Access Management\n- Chẳng hạn như các lần đăng nhập, để chứng minh hệ thống và dữ liệu được sử dụng đúng cách",- Nguồn: Google Cybersecurity Certificate\n* Accountability: Trách nhiệm giải trình
795d099d-b320-463e-aecb-d4200f279113,Asset Security,"Cyber Security: Lĩnh vực nào sau đây liên quan đến việc bảo mật lưu trữ, bảo trì, giữ lại hay hủy bỏ dữ liệu?","- Tất cả mọi dữ liệu (bao gồm: PII, SPII, ...) cần được xử lý và bảo vệ một cách an toàn cho dù có lưu ở phần cứng, đám mây hay truyền qua môi trường mạng.",- Nguồn: Google Cybersecurity Certificate\n* Asset Security: Bảo mật tài sản
2e6051f5-8df2-4dcd-8990-eccb1bfdc9dc,Asset Security,Cyber Security: Lĩnh vực nào sau đây tập trung vào việc bảo mật các tài sản kỹ thuật số và vật lý?,"- Tất cả mọi dữ liệu (bao gồm: PII, SPII, ...) cần được xử lý và bảo vệ một cách an toàn cho dù có lưu ở phần cứng, đám mây hay truyền qua môi trường mạng.",- Nguồn: Google Cybersecurity Certificate\n* Asset Security: Bảo mật tài sản
e5df6f99-8bf5-4bdd-9838-33996766f7c3,Asset Security,Cyber Security: Đâu là lĩnh vực bảo mật thứ hai được CISSP xác định?,- Bảo mật tài sản,- Nguồn: Google Cybersecurity Certificate\n* Asset Security: Bảo mật tài sản
accf6c95-eba4-4ba9-889f-cef972581a3d,Authentication,Cyber Security: Thuật ngữ nào sau đây là quá trình kiểm tra để chứng minh danh tính?,"- Thuật ngữ này chỉ về lĩnh vực Identity and Access Management\n- Chẳng hạn như nhập mật khẩu, mã PIN, ...",- Nguồn: Google Cybersecurity Certificate\n* Authentication: Xác thực
85fb7420-d140-462b-9928-00b53d275fb2,Authorization,Cyber Security: Thuật ngữ nào sau đây diễn ra sau khi danh tính người dùng được xác nhận và nhận diện cấp độ truy cập của họ?,- Thuật ngữ này chỉ về lĩnh vực Identity and Access Management,- Nguồn: Google Cybersecurity Certificate\n* Authorization: Ủy quyền
48f5e6f6-a681-4663-8fa0-c7e3a6da6c25,Business Continuity,Cyber Security: Thuật ngữ nào sau đây liên quan đến khả năng của một tổ chức duy trì năng suất hoạt động hàng ngày bằng cách thiết lập các kế hoạch phục hồi sau thảm họa và rủi ro?,- Thuật ngữ này chỉ về lĩnh vực Security and Risk Management,- Nguồn: Google Cybersecurity Certificate\n* Business Continuity: Tính liên tục trong kinh doanh tổ chức
a108f2ae-5b78-4338-a51f-ba62b6f0d201,"Bằng cách yêu cầu các thành viên nhóm bảo mật loại bỏ quyền truy cập vào các kênh liên lạc, vì các hành vi không an toàn có thể bị các tác nhân đe dọa lợi dụng",Cyber Security: Làm thế nào để các nhân viên làm việc từ xa ở những không gian công cộng cần được bảo vệ khỏi những lỗ hổng có thể xảy ra khi họ đang sử dụng mạng không dây không an toàn?,- Một trong các ví dụ kinh điển trong Communications and Network Security (An ninh mạng và truyền thông),- Nguồn: Google Cybersecurity Certificate
d24df14f-0853-49ac-84c2-01ebb68161b6,Bằng cách đảm bảo quyền truy cập của người dùng chỉ mức giới hạn cần thiết cho nhân viên,Cyber Security: Làm thế nào với tư cách là nhà phân tích level entry điều cần thiết phải làm giữ cho các hệ thống và dữ liệu tổ chức được bảo mật tối đa?,- Một trong các ví dụ kinh điển trong Identity and Access Management (Quản lý danh tính và quyền truy cập),- Nguồn: Google Cybersecurity Certificate
c58cf3a9-a630-4b91-8644-81cc863c1eee,Communications and Network Security,Cyber Security: Lĩnh vực nào sau đây chủ yếu tập trung vào quản lý và bảo mật các mạng vật lý và mạng truyền thông không dây?,"- Mạng lưới bảo mật giúp giữ an toàn cho dữ liệu và thông tin liên lạc cho dù tại chỗ, đám mây hoặc từ xa.",- Nguồn: Google Cybersecurity Certificate\n* Communications and Network Security: An ninh mạng và truyền thông
65217e0e-4141-4058-9876-327d04ddbf84,Communications and Network Security,Cyber Security: Đâu là lĩnh vực bảo mật thứ tư được CISSP xác định?,- An ninh mạng và truyền thông,- Nguồn: Google Cybersecurity Certificate\n* Communications and Network Security: An ninh mạng và truyền thông
0ce7dee6-c908-4c59-a648-19560dabcade,Compliance,"Cyber Security: Thuật ngữ nào sau đây là phương pháp chính được sử dụng để xây dựng các chính sách an ninh nội bộ, yêu cầu pháp lý và tiêu chuẩn độc lập của một tổ chức?",- Thuật ngữ này chỉ về lĩnh vực Security and Risk Management,- Nguồn: Google Cybersecurity Certificate\n* Compliance: Tuân thủ
70747bf2-9ba2-4905-814e-d5f9a12e69e8,Identification,Cyber Security: Thuật ngữ nào sau đây là quá trình nhận diện người dùng xác minh danh tính của mình?,"- Thuật ngữ này chỉ về lĩnh vực Identity and Access Management\n- Cung cấp tên người dùng, thẻ truy cập hoặc dữ liệu sinh trắc học",- Nguồn: Google Cybersecurity Certificate\n* Identification: Nhận diện
1ddbc521-0e3c-4b13-9a3f-34169d9f3319,Identity and Access Management,Cyber Security: Lĩnh vực nào sau đây tập trung vào việc cấp quyền truy cập và ủy quyền để đảm bảo người dùng tuân thủ các chính sách đã thiết lập để kiểm soát và quản lý tài sản?,,- Nguồn: Google Cybersecurity Certificate\n* Identity and Access Management: Quản lý danh tính và quyền truy cập
649303c2-9116-4cf9-9e1b-40fda41d6f89,Identity and Access Management,Cyber Security: Đâu là lĩnh vực bảo mật thứ năm được CISSP xác định?,- Quản lý danh tính và quyền truy cập,- Nguồn: Google Cybersecurity Certificate\n* Identity and Access Management: Quản lý danh tính và quyền truy cập
03f653f9-52c7-40c0-a22f-1f4c80b14d65,Là giảm thiểu rủi ro tổng thể đối với các hệ thống và dữ liệu,Cyber Security: Mục tiêu của lĩnh vực IAM (Identity and Access Management) là gì?,,- Nguồn: Google Cybersecurity Certificate
55bb8275-6b35-4b0b-8dd0-63bc61c8d20b,Risk Mitigation,Cyber Security: Thuật ngữ nào sau đây thiết lập các quy trình và quy tắc phù hợp để nhanh chóng giảm thiểu tác động của rủi ro?,- Chẳng hạn như giảm thiểu vi phạm an ninh mạng\n- Thuật ngữ này chỉ về lĩnh vực Security and Risk Management,- Nguồn: Google Cybersecurity Certificate\n* Risk Mitigation: Giảm thiểu rủi ro
32934dbe-c73d-467a-99f8-9ef3262d8e51,Security and Risk Management,"Cyber Security: Lĩnh vực nào sau đây bằng cách xác định mục tiêu và định hướng bảo mật, các tổ chức có thể giảm thiểu rủi ro đối với các tài sản và dữ liệu quan trọng?",- Chẳng hạn bảo vệ các PII,- Nguồn: Google Cybersecurity Certificate\n* Security and Risk Management: Quản lý rủi ro và an ninh\n* Personally Identifiable Information (PII): Thông tin nhận dạng cá nhân
f98a388d-6cd1-4276-a531-fbe01d83cf7a,Security and Risk Management,"Cyber Security: Lĩnh vực nào sau đây xác định các mục tiêu và chỉ tiêu an ninh, giảm thiểu rủi ro, tuân thủ quy định, đảm bảo hoạt động kinh doanh liên tục và các quy định pháp luật?",- Rủi ro,- Nguồn: Google Cybersecurity Certificate\n* Security and Risk Management: Quản lý rủi ro và an ninh
49c70408-57db-4b9d-ab15-bc9801e251f8,Security and Risk Management,Cyber Security: Đâu là lĩnh vực bảo mật đầu tiên được CISSP xác định?,- Quản lý rủi ro và an ninh,- Nguồn: Google Cybersecurity Certificate\n* Security and Risk Management: Quản lý rủi ro và an ninh
c8ae9018-100c-4a5b-9c7e-dc5bfce48b8b,Security Architecture and Engineering,Cyber Security: Lĩnh vực nào sau đây tập trung vào việc tối ưu hóa bảo mật dữ liệu?,"- Bằng cách đảm bảo các công cụ, hệ thống và quy trình hiệu quả được thiết lập để bảo vệ tài sản và dữ liệu của tổ chức.",- Nguồn: Google Cybersecurity Certificate\n* Security Architecture and Engineering: Kiến trúc và kỹ thuật an ninh
