id,answer,question,desc,ref
add1f924-e496-4bd1-9c4a-e9dd1f49bee3,"Kali, Red Hat, CentOS, Ubuntu and SUSE",List any Linux distributions,,
8683fad8-99d1-4e56-8bb3-3cd8f9a06fe9,"Methods include using {BRIGHT_GREEN}useradd{RESET}, {BRIGHT_GREEN}adduser{RESET}, or manually editing {BRIGHT_GREEN}/etc/passwd{RESET} and {BRIGHT_GREEN}/etc/shadow{RESET} files.",List 3 different methods of adding a user,,
c2e49c8f-ffb4-4aee-b0ff-178c6c764bb7,The {BRIGHT_GREEN}/etc{RESET} directory,Which directory has all the configuration files?,,
9eb285dc-9d5f-4dc6-8964-c8f53f90bdf4,Use the command {BRIGHT_GREEN}passwd username{RESET},How to change a user password?,,
213fd473-78df-48a0-8f1c-2a2f60e363ae,Use the command {BRIGHT_GREEN}uname -a{RESET},How to check kernel version?,,
fd2b0de6-b277-4cfa-8655-f6c277703355,Use the {BRIGHT_GREEN}exit{RESET} command,How to log off from the system?,,
bd5402c0-9a5a-40b0-aa26-40badfd04150,Use the {BRIGHT_GREEN}hostname{RESET} command,How to check the computer name or hostname in Linux?,,
9432ca74-c24a-4ac4-8d89-caea21dd5f76,Use the {BRIGHT_GREEN}mkdir{RESET} command,How to create a directory?,,
68788737-7a97-4e41-8958-4235c4048497,Use {BRIGHT_GREEN}ifconfig{RESET} or {BRIGHT_GREEN}ip addr{RESET} or {BRIGHT_GREEN}ip a{RESET},How to check network interfaces in Linux?,,
c5d5ad05-649e-4502-93f9-a98793fa2887,Use {BRIGHT_GREEN}su -{RESET} or {BRIGHT_GREEN}sudo su{RESET} to switch to the root user.,How to become a root user from a regular user?,,
d07dc3b8-5a26-4d6a-9380-e2628c7d25df,"Windows, Linux, macOS",Give any 3 examples of operating systems?,,
dd65f98d-c60a-4faf-b6fe-c551826f9271,"{BRIGHT_GREEN}cd{RESET}, {BRIGHT_GREEN}pwd{RESET} and {BRIGHT_GREEN}ls{RESET}",List 3 basic commands to navigate the filesystem,,
9201ee28-355b-4eb0-8702-bbd6a7da1cfb,{BRIGHT_GREEN}netstat{RESET}: Displays network connections.\n{BRIGHT_GREEN}tcpdump{RESET}: Captures and analyzes network traffic.\n{BRIGHT_GREEN}ping{RESET}: Tests connectivity to another host.\n{BRIGHT_GREEN}traceroute{RESET}: Traces the route packets take to a network host.,List a few commands that are used in troubleshooting network-related issues?,,
