id,answer,question,hint,desc
49d165dc-1107-4109-b32a-976303dfa29c,Attempting all possible password combinations until the correct one is found,"Trong bối cảnh kiểm soát truy cập, tấn công vét cạn (brute force attack) là gì?",,* Attempting all possible password combinations until the correct one is found: Thử tất cả các tổ hợp mật khẩu có thể cho đến khi tìm thấy mật khẩu chính xác\n\n- Tấn công vét cạn (brute force attack) cố gắng giành quyền truy cập bằng cách thử có hệ thống tất cả các tổ hợp ký tự có thể cho đến khi tìm thấy mật khẩu chính xác. Phương pháp này tốn nhiều tài nguyên tính toán nhưng cuối cùng sẽ thành công nếu mật khẩu yếu và không có cơ chế khóa nào.
d5614074-6735-4b24-9e25-f2b3fbd6cbd3,Authentication,Thuật ngữ nào mô tả quá trình xác minh xem người dùng có đúng là người mà họ tự nhận hay không?,,"* Authentication: Xác thực\n\n- Xác thực là quá trình xác minh danh tính người dùng, thường thông qua mật khẩu, sinh trắc học hoặc mã thông báo. Ủy quyền xác định những gì người dùng có thể truy cập, kiểm toán ghi lại các hoạt động và kế toán theo dõi việc sử dụng tài nguyên."
9fd8049d-cf77-43a2-b273-b54dc927d27c,Iris Pattern,Yếu tố sinh trắc học nào ÍT có khả năng thay đổi nhất theo thời gian?,,"* Iris Pattern: Mẫu mống mắt\n\n- Mẫu mống mắt rất ổn định trong suốt cuộc đời của một người, khiến chúng trở thành một trong những yếu tố sinh trắc học đáng tin cậy nhất. Chữ ký, mẫu giọng nói và cân nặng đều có thể thay đổi theo thời gian do nhiều yếu tố khác nhau."
5fcb07db-56de-462b-816e-e35e1b0f58d6,Multi-Factor Authentication,Phương pháp xác thực nào sau đây là AN TOÀN NHẤT?,,"* Multi-Factor Authentication: Xác thực đa yếu tố\n\n- Xác thực đa yếu tố (MFA) là phương pháp bảo mật nhất vì nó yêu cầu hai hoặc nhiều yếu tố xác thực khác nhau (thứ bạn biết, sở hữu hoặc là). Nó cung cấp khả năng bảo vệ mạnh mẽ hơn so với xác thực một yếu tố hoặc thậm chí xác thực hai yếu tố cơ bản."
3a3f0f0b-b97c-41cb-8a65-4ad901896528,Social Engineering,Loại tấn công nào liên quan đến việc lừa người dùng tiết lộ thông tin đăng nhập của họ?,,"* Social Engineering: Tấn công phi kỹ thuật\n\n- Tấn công phi kỹ thuật (social engineering) liên quan đến việc thao túng người khác để họ tiết lộ thông tin mật hoặc thực hiện các hành động làm tổn hại đến an ninh. Lừa đảo (phishing), giả mạo danh tính (pretexting) và dụ dỗ (baiting) là những kỹ thuật tấn công phi kỹ thuật phổ biến nhắm vào thông tin đăng nhập."
86173f96-6807-49eb-9b05-28cf2c002dc5,Something you are,Dấu vân tay và quét võng mạc thuộc loại yếu tố xác thực nào?,,"* Something you are: Bạn là một người như thế nào?\n\n- Các đặc điểm sinh trắc học như dấu vân tay, quét võng mạc và nhận diện khuôn mặt là những yếu tố ""xác định bạn là ai"". Mật khẩu là những gì bạn biết, mã xác thực là những gì bạn sở hữu, và vị trí là nơi bạn đang ở."
0ce0c382-e878-4c01-9eb8-0561502b316e,Synchronous Token,Cơ chế xác thực nào sử dụng mật khẩu dùng một lần và thay đổi định kỳ?,,"* Synchronous Token: Token đồng bộ\n\n- Các token đồng bộ tạo ra mật khẩu dùng một lần, thay đổi định kỳ (thường là 30-60 giây một lần) dựa trên một khóa bí mật được chia sẻ và đồng bộ hóa thời gian. Ví dụ bao gồm RSA SecurID và các ứng dụng xác thực."
bde5fd0a-b380-4a82-86bc-a2c4fd646336,To protect against brute force attacks by disabling accounts after failed login attempts,Chính sách khóa tài khoản có mục đích gì?,,* To protect against brute force attacks by disabling accounts after failed login attempts: Để bảo vệ chống lại các cuộc tấn công vét cạn mật khẩu bằng cách vô hiệu hóa tài khoản sau các lần đăng nhập không thành công\n\n- Chính sách khóa tài khoản giúp bảo vệ chống lại các cuộc tấn công vét cạn bằng cách tạm thời hoặc vĩnh viễn vô hiệu hóa tài khoản sau một số lần đăng nhập không thành công nhất định. Điều này ngăn chặn kẻ tấn công liên tục thử các mật khẩu khác nhau.
ef0b0125-b9ed-4984-9c55-c8480b0a8ff0,Using a password and a fingerprint scan,Câu nào sau đây là một ví dụ về xác thực hai yếu tố?,,"* Using a password and a fingerprint scan: Sử dụng mật khẩu và quét dấu vân tay\n\n- Xác thực hai yếu tố yêu cầu hai yếu tố xác thực khác nhau. Mật khẩu (thứ bạn biết) và dấu vân tay (thứ bạn là) là hai loại yếu tố khác nhau. Hai mật khẩu thuộc cùng một loại yếu tố, và chỉ sử dụng tên người dùng thì không đủ để xác thực."
74655f57-5359-4097-be06-3e9520cf9561,Using stolen username/password pairs from one breach to access accounts on other systems,Credential Stuffing là gì?,,"* Using stolen username/password pairs from one breach to access accounts on other systems: Sử dụng tên người dùng/mật khẩu bị đánh cắp từ một vụ xâm nhập để truy cập vào tài khoản trên các hệ thống khác\n\n- Tấn công nhồi nhét thông tin đăng nhập là một kiểu tấn công trong đó kẻ tấn công sử dụng các tổ hợp tên người dùng/mật khẩu bị đánh cắp từ một vụ rò rỉ dữ liệu để cố gắng đăng nhập vào các hệ thống khác, lợi dụng thói quen phổ biến là sử dụng lại mật khẩu trên nhiều dịch vụ khác nhau."
