id,answer,question,desc,ref
4dc60683-7edd-4bf4-8a95-0450ff947aab,"Là hành vi cố ý vượt qua các cơ chế, công cụ, hoạt động của bảo mật hoặc phương thức khác để chiếm đoạt trái phép thông tin và tài nguyên",Gián điệp mạng (Cyber espionage) là gì?,"- Bao gồm: mạng viễn thông, mạng Internet, mạng máy tính, hệ thống thông tin, hệ thống xử lý và điều khiển thông tin, cơ sở dữ liệu, phương tiện điện tử của cơ quan, tổ chức, cá nhân, ...",
f5e17ce4-ca86-49ef-b151-64f41876485d,"Là hành vi sử dụng không gian mạng, công nghệ thông tin hoặc phương tiện điện tử để phá hoại, gây gián đoạn hoạt động",Tấn công mạng (Cyberattack) là gì?,"- Bao gồm: mạng viễn thông, mạng Internet, mạng máy tính, hệ thống thông tin, hệ thống xử lý và điều khiển thông tin, cơ sở dữ liệu, phương tiện điện tử, ...",
cfddba4e-9956-40f9-82cc-c8a99c325f62,"Là hành vi sử dụng không gian mạng, công nghệ thông tin hoặc phương tiện điện tử để thực hiện phạm tội",Tội phạm mạng (Cybercriminal) là gì?,,
4cdda1e8-4190-4de2-8dfd-c4c5e56bc3ff,"Là hệ thống cơ sở vật chất, kỹ thuật để tạo lập, truyền đưa, thu thập, xử lý, lưu trữ và trao đổi thông tin trên không gian mạng quốc gia",Cơ sở hạ tầng không gian mạng quốc gia (The National Cybersecurity Infrastructure) là gì?,"- Bao gồm: \n\t+ Hệ thống truyền dẫn bao gồm hệ thống truyền dẫn quốc gia, hệ thống truyền dẫn kết nối quốc tế, hệ thống vệ tinh, hệ thống truyền dẫn của doanh nghiệp cung cấp dịch vụ trên mạng viễn thông, mạng Internet, các dịch vụ gia tăng trên không gian mạng. \n\t+ Hệ thống các dịch vụ lõi bao gồm hệ thống phân luồng và điều hướng thông tin quốc gia, hệ thống phân giải tên miền quốc gia (DNS), hệ thống chứng thực quốc gia (PKI/CA) và hệ thống cung cấp dịch vụ kết nối, truy cập Internet của doanh nghiệp cung cấp dịch vụ trên mạng viễn thông, mạng Internet, các dịch vụ gia tăng trên không gian mạng. \n\t+ Dịch vụ, ứng dụng công nghệ thông tin bao gồm dịch vụ trực tuyến; ứng dụng công nghệ thông tin có kết nối mạng phục vụ quản lý, điều hành của cơ quan, tổ chức, tập đoàn kinh tế, tài chính quan trọng; cơ sở dữ liệu quốc gia. \n\t+ Dịch vụ trực tuyến bao gồm chính phủ điện tử, thương mại điện tử, trang thông tin điện tử, diễn đàn trực tuyến, mạng xã hội, blog, ... \n\t+ Cơ sở hạ tầng công nghệ thông tin của đô thị thông minh, Internet vạn vật, hệ thống phức hợp thực - ảo, điện toán đám mây, hệ thống dữ liệu lớn, hệ thống dữ liệu nhanh và hệ thống trí tuệ nhân tạo.",
94055e10-2e83-4c36-9c8a-a408f0006bc5,"Là không gian mạng do Chính phủ xác lập, quản lý và kiểm soát",Không gian mạng quốc gia (The National Cyberspace Environment) là gì?,,
ff70cf98-50b4-4c22-bfcc-822b487cda7b,Là mạng lưới kết nối của cơ sở hạ tầng công nghệ thông tin,Không gian mạng (Cyberspace) là gì?,"- Bao gồm mạng viễn thông, mạng Internet, mạng máy tính, hệ thống thông tin, hệ thống xử lý và điều khiển thông tin, cơ sở dữ liệu, ... \n- Là nơi con người thực hiện các hành vi xã hội không bị giới hạn bởi không gian và thời gian.",
ac0e1e1b-822b-4bc6-bad9-a3c335790486,"Là một hệ thống bao gồm các yếu tố có quan hệ với nhau cùng thực hiện các nhiệm vụ thu thập, xử lý, lưu trữ và phân phối thông tin và dữ liệu",Hệ thống thông tin (Information System) là gì?,"- Các thành phần chính của hệ thống thông tin bao gồm: \n\t+ Phần cứng (Hardware): Các thiết bị vật lý như máy tính, máy chủ, thiết bị lưu trữ, ... \n\t+ Phần mềm (Software): Các chương trình và ứng dụng giúp xử lý và quản lý dữ liệu. \n\t+ Dữ liệu (Data): Thông tin được thu thập và lưu trữ để sử dụng trong quá trình xử lý. \n\t+ Con người (People): Người sử dụng và quản lý hệ thống thông tin. \n\t+ Quy trình (Processes): Các quy trình và thủ tục để thu thập, xử lý và phân phối thông tin.",
50b1e296-5cd7-4ac1-9736-33d8f6af3dfa,"Là nơi diễn ra hoạt động chuyển nhận tín hiệu mạng qua lại giữa Việt Nam và các quốc gia, vùng lãnh thổ khác",Cổng kết nối mạng quốc tế (International Internet Gateway) là gì?,,
2cfd2f5c-84ac-41fc-81a8-508d14bb3b05,"Là phòng ngừa, phát hiện, ngặn chặn, xử lý hành vi xâm phạm an ninh mạng",Bảo vệ an ninh mạng (Cybersecurity Protection) là gì?,,
6ff4ac3e-e245-4166-8bfd-b6902f114403,"Là sự bảo đảm hoạt động trên không gian mạng không gây phương hại đến an ninh quốc gia, trật tự, an toàn xã hội, quyền và lợi ích hợp pháp của cơ quan, tổ chức, cá nhân.",An ninh mạng (Cybersecurity) là gì?,,
