id,answer,question,desc,ref
f16b3328-9ae3-4d8c-b710-e0fd1da9012e,Appends / to directories. {BRIGHT_CYAN}(Thêm dấu / vào sau các thư mục.),What does {BRIGHT_GREEN}ls -p{RESET} do? {BRIGHT_CYAN}(Lệnh ls -p dùng để làm gì?),,
32116998-e586-4eb4-bc39-a0ebc08aaca2,"Appends indicators (/, *, @) to entries. {BRIGHT_CYAN}(Thêm ký hiệu phân biệt sau tên (như /, *, @).)",What does {BRIGHT_GREEN}ls -F{RESET} do? {BRIGHT_CYAN}(Lệnh ls -F dùng để làm gì?),,
093f94fe-5f2b-4f48-8382-afa3ed30584d,"Backslash escapes newline, still runs ls. {BRIGHT_CYAN}(Dấu \ thoát ký tự xuống dòng, vẫn chạy ls.)",What does {BRIGHT_GREEN}ls \{RESET} do? {BRIGHT_CYAN}(Lệnh ls \ dùng để làm gì?),,
88cc493f-590e-4ecf-afeb-1dbcb9783975,"Backslash escapes newline, still runs ls. {BRIGHT_CYAN}(Dấu \ thoát ký tự xuống dòng, vẫn chạy ls.)",What does {BRIGHT_GREEN}ls\{RESET} do? {BRIGHT_CYAN}(Lệnh ls\ dùng để làm gì?),,
d446bad4-52e1-4742-9cbc-d1b544abfaf9,Escapes non-printable characters with backslash. {BRIGHT_CYAN}(Thoát ký tự không in được bằng dấu \.),What does {BRIGHT_GREEN}ls -b{RESET} do? {BRIGHT_CYAN}(Lệnh ls -b dùng để làm gì?),,
3c923516-293f-42e1-9495-d555be2c6a1a,Expands * and runs find on listed items. {BRIGHT_CYAN}(Mở rộng * rồi chạy find trên các mục đó.),What does {BRIGHT_GREEN}find *{RESET} do? {BRIGHT_CYAN}(Lệnh find * dùng để làm gì?),,
82403e58-ec7f-45d4-8875-161d65f63aab,Expands * to list all files in the current directory. {BRIGHT_CYAN}(Mở rộng ký tự * để liệt kê toàn bộ file trong thư mục hiện tại.),What does {BRIGHT_GREEN}ls *{RESET} do? {BRIGHT_CYAN}(Lệnh ls * dùng để làm gì?),,
8383311e-03f2-4a0e-9e17-7216819d80ec,Finds files and cuts only the filename. {BRIGHT_CYAN}(Tìm file rồi cắt lấy phần tên file thôi.),"What does {BRIGHT_GREEN}find . -type f | cut -d ""/"" -f2{RESET} do? {BRIGHT_CYAN}(Lệnh find . -type f | cut -d ""/"" -f2 dùng để làm gì?)",,
86afb4a3-1f32-4baf-a31d-3ef132042b03,Finds only files in current dir and prints names. {BRIGHT_CYAN}(Tìm file trong thư mục hiện tại (không vào subdir) và in tên.),"What does {BRIGHT_GREEN}find . -maxdepth 1 -type f -printf ""%f\n""{RESET} do? {BRIGHT_CYAN}(Lệnh find . -maxdepth 1 -type f -printf ""%f\n"" dùng để làm gì?)",,
9d12d96b-cb79-4089-bb9c-d2d47bb8ae6e,Follows command-line symbolic links. {BRIGHT_CYAN}(Theo liên kết tượng trưng trên dòng lệnh.),What does {BRIGHT_GREEN}ls -H{RESET} do? {BRIGHT_CYAN}(Lệnh ls -H dùng để làm gì?),,
67a2ee30-9214-4f7b-b3bc-a37a0e3569aa,Follows symbolic links to show target info. {BRIGHT_CYAN}(Theo liên kết tượng trưng và hiển thị thông tin của file đích.),What does {BRIGHT_GREEN}ls -L{RESET} do? {BRIGHT_CYAN}(Lệnh ls -L dùng để làm gì?),,
29ab4bbf-c107-4735-97f1-75ac059cea62,Forces multi-column then one entry per line. {BRIGHT_CYAN}(Ép định dạng cột rồi in mỗi mục trên một dòng.),What does {BRIGHT_GREEN}ls -C1{RESET} do? {BRIGHT_CYAN}(Lệnh ls -C1 dùng để làm gì?),,
574ff75a-bda0-420f-a6aa-967192e04b80,"If $pwd is set, lists that directory; otherwise error. {BRIGHT_CYAN}(Nếu biến $pwd tồn tại thì liệt kê thư mục đó, không thì b",What does {BRIGHT_GREEN}ls $pwd{RESET} do? {BRIGHT_CYAN}(Lệnh ls $pwd dùng để làm gì?),,
cee25653-9781-458b-9f01-3e7c82755c96,"Lists all except . and .., one per line. {BRIGHT_CYAN}(Liệt kê tất cả trừ . và .., mỗi cái trên một dòng.)",What does {BRIGHT_GREEN}ls -1A{RESET} do? {BRIGHT_CYAN}(Lệnh ls -1A dùng để làm gì?),,
804c0408-6532-4e5c-8692-c1e89461d56d,"Lists all except . and .., one per line. {BRIGHT_CYAN}(Liệt kê tất cả trừ . và .., mỗi cái trên một dòng.)",What does {BRIGHT_GREEN}ls -A1{RESET} do? {BRIGHT_CYAN}(Lệnh ls -A1 dùng để làm gì?),,
43eec6d9-f7a6-48dd-b603-e46c73e213f8,"Lists all files except . and .. {BRIGHT_CYAN}(Liệt kê tất cả file, trừ . và ..)",What does {BRIGHT_GREEN}ls -A{RESET} do? {BRIGHT_CYAN}(Lệnh ls -A dùng để làm gì?),,
6e21631c-2a76-4216-a729-92967d0eb467,Lists contents in reverse order. {BRIGHT_CYAN}(Liệt kê nội dung theo thứ tự ngược lại.),What does {BRIGHT_GREEN}ls -r{RESET} do? {BRIGHT_CYAN}(Lệnh ls -r dùng để làm gì?),,
1b52ecb7-46e7-48cf-829a-3af82633e102,Lists contents of /var/challenges/list_files. {BRIGHT_CYAN}(Liệt kê nội dung của thư mục /var/challenges/list_files.),What does {BRIGHTGREEN}ls /var/challenges/list_files{RESET} do? {BRIGHT_CYAN}(Lệnh ls /var/challenges/list_files dùng để làm gì?),,
9c1bf853-e0f2-475e-ba8b-5f5584996a82,Lists contents of the current directory (.). {BRIGHT_CYAN}(Liệt kê nội dung của thư mục hiện tại ..),What does {BRIGHT_GREEN}ls .{RESET} do? {BRIGHT_CYAN}(Lệnh ls . dùng để làm gì?),,
ee8c377f-6dde-48a0-b317-82c7185261b5,Lists contents of the current directory (./). {BRIGHT_CYAN}(Liệt kê nội dung của thư mục hiện tại ./.),What does {BRIGHT_GREEN}ls ./{RESET} do? {BRIGHT_CYAN}(Lệnh ls ./ dùng để làm gì?),,
43d4b59c-66d8-4b4b-919d-e40eed24e607,"Lists current directory, one item per line. {BRIGHT_CYAN}(Liệt kê thư mục hiện tại, mỗi mục trên một dòng.)",What does {BRIGHT_GREEN}ls -1 .{RESET} do? {BRIGHT_CYAN}(Lệnh ls -1 . dùng để làm gì?),,
1c88490a-a572-4431-8e53-f9cf2fc78155,Lists files and directories in the current directory. {BRIGHT_CYAN}(Liệt kê file và thư mục trong thư mục hiện tại.),What does {BRIGHT_GREEN}ls{RESET} do? {BRIGHT_CYAN}(Lệnh ls dùng để làm gì?),,
8f4d6864-0a60-42e3-a99f-17c6004fe220,"Lists files, then sorts them alphabetically. {BRIGHT_CYAN}(Liệt kê file rồi sắp xếp theo thứ tự chữ cái.)",What does {BRIGHT_GREEN}ls | sort{RESET} do? {BRIGHT_CYAN}(Lệnh ls | sort dùng để làm gì?),,
da1fbc17-d462-4eaf-a925-62d774623f44,"Lists one file per line (same as ls -1). {BRIGHT_CYAN}(Liệt kê mỗi file trên một dòng, tương tự ls -1.)",What does {BRIGHT_GREEN}dir -1{RESET} do? {BRIGHT_CYAN}(Lệnh dir -1 dùng để làm gì?),,
5805f4d4-fe0a-4858-b188-92644b2e7c2a,Lists one file per line. {BRIGHT_CYAN}(Liệt kê mỗi file/thư mục trên một dòng.),What does {BRIGHT_GREEN}ls -1{RESET} do? {BRIGHT_CYAN}(Lệnh ls -1 dùng để làm gì?),,
4c64d974-6d3a-4f32-afd3-e8ac4624cff5,"Lists only files (filters out directories). {BRIGHT_CYAN}(Liệt kê chỉ các file, loại bỏ thư mục.)",What does {BRIGHT_GREEN}ls -p | grep -v /{RESET} do? {BRIGHT_CYAN}(Lệnh ls -p | grep -v / dùng để làm gì?),,
