id,answer,question,hint,desc
70392a82-a0f8-4a57-a571-05275a96ee94,Là hành vi thu thập và kiểm tra các gói dữ liệu trên mạng.,Network: Packet Sniffing là gì?,,* Packet Sniffing: Nghe lén gói tin
e3700047-ee44-4339-950f-70402208b004,Là lượng dữ liệu mà thiết bị nhận được mỗi giây.,Network: Bandwidth là gì?,,* Bandwidth: Băng thông
a9003b3d-e0c5-4762-afa6-cde0e13b26f3,Là mạng trải rộng trong một khu vực nhỏ,Network: LAN là gì?,"- Chẳng hạn như một tòa nhà văn phòng, trường học, nhà, ...",* Local Area Network (LAN): Mạng cục bộ
5539002e-a706-4751-9845-3b4018e32187,Là mạng trải rộng trên một khu vực địa lý lớn,Network: WAN là gì?,"- Chẳng hạn như thành phố, tỉnh hay quốc gia.",* Wide Area Network (WAN): Mạng diện rộng
13d35890-ca37-4855-bbe3-92cdad2d0174,Là một nhóm các thiết bị được kết nối với nhau.,Network: Mạng là gì?,,
b21384f0-e8a2-4ad2-aa21-8f37635e53bd,Là một ví trí dựa trên phần mềm có chức năng tổ chức việc gửi và nhận dữ liệu giữa các thiết bị trên mạng,Network: Port là gì?,,* Port: Cổng mạng/Cổng dịch vụ
f40b30ae-3c37-4be3-b711-34cf59d7547c,Là những phần mềm thực hiện các thao tác mạng,Network: Virturalization Tools là gì?,,* Virturalization Tools: Công cụ ảo hóa
8ade5289-c8f2-467c-849b-71f5018dac5b,Là thiết bị mạng có chức năng kết nối nhiều mạng với nhau,Network: Router là gì?,,* Router: Bộ định tuyến
84729594-9607-487f-b486-3e63d465bd83,Là thiết bị mạng có chức năng kết nối router với internet và cung cấp truy cập Internet cho mạng LAN,Network: Modem là gì?,,
b75a7ee7-1a19-4ae2-a830-131bc662ead9,Là thiết bị mạng có chức năng phát thông tin đến mọi thiết bị trong mạng.,Network: Hub là gì?,,* Hub: Bộ chia tín hiệu
4367d767-df81-416b-a0b8-ab97ccc6d8b9,Là thiết bị mạng có chức năng tạo kết nối giữa các thiết bị cụ thể trên mạng bằng cách gửi và nhận dữ liệu,Network: Switch là gì?,"- Thông minh hơn Hub, nó chỉ truyền dữ liệu đến đích đã định.",* Switch: Bộ chuyển mạch
c09be267-bd4b-4f0d-bed4-586e428a75ba,Là tập hợp các máy chủ hoặc máy tính lưu trữ tài nguyên và dữ liệu trong một trung tâm dữ liệu từ xa thông qua Internet,Network: Cloud Network là gì?,,* Cloud Network: Mạng đám mây
cabe87fb-bbf9-48f7-a546-2fcdb8c8d1b1,Là tốc độ nhận hoặc tải xuống các gói dữ liệu,Network: Speed là gì?,,* Speed: Tốc độ mạng
b5e5ec68-563e-4389-af90-7f30d3216a1f,"Là việc sử dụng các máy chủ, ứng dụng và dịch vụ từ xa được lưu trữ trên Internet thay vì các thiết bị vật lý.",Network: Cloud Computing là gì?,,* Cloud Computing: Điện toán đám mây
dbf4b9c7-f50b-4814-b18a-25c062a62867,Là đơn vị thông tin cơ bản truyền từ thiết bị này sang thiết bị khác trong mạng,Network: Data Packet là gì?,,* Data Packet: Gói dữ liệu
f8c894dc-a9f1-4c6b-98e6-d64f355231c0,"Người gửi, người nhận và kênh truyền thông",Network: Các yếu tố của giao tiếp là gì?,"* Sender, Receiver, Chanel",
25c31e5b-4eb7-40e1-a017-ce0f2c2cdbfe,Vì nó có khả năng kiểm soát luồng lưu lượng truy cập và cải thiện hiệu suất mạng,Network: Tại sao Switch an toàn và nhanh hơn Hub?,,
776eecb9-dd04-48e3-a7fc-e52e3216090e,Đúng,Network: Router sẽ đọc địa chỉ đích đến truyền đến nhiều router cho đến khi tới router đích của gói tin là đúng hay sai?,,
7f1a58de-48de-4144-8d25-5c340af86f03,Đúng,Network: Router đích sau khi nhận gói tin sẽ truyền đến máy đích là đúng hay sai?,,
e6734007-0da3-4cbb-8faf-dba90320c82c,Đúng,"Network: Trước khi gửi gói tin đi, router sẽ mở gói tin để tìm địa chỉ đích đến?",,
dc6e9342-26b4-4c5f-b347-230eea1ace5c,Đúng,"Network: Trước khi gửi gói tin đi, router sẽ đọc gói tin để tìm địa chỉ đích là đúng hay sai?",,
