id,answer,question,hint,desc
0458f00b-388f-4812-b342-e93721d33f5b,/27 (255.255.255.224),Một kỹ sư mạng cần chia mạng con 192.168.1.0/24 thành các mạng con có ít nhất 30 địa chỉ máy chủ khả dụng. Nên sử dụng mặt nạ mạng con nào?,"- Số máy chủ khả dụng = 2^(bit máy chủ) - 2. Đối với /27: 32 - 5 = 27 bit mạng, 5 bit máy chủ → 2^5 - 2 = 30 máy chủ.","- Category: Network Concepts; Topics: IP Addressing\n\n- Một mạng con /27 có tổng cộng 2^5 = 32 địa chỉ, cung cấp 32 - 2 = 30 địa chỉ máy chủ khả dụng (trừ đi địa chỉ mạng và địa chỉ quảng bá). Một mạng con /28 chỉ cung cấp 14 máy chủ khả dụng, quá ít. Một mạng con /26 cung cấp 62 máy chủ khả dụng, và /25 cung cấp 126 máy chủ khả dụng — cả hai đều hoạt động nhưng lãng phí không gian địa chỉ nếu cần chính xác 30 máy chủ."
e18ccd28-e0c1-4287-a315-2ec5d65624d0,802.11ac (Wi-Fi 5),"Chuẩn không dây nào hoạt động độc quyền ở băng tần 5 GHz, hỗ trợ tốc độ truyền dữ liệu lên đến 3,5 Gbps và giới thiệu công nghệ MU-MIMO?","- Wi-Fi 6 (802.11ax) = Tốc độ tối đa 9,6 Gbps, cả hai băng tần 2,4/5 GHz, OFDMA. Wi-Fi 5 (802.11ac) = Tốc độ 3,5 Gbps, chỉ 5 GHz, MU-MIMO.","- Category: Network Implementation; Topics: Wireless Standards\n\n- Chuẩn IEEE 802.11ac (Wi-Fi 5) hoạt động độc quyền trên băng tần 5 GHz và giới thiệu công nghệ MIMO đa người dùng (MU-MIMO), cho phép giao tiếp đồng thời với nhiều thiết bị. Chuẩn này hỗ trợ thông lượng lý thuyết lên đến 3,5 Gbps. Chuẩn 802.11n (Wi-Fi 4) hoạt động trên băng tần 2,4 hoặc 5 GHz với tốc độ lên đến 600 Mbps. Chuẩn 802.11ax (Wi-Fi 6) giới thiệu công nghệ OFDMA và hoạt động trên cả băng tần 2,4 và 5 GHz. Chuẩn 802.11g là chuẩn cũ hơn chỉ hoạt động trên băng tần 2,4 GHz."
0490069e-8be5-49d2-a8f3-b5bfe08649a6,Add a default gateway address pointing to the local router,Một kỹ thuật viên chạy lệnh `ipconfig /all` trên máy tính Windows và thấy không có cổng mặc định nào được cấu hình. Máy tính có thể ping các thiết bị khác trên cùng mạng con nhưng không thể truy cập bất kỳ mạng bên ngoài nào. Cần phải cấu hình gì để giải quyết vấn đề này?,* Thêm địa chỉ cổng mặc định trỏ đến bộ định tuyến cục bộ,"- Category: Network Troubleshooting; Topics: IP Troubleshooting\n\n* Add a default gateway address pointing to the local router: Thêm địa chỉ cổng mặc định trỏ đến bộ định tuyến cục bộ\n- Cổng mặc định là địa chỉ IP của bộ định tuyến trên mạng con cục bộ xử lý lưu lượng truy cập đến các mạng khác. Nếu không có cổng mặc định, máy tính không thể định tuyến gói tin ra ngoài mạng con cục bộ của nó. Máy tính có thể giao tiếp với các thiết bị trên cùng mạng con vì nó sử dụng giao thức ARP trực tiếp. Để truy cập các mạng bên ngoài, cần phải cấu hình cổng mặc định (thủ công đối với địa chỉ IP tĩnh hoặc được cung cấp tự động bởi DHCP). Thêm DNS hoặc thay đổi mặt nạ mạng con sẽ không khắc phục được sự cố định tuyến đến các mạng khác."
0c5ca431-9068-4130-8503-7cac3be82c7d,Cloud-based disaster recovery with pre-provisioned compute and replicated data,Một văn phòng từ xa bị mất kết nối WAN với trụ sở chính. Kế hoạch phục hồi sau thảm họa yêu cầu tất cả các ứng dụng quan trọng phải được khôi phục cục bộ tại địa điểm từ xa trong vòng 2 giờ. Chiến lược phục hồi sau thảm họa nào hỗ trợ tốt nhất yêu cầu này?,* Giải pháp phục hồi sau thảm họa dựa trên đám mây với tài nguyên điện toán được cấp phát trước và dữ liệu được sao chép,"- Category: Network Operations; Topics: Disaster Recovery\n\n* Cloud-based disaster recovery with pre-provisioned compute and replicated data: Giải pháp phục hồi sau thảm họa dựa trên đám mây với tài nguyên điện toán được cấp phát trước và dữ liệu được sao chép\n- Giải pháp phục hồi thảm họa dựa trên đám mây (cloud-based DR - chuyển đổi dự phòng trên đám mây, cloud DR) cung cấp trước các tài nguyên điện toán và liên tục sao chép dữ liệu lên đám mây. Khi xảy ra sự cố mạng diện rộng (WAN) (hoặc bất kỳ thảm họa nào), hệ thống sẽ tự động chuyển đổi sang đám mây trong vòng vài phút. Người dùng tại văn phòng từ xa có thể truy cập hệ thống thông qua internet hoặc kết nối cục bộ trực tiếp đến đám mây. Điều này đáp ứng được thời gian phục hồi mục tiêu (RTO) 2 giờ. Sao lưu bằng băng từ yêu cầu vận chuyển vật lý. Cài đặt lại thủ công mất quá nhiều thời gian. Các bản sao lưu trên bộ định tuyến bị lỗi không thể truy cập được."
df282036-7e11-4926-9a93-1a1fa1c2c7c2,Configure a dedicated voice VLAN and implement 802.1X authentication for IP phones,Người quản trị cần đảm bảo rằng chỉ những điện thoại IP cụ thể mới có thể đăng ký với trình quản lý cuộc gọi VoIP và tất cả lưu lượng thoại được tách biệt khỏi lưu lượng dữ liệu. Hai cấu hình nào sau đây thực hiện điều này TỐT NHẤT?,* Configure a dedicated voice VLAN and implement 802.1X authentication for IP phones: Cấu hình VLAN thoại chuyên dụng và triển khai xác thực 802.1X cho điện thoại IP.,"- Category: Network Operations; Topics: Network Documentation\n\n* Configure a dedicated voice VLAN and implement 802.1X authentication for IP phones: Cấu hình VLAN thoại chuyên dụng và triển khai xác thực 802.1X cho điện thoại IP\n- VLAN thoại chuyên dụng tách biệt lưu lượng VoIP khỏi lưu lượng dữ liệu, cải thiện hiệu suất và bảo mật. Xác thực dựa trên cổng 802.1X yêu cầu các thiết bị phải xác thực trước khi có quyền truy cập mạng, đảm bảo chỉ những điện thoại IP được ủy quyền mới có thể kết nối. Sự kết hợp của hai yếu tố này cung cấp cả phân đoạn và kiểm soát truy cập. QoS ưu tiên lưu lượng thoại nhưng không hạn chế thiết bị nào có thể đăng ký. STP dùng để ngăn chặn vòng lặp, chứ không phải bảo mật thoại."
77351ab7-84f1-4b11-a03d-12a719bf6cc3,Dedicated leased line (point-to-point circuit),Nhóm ứng dụng của một công ty yêu cầu kết nối chuyên dụng 1 Gbps giữa hai trung tâm dữ liệu với độ trễ được đảm bảo dưới 5ms. Dịch vụ WAN nào là PHÙ HỢP NHẤT?,* Đường truyền thuê riêng (mạch điểm-đến-điểm),"- Category: Network Concepts; Topics: Network Architecture\n\n* Dedicated leased line (point-to-point circuit): Đường truyền thuê riêng (mạch điểm-đến-điểm)\n- Các đường truyền thuê riêng (T3/DS3 điểm-đến-điểm, Metro Ethernet hoặc mạch cáp quang) cung cấp băng thông được đảm bảo và độ trễ thấp, có thể dự đoán được vì chúng sử dụng cơ sở hạ tầng vật lý chuyên dụng, không chia sẻ với các khách hàng khác. Thỏa thuận mức dịch vụ (SLA) của nhà cung cấp dịch vụ Internet (ISP) đối với các đường truyền thuê riêng bao gồm đảm bảo về băng thông và độ trễ. VPN trên mạng internet dùng chung cung cấp hiệu suất tối đa có thể - băng thông và độ trễ thay đổi tùy thuộc vào tình trạng tắc nghẽn mạng. Các dịch vụ băng rộng không đối xứng và dễ bị tắc nghẽn mà không có sự đảm bảo nào."
a32516d3-f05a-47ea-a994-7d95b72c67b1,Domain Name System (DNS),Giao thức nào tự động ánh xạ tên máy chủ thành địa chỉ IP và hoạt động trên cổng UDP 53 cho các truy vấn tiêu chuẩn?,* Hệ thống tên miền,"- Category: Network Concepts; Topics: Network Services\n\n* Domain Name System (DNS): Hệ thống tên miền\n- DNS (Hệ thống Tên Miền) phân giải các tên máy chủ dễ đọc (www.example.com) thành địa chỉ IP. DNS sử dụng cổng UDP 53 cho các truy vấn tiêu chuẩn (nhanh, chi phí thấp) và cổng TCP 53 cho việc truyền vùng và các phản hồi lớn (>512 byte trong DNS truyền thống, mặc dù EDNS0 mở rộng dung lượng UDP). DHCP gán cấu hình IP. LDAP truy vấn các dịch vụ thư mục. WINS là một dịch vụ phân giải tên NetBIOS cũ."
d70bddd0-03f7-4b3e-9694-6c9717b1b620,Port security with MAC address limiting,Quản trị viên triển khai xác thực dựa trên cổng 802.1X trên tất cả các cổng chuyển mạch có dây. Kẻ tấn công kết nối một hub vào một cổng và sử dụng địa chỉ MAC đã được xác thực để gửi lưu lượng truy cập trái phép. Biện pháp bảo mật bổ sung nào có thể ngăn chặn điều này?,* Bảo mật cổng với giới hạn địa chỉ MAC,"- Category: Network Security; Topics: Security Devices\n\n* Port security with MAC address limiting: Bảo mật cổng với giới hạn địa chỉ MAC\n- Nếu kẻ tấn công kết nối một hub giữa thiết bị hợp pháp và switch, chúng có thể giả mạo địa chỉ MAC đã được xác thực. Bảo mật cổng với giới hạn MAC sẽ hạn chế số lượng địa chỉ MAC có thể được học trên một cổng duy nhất — giới hạn cổng chỉ được học 1 địa chỉ MAC có nghĩa là các thiết bị bổ sung của hub sẽ bị chặn. Đây là một biện pháp bảo mật đa lớp bổ sung cho chuẩn 802.1X. Ngoài ra, xác thực đa lớp 802.1X có thể yêu cầu mỗi thiết bị phải xác thực riêng lẻ."
2de3a3a4-f6e8-4474-8626-741ade72c69d,Principle of least privilege,"Khái niệm bảo mật mạng nào giới hạn mỗi người dùng và quy trình chỉ được cấp các quyền và tài nguyên cần thiết để thực hiện chức năng của chúng, nhằm giảm thiểu thiệt hại tiềm tàng từ các tài khoản bị xâm phạm?",* Nguyên tắc đặc quyền tối thiểu,"- Category: Network Security; Topics: Security Concepts\n\n* Principle of least privilege: Nguyên tắc đặc quyền tối thiểu\n- Nguyên tắc đặc quyền tối thiểu quy định rằng người dùng, tài khoản và quy trình chỉ nên có các quyền tối thiểu cần thiết để thực hiện các chức năng công việc cụ thể của chúng. Nếu một tài khoản có đặc quyền tối thiểu bị xâm phạm, quyền truy cập của kẻ tấn công sẽ bị giới hạn chỉ trong phạm vi mà tài khoản đó có thể thực hiện. Điều này giúp ngăn chặn các vi phạm và hạn chế sự di chuyển ngang. Phòng thủ nhiều lớp sử dụng nhiều lớp bảo mật chồng chéo. Phân công nhiệm vụ chia các nhiệm vụ quan trọng cho nhiều người để ngăn chặn gian lận."
93c0dc7a-b4f5-4ef4-907f-716ff6d02180,To carry traffic from multiple VLANs between switches using 802.1Q tagging,Cổng chuyển mạch được cấu hình là cổng trunk. Mục đích chính của cổng trunk trên một switch quản lý là gì?,* Để truyền tải lưu lượng truy cập từ nhiều VLAN giữa các thiết bị chuyển mạch bằng cách sử dụng gắn thẻ 802.1Q,- Category: Network Implementation; Topics: VLAN Trunking\n\n* To carry traffic from multiple VLANs between switches using 802.1Q tagging: Để truyền tải lưu lượng truy cập từ nhiều VLAN giữa các thiết bị chuyển mạch bằng cách sử dụng gắn thẻ 802.1Q\n- Cổng trunk truyền tải lưu lượng truy cập cho nhiều VLAN đồng thời giữa các switch (hoặc giữa switch và router) bằng cách sử dụng gắn thẻ IEEE 802.1Q. Mỗi khung dữ liệu được gắn thẻ ID VLAN để thiết bị nhận biết nó thuộc VLAN nào. Cổng access kết nối các thiết bị đầu cuối và chỉ truyền tải một VLAN. Giao thức STP ngăn ngừa vòng lặp. PoE cung cấp nguồn điện qua cáp.
