id,answer,question,hint,desc
e4dc4f04-6a34-4840-a81e-13be014db1f6,Reconnaissance > Active Scanning,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thực hiện quét trinh sát chủ động để thu thập thông tin có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Quét chủ động là những cuộc quét mà kẻ tấn công thăm dò cơ sở hạ tầng nạn nhân thông qua lưu lượng mạng, trái ngược với các hình thức trinh sát khác không liên quan đến tương tác trực tiếp."
89668cbf-33dc-4a9d-aaad-d004d7e37035,Reconnaissance > Active Scanning: Scanning IP Blocks,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể quét các khối IP của nạn nhân để thu thập thông tin có thể được sử dụng trong quá trình nhắm mục tiêu.,,- Địa chỉ IP công cộng có thể được phân bổ cho các tổ chức theo khối hoặc một loạt các địa chỉ tuần tự.
9f28e6af-0cdd-41c5-99f6-569451643f72,Reconnaissance > Active Scanning: Vulnerability Scanning,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể quét nạn nhân để tìm các lỗ hổng có thể được sử dụng trong quá trình nhắm mục tiêu.,,- Quét lỗ hổng bảo mật thường kiểm tra xem cấu hình của máy chủ/ứng dụng mục tiêu (ví dụ: phần mềm và phiên bản) có khả năng phù hợp với mục tiêu khai thác cụ thể mà kẻ tấn công có thể tìm cách sử dụng hay không.
18a2890e-0f45-4307-8ae2-2f17021b13b7,Reconnaissance > Active Scanning: Wordlist Scanning,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thăm dò cơ sở hạ tầng lặp đi lặp lại bằng cách sử dụng các kỹ thuật cưỡng bức và thu thập dữ liệu.,,"- Mặc dù kỹ thuật này sử dụng các phương pháp tương tự như Brute Force, nhưng mục tiêu của nó là xác định nội dung và cơ sở hạ tầng hơn là khám phá thông tin đăng nhập hợp lệ. \n- Danh sách từ được sử dụng trong các lần quét này có thể chứa tên chung, thường được sử dụng và phần mở rộng tệp hoặc thuật ngữ dành riêng cho một phần mềm cụ thể. \n- kẻ tấn công cũng có thể tạo danh sách từ tùy chỉnh, dành riêng cho mục tiêu bằng cách sử dụng dữ liệu thu thập được từ các kỹ thuật Trinh sát khác (ví dụ: Thu thập thông tin tổ chức nạn nhân hoặc Tìm kiếm các trang web do nạn nhân sở hữu)."
5107d39b-2114-4c39-bf30-03d7f3d8f582,Reconnaissance > Gather Victim Host Information,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin về máy chủ của nạn nhân có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Thông tin về máy chủ có thể bao gồm nhiều chi tiết, bao gồm dữ liệu quản trị (ví dụ: tên, IP được chỉ định, chức năng, v.v.) cũng như các chi tiết cụ thể liên quan đến cấu hình của nó (ví dụ: hệ điều hành, ngôn ngữ, v.v.)."
d99821a5-794d-4739-ab17-12c8e3113d79,Reconnaissance > Gather Victim Host Information: Client Configurations,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin về cấu hình khách hàng của nạn nhân có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Thông tin về cấu hình máy khách có thể bao gồm nhiều chi tiết và cài đặt, bao gồm hệ điều hành/phiên bản, ảo hóa, kiến trúc (ví dụ: 32 hoặc 64 bit), ngôn ngữ và/hoặc múi giờ."
b4d44565-b580-42f6-a471-dd14de2e8479,Reconnaissance > Gather Victim Host Information: Firmware,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin về chương trình cơ sở máy chủ của nạn nhân có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Thông tin về chương trình cơ sở máy chủ có thể bao gồm nhiều chi tiết như loại và phiên bản trên các máy chủ cụ thể, có thể được sử dụng để suy ra thêm thông tin về máy chủ trong môi trường (ví dụ: cấu hình, mục đích, tuổi / cấp bản vá, v.v.)."
940f1676-10ef-4944-975d-cf10246dec7c,Reconnaissance > Gather Victim Host Information: Hardware,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin về phần cứng máy chủ của nạn nhân có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Thông tin về cơ sở hạ tầng phần cứng có thể bao gồm nhiều chi tiết như loại và phiên bản trên các máy chủ cụ thể, cũng như sự hiện diện của các thành phần bổ sung có thể là dấu hiệu của các biện pháp bảo vệ phòng thủ bổ sung (ví dụ: đầu đọc thẻ/sinh trắc học, phần cứng mã hóa chuyên dụng, v.v.)."
dbd0be4e-76e2-489b-be58-4c0de3578a2a,Reconnaissance > Gather Victim Host Information: Software,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin về phần mềm máy chủ của nạn nhân có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Thông tin về phần mềm đã cài đặt có thể bao gồm nhiều chi tiết như loại và phiên bản trên các máy chủ cụ thể, cũng như sự hiện diện của các thành phần bổ sung có thể là dấu hiệu của các biện pháp bảo vệ bổ sung (ví dụ: chống vi-rút, SIEM, v.v.)."
ad620e55-7c86-4d57-be49-96d2085b8818,Reconnaissance > Gather Victim Identity Information,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin về danh tính của nạn nhân có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Thông tin về danh tính có thể bao gồm nhiều chi tiết, bao gồm dữ liệu cá nhân (ví dụ: tên nhân viên, địa chỉ email, câu trả lời câu hỏi bảo mật, v.v.) cũng như các chi tiết nhạy cảm như thông tin đăng nhập hoặc cấu hình xác thực đa yếu tố (MFA)."
baaf3af5-f9ce-4b07-b92d-5ff59f36d9d1,Reconnaissance > Gather Victim Identity Information: Credentials,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập thông tin đăng nhập có thể được sử dụng trong quá trình nhắm mục tiêu.,,- Thông tin đăng nhập tài khoản do kẻ tấn công thu thập có thể là thông tin đăng nhập liên quan trực tiếp đến tổ chức nạn nhân mục tiêu hoặc cố gắng lợi dụng xu hướng người dùng sử dụng cùng một mật khẩu trên các tài khoản cá nhân và doanh nghiệp.
89ee2403-a479-4eb4-be4f-20c2c573fe31,Reconnaissance > Gather Victim Identity Information: Email Addresses,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập địa chỉ email có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Ngay cả khi có các phiên bản nội bộ, các tổ chức có thể có cơ sở hạ tầng email và địa chỉ công khai cho nhân viên."
fb9c85fe-46d5-44b3-bbc5-acd90d7e6c69,Reconnaissance > Gather Victim Identity Information: Employee Names,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thu thập tên nhân viên có thể được sử dụng trong quá trình nhắm mục tiêu.,,- Tên nhân viên được sử dụng để lấy địa chỉ email cũng như giúp hướng dẫn các nỗ lực trinh sát khác và / hoặc tạo ra các mồi nhử đáng tin cậy hơn.
