id,answer,question,desc,ref
99fdac55-449f-4da3-9fcf-38271d884639,3,Mô hình mạng của Cisco chia thành mấy lớp trong mô hình phân cấp truyền thống?,"- Cisco Hierarchical Model gồm ba lớp: Core (Lõi), Distribution (Phân phối), và Access (Truy cập).",
57dfe202-026a-441b-998e-8ce0caa7dd72,Access Layer (Lớp truy cập),Lớp nào cung cấp kết nối cho người dùng cuối đến mạng?,"- Access Layer kết nối thiết bị người dùng như PC, IP Phone, hoặc AP (Access Point - Điểm truy cập).",
ed1e65c0-e7fe-424d-965d-98066ae169bc,AP (Access Point - Điểm truy cập),Thiết bị nào trong mạng không dây chịu trách nhiệm kết nối các thiết bị đầu cuối vào mạng có dây?,- Access Point là thiết bị trung gian giúp các thiết bị không dây truy cập vào mạng LAN có dây.,
e0e6da9f-83f0-41ef-b36d-807ecedf02ca,Bus (Tuyến),Tô-pô nào cho phép tất cả các thiết bị chia sẻ cùng một đường truyền vật lý?,"- Trong Bus Topology, tất cả thiết bị chia sẻ một đường truyền chính, dữ liệu di chuyển theo hai hướng và dễ bị xung đột (collision).",
4cb420a1-3ca5-403d-a6fe-05fd419af2b2,Centralized Architecture (Kiến trúc tập trung),Mô hình mạng nào tập trung toàn bộ tài nguyên ở một nơi và người dùng truy cập từ xa?,"- Centralized Architecture lưu trữ và quản lý tất cả tài nguyên ở trung tâm, giúp dễ kiểm soát và bảo mật.",
b17433a7-acc2-454f-b449-d51e8cb0acbc,Cisco DNA Center,Thành phần điều phối trung tâm trong kiến trúc SD-Access là gì?,"- Cisco DNA Center là công cụ quản lý SDN, cho phép tự động hóa, giám sát và điều phối toàn bộ hạ tầng mạng.",
68c7fd1b-b071-4b45-8fe6-2ffd75c84f39,Cloud-based Wireless Architecture (Kiến trúc không dây dựa trên đám mây),Mô hình mạng không dây nào triển khai thông qua Cloud (Đám mây)?,"- Cloud-based Wireless Architecture cho phép quản lý, giám sát AP từ xa thông qua nền tảng đám mây của nhà cung cấp.",
8f6f27a5-c3bc-4d41-8f6a-251458ebb539,Control Plane (Mặt điều khiển) và Data Plane (Mặt dữ liệu),Kiến trúc mạng SDN (Software Defined Networking - Mạng được định nghĩa bằng phần mềm) phân tách gì?,"- SDN tách control plane ra khỏi thiết bị mạng, cho phép quản lý tập trung và linh hoạt.",
2f34b299-06b8-4cc6-ab41-7c0e8526bb8f,Controller-based Architecture (Kiến trúc điều khiển trung tâm),Kiến trúc mạng không dây có controller (bộ điều khiển) trung tâm gọi là gì?,"- Trong mô hình controller-based, WLC (Wireless LAN Controller - Bộ điều khiển mạng LAN không dây) quản lý tập trung các AP.",
591ae307-4156-49c3-99c2-cf63aa7d1729,Core Layer (Lớp lõi),Lớp nào tập trung vào tốc độ và độ tin cậy cao trong việc truyền dữ liệu?,"- Core Layer là “xương sống” của mạng, ưu tiên tốc độ, hiệu suất và độ tin cậy.",
