id,answer,question,desc,ref
ffcb9dc1-82c2-45a9-98c5-ed90d86077cb,Bộ định tuyến (Router),Bộ chuyển mạch đa lớp là thiết bị nào?,"Router hoạt động ở nhiều tầng (Layer 3 trở lên), nên được gọi là multilayer switch.",
ca19c7c7-fab7-4b1a-8866-0fbcf70f234f,Frame,Đơn vị dữ liệu giao thức ở tầng liên kết dữ liệu trong mô hình OSI được gọi là?,,
c8b85ec9-43bd-4bba-939e-42bd15768830,Gói dữ liệu (Datagram),Đơn vị dữ liệu giao thức UDP trong mô hình OSI được gọi là?,,
76ed473e-84c6-4109-b1d5-58c3be3d06b8,Gói tin (Packet),Đơn vị dữ liệu giao thức ở tầng mạng trong mô hình OSI được gọi là?,,
96a4d5ac-802a-473f-a26b-4da36ee1853a,Số nhị phân (Bit),Đơn vị dữ liệu giao thức ở tầng vật lý trong mô hình OSI được gọi là?,,
64c76430-b7f3-42a5-9df1-14dff66267a9,Tầng liên kết dữ liệu (Data-link Layer),Address Resolution Protocol (ARP) là giao thức thuộc tầng nào trong mô hình OSI?,,
1d5a7957-acf8-423d-bf67-5918b2bbcca1,Tầng liên kết dữ liệu (Data-link Layer),Bộ chuyển mạch (Switch) là thiết bị thuộc tầng nào trong mô hình OSI?,,
953523ac-f1b9-4e5c-93c2-31f139536c3e,Tầng liên kết dữ liệu (Data-link Layer),Bộ cầu nối (Brigde) là thiết bị thuộc tầng nào trong mô hình OSI?,,
33e93714-f310-4226-b659-c749bb8673bb,Tầng liên kết dữ liệu (Data-link Layer),Bộ điều hợp mạng (Network adapter) là thiết bị thuộc tầng nào trong mô hình OSI?,,
68caf9be-6550-457d-a2ac-9e7fbc5263ac,Tầng liên kết dữ liệu (Data-link Layer),Network Interface Card (NIC) nằm ở tầng nào trong mô hình OSI?,,
462aca81-369b-43ec-ae6a-1ba7d3fd3c83,Tầng liên kết dữ liệu (Data-link Layer),Tầng 2 trong mô hình OSI còn được gọi là gì?,,
720a791e-48b3-4d26-a079-b7082b6a2b09,Tầng mạng (Network Layer),Bộ định tuyến (Router) là thiết bị thuộc tầng nào trong mô hình OSI?,,
5555af46-b5ce-4055-8e23-23a251fb6bf2,Tầng mạng (Network Layer),Internet Control Message Protocol (ICMP) là giao thức thuộc tầng nào trong mô hình OSI?,,
dd28b239-3317-404b-8ece-0ab793414435,Tầng mạng (Network Layer),Internet Protocol (IP) là giao thức thuộc tầng nào trong mô hình OSI?,,
87a2bc01-6325-4bba-9860-9bb70018d096,Tầng mạng (Network Layer),Tầng 3 trong mô hình OSI còn được gọi là gì?,,
a4a91afa-1182-4c17-8597-b17fa8ce49ed,Tầng phiên (Session Layer),Tầng 5 trong mô hình OSI còn được gọi là gì?,,
740cf61b-aa43-4c75-8790-3aebd0225bb7,Tầng phiên (Session Layer),"Tầng nào chịu trách nhiệm mở, đóng và duy trì kết nối giữa các ứng dụng?",,
4dc8c27d-5639-4325-a4cc-bb360d5594f6,Tầng trình bày (Presentation Layer),Tầng 6 trong mô hình OSI còn được gọi là gì?,,
97c3af4b-5242-4dcd-b7d2-5eebfb1b40d0,Tầng trình bày (Presentation Layer),"Tầng nào chịu trách nhiệm dịch định dạng, nén, mã hóa, giải mã dữ liệu?",,
7d83c9b5-417e-43d9-9084-b660d6850729,Tầng vận chuyển (Transport Layer),Transmission Control Protocol (TCP) là giao thức thuộc tầng nào trong mô hình OSI?,,
b677ab21-d279-445f-aab9-98ddf1fdb39c,Tầng vận chuyển (Transport Layer),Tầng 4 trong mô hình OSI còn được gọi là gì?,,
