id,answer,question,desc,ref
135ca1f9-b98f-477d-9b4f-c45252715762,Access (Truy cập),Điền vào chỗ trống: Tầng _ kết nối thiết bị đầu cuối với mạng trong kiến trúc hai tầng.,- Tầng truy cập cung cấp liên kết giữa thiết bị người dùng và hạ tầng mạng.,
223d7819-649c-42af-8943-839508f4dfd0,Distribution (Phân phối),"Điền vào chỗ trống: Trong kiến trúc ba tầng, tầng _ tập hợp dữ liệu và thực thi chính sách định tuyến.","- Tầng phân phối đóng vai trò trung gian giữa tầng truy cập và lõi, quản lý luồng dữ liệu và cung cấp các dịch vụ mạng quan trọng.",
5fd007f3-e470-4971-8047-dd2f2001bf75,Giảm độ trễ và tăng băng thông.,Vì sao topo spine–leaf lý tưởng cho trung tâm dữ liệu?,"- Thiết kế này cung cấp kết nối phi tắc nghẽn (non-blocking), vì mỗi leaf được kết nối trực tiếp với tất cả spine, tránh tình trạng nghẽn cổ chai thường thấy ở cấu trúc phân cấp.",
0b6cffc2-876a-497c-801d-868c13e40b0b,"Gồm ba tầng: truy cập (access), phân phối (distribution), và lõi (core).",Mô tả đặc điểm của kiến trúc mạng ba tầng (three-tier architecture).,"- Tầng truy cập kết nối thiết bị người dùng, tầng phân phối tập hợp dữ liệu, còn tầng lõi cung cấp dịch vụ truyền dẫn tốc độ cao. Mô hình này giúp hệ thống dễ mở rộng và có tính dự phòng cao.",
d7621f63-e510-4a1e-925e-a6c30c7913b6,Gồm các switch “leaf” (tầng truy cập) và switch “spine” (tầng lõi),Định nghĩa: Spine-leaf topology (mô hình topo spine–leaf) là gì?,"- Mỗi leaf switch được kết nối tới tất cả spine switch để đảm bảo dự phòng và độ trễ thấp, thường được dùng trong trung tâm dữ liệu (data center) để đạt hiệu năng và khả năng mở rộng cao.",
5687842e-69f1-4f86-b81b-d234cb9360b8,Kiến trúc hai tầng (Two-tier).,Loại thiết kế LAN nào kết hợp tầng phân phối (distribution) và tầng lõi (core)?,"- Trong thiết kế hai tầng, tầng truy cập (access) kết nối trực tiếp với người dùng và máy chủ, trong khi tầng phân phối được tích hợp chung với tầng lõi.",
4c790e34-3a21-4a75-99d1-c460266ce3a1,Kết hợp hạ tầng tại chỗ và hạ tầng đám mây.,Mô tả khái niệm hybrid cloud network (mạng lai giữa on-premise và cloud).,"- Cách tiếp cận này giúp cân bằng giữa tính linh hoạt, chi phí và quyền kiểm soát dữ liệu nhạy cảm.",
80bec878-d363-4807-bda4-08a9e1b86628,Kết nối các mạng phân tán về mặt địa lý.,Mô tả đặc điểm của WAN (Wide Area Network – mạng diện rộng).,"- WAN sử dụng các dịch vụ truyền dẫn công cộng hoặc riêng (ví dụ: Internet, leased line) để hỗ trợ truyền thông từ xa.",
d06c7996-7d75-4860-bfa9-a1cfc5b62c71,"Kết nối đường dài, Giao tiếp an toàn (qua VPN), Truyền dữ liệu đáng tin cậy, Quản lý lưu lượng tập trung",Liệt kê các lợi ích chính của WAN trong kết nối giữa các văn phòng.,,
4732ca7c-7f2b-40ce-8d90-b97f9e8bebbc,LAN (Local Area Network – mạng cục bộ).,Loại mạng nào kết nối thiết bị trong một tòa nhà hoặc khuôn viên?,"- LAN bao phủ phạm vi nhỏ như văn phòng hoặc trường học, và thường được kết nối lên WAN để giao tiếp rộng hơn.",
368eb490-3843-4d7e-a9ce-cd1938edbc89,Là cấu trúc vật lý hoặc logic của các thiết bị và kết nối trong một mạng.,Định nghĩa: Network topology architecture (Kiến trúc topo mạng) là gì,"- Nó xác định cách các thành phần mạng được liên kết với nhau, ảnh hưởng đến hiệu năng, độ tin cậy và khả năng mở rộng của hệ thống mạng.",
0e6964bc-7ee1-4ac6-98d8-160cc901163b,Lọc lưu lượng và bảo vệ khỏi truy cập trái phép.,Vai trò của tường lửa trong kiến trúc WAN là gì?,"- Trong WAN, tường lửa thường được triển khai ở rìa mạng (network edge) để bảo mật các kết nối bên ngoài.",
c4377bdb-be25-4fea-b847-06858e99f9ed,"Mạng on-premise được lưu trữ tại chỗ, còn cloud được lưu trữ bởi nhà cung cấp dịch vụ bên thứ ba.",Sự khác biệt giữa mạng on-premise và cloud là gì?,"- Cloud mang lại khả năng mở rộng linh hoạt, trong khi on-premise cho phép kiểm soát tốt hơn nhưng cần đầu tư hạ tầng lớn hơn.",
f655e3f4-0686-4dee-b050-27d6184b97a1,Mạng quy mô nhỏ dành cho hộ gia đình hoặc doanh nghiệp nhỏ.,Định nghĩa: SOHO network (Small Office/Home Office network) là gì?,"- Thường sử dụng các thiết bị cơ bản như router, switch và máy tính; chi phí thấp nhưng thiếu các tính năng nâng cao của mạng doanh nghiệp.",
64677cae-a5b1-4ecc-8419-4f3308dc2b6f,Quản lý lưu lượng giữa tầng truy cập và tầng lõi.,Vai trò của tầng phân phối (distribution layer) trong kiến trúc ba tầng là gì?,"- Nó thực hiện định tuyến, áp dụng chính sách, và tập hợp lưu lượng để đảm bảo dữ liệu được truyền tải hiệu quả giữa các thiết bị ở các tầng truy cập khác nhau.",
d2a244c8-8ad6-44b2-848a-3bfe308ff26d,Sai,Đúng hay Sai: Kiến trúc ba tầng kém khả năng mở rộng hơn hai tầng.,"- Kiến trúc ba tầng có khả năng mở rộng tốt hơn, nhờ tầng phân phối và lõi tách biệt giúp tối ưu quản lý lưu lượng.",
27c02deb-3cbf-4926-9797-6d87f461d4c1,Sai,Đúng hay Sai: Mạng cloud luôn an toàn hơn mạng on-premise.,"- Mức độ bảo mật phụ thuộc vào cấu hình, quản lý và chính sách áp dụng – không chỉ vào việc mạng đó đặt trên cloud hay tại chỗ.",
74fd437a-6da9-4dfe-92c2-bdbab9f4fd44,Sai,Đúng hay Sai: Mạng SOHO thường sử dụng router và switch cấp doanh nghiệp.,"- Mạng SOHO thường dùng thiết bị cấp tiêu dùng (consumer-grade), dễ sử dụng và rẻ hơn so với thiết bị doanh nghiệp.",
62abb0e3-58b2-47eb-a136-39c8667fd173,Sai,Đúng hay Sai: Topo spine–leaf là cấu trúc phân cấp cho data center.,"- Spine–leaf là topo phẳng (flat topology), được thiết kế để đạt hiệu năng và khả năng mở rộng cao, tránh các điểm tắc nghẽn phân cấp.",
46fd00e4-7920-4873-b70c-f82c66db0e85,Sai,"Đúng hay Sai: Trong kiến trúc hai tầng, tầng lõi đảm nhiệm định tuyến và chuyển mạch.","- Trong mô hình hai tầng, tầng truy cập quản lý các thiết bị người dùng, còn tầng lõi tập trung vào kết nối giữa các mạng. Việc định tuyến chỉ được tách riêng ở tầng phân phối trong kiến trúc ba tầng.",
8a4bbea7-48f6-4863-95ac-2019b064e808,Sai,Đúng hay Sai: WAN thường sử dụng địa chỉ IP riêng cho mọi kết nối.,"- WAN thường dùng địa chỉ IP công cộng để định tuyến qua các khu vực địa lý lớn, tuy nhiên IP riêng có thể dùng trong VPN hoặc mạng WAN riêng.",
0493a585-b281-4eff-b94f-265f21052b0e,Vì mỗi leaf đều kết nối với mọi spine switch.,Vì sao topo spine–leaf được xem là non-blocking (phi tắc nghẽn)?,"- Thiết kế này đảm bảo cân bằng tải và loại bỏ các điểm nghẽn, kể cả khi lưu lượng dữ liệu tăng mạnh.",
473524a9-7687-4b83-b392-72e5016371c3,Đảm bảo định tuyến tốc độ cao và dung lượng lớn.,Mục đích của tầng lõi (core layer) trong kiến trúc ba tầng là gì?,"- Tầng lõi đóng vai trò xương sống của mạng, cung cấp khả năng dự phòng và truyền tải dữ liệu nhanh giữa các vùng mạng.",
c5ce8cfa-495d-492c-8e52-c4654b90cf96,"Độ trễ thấp (Low latency), Băng thông cao (High bandwidth), Khả năng mở rộng (Scalability), Chịu lỗi tốt (Fault tolerance).",Liệt kê các lợi ích của topo spine–leaf.,- Những đặc tính này khiến spine–leaf trở thành lựa chọn lý tưởng cho môi trường đòi hỏi hiệu năng cao như data center.,
