id,answer,question,desc,ref
0e80708e-bd84-410f-b515-2f9c18742689,110,Cổng số bao nhiêu được sử dụng với mục đích nhận mail và tải mail từ máy chủ về máy khách?,- Giao thức POP3 (Post Office Protocol v3),
2dc2a9b7-ea34-4c5b-a1ec-0077597a69df,123,Cổng số bao nhiêu được sử dụng với mục đích đồng bộ thời gian?,- Giao thức NTP (Network Time Protocol) máy khách,
dd599b09-a64f-4201-9f6b-fb8fb4dfa28a,143,Cổng số bao nhiêu được sử dụng với mục đích nhận mail và quản lý mail trực tiếp trên máy chủ?,- Giao thức IMAP (Internet Message Access Protocol),
bc818299-9583-42bd-8dce-15fba68cbfe9,161,Cổng số bao nhiêu được sử dụng với mục đích quản lý và giám sát các thiết bị trong mạng?,- Giao thức SNMP (Simple Network Management Protocol),
46af0572-e5e9-4785-8c7f-f02c198a1916,20,Cổng số bao nhiêu được sử dụng với mục đích truyền tệp tin và dùng cho dữ liệu?,- Giao thức FTP (File Transfer Protocol) của kênh dữ liệu (Data plane),
fba33a05-6040-4af7-83ad-88e9d0ebd212,21,Cổng số bao nhiêu được sử dụng với mục đích truyền tệp tin và dùng cho lệnh?,- Giao thức FTP (File Transfer Protocol) của kênh điều khiển (Control plane),
ca991c29-5d08-483a-ac06-11a1e7fff721,22,Cổng số bao nhiêu được sử dụng với mục đích truy cập từ xa bảo mật?,- Giao thức SSH (Secure Shell),
199cb2b9-eb67-4c36-8a19-13a6c073dc9f,23,Cổng số bao nhiêu được sử dụng với mục đích truy cập từ xa không mã hóa?,- Giao thức Telnet,
1fe2958d-b738-4dd9-80a2-71a2f4d92a02,25,Cổng số bao nhiêu được sử dụng với mục đích gửi mail và chuyển thư giữa các máy chủ?,- Giao thức SMTP (Simple Mail Transfer Protocol),
22ca0b14-2bcb-49ac-9263-eadc6a32281c,3306,Cổng số bao nhiêu được sử dụng với mục đích truy cập cơ sở dữ liệu mặc định MySQL?,- Giao thức MySQL,
45ee7f2f-00af-4fc7-9273-39aac6d00196,3389,Cổng số bao nhiêu được sử dụng với mục đích điều khiển máy tính từ xa và kết nối Windows qua giao diện đồ họa?,- Giao thức RDP (Remote Desktop Protocol),
3b20e210-b464-4f2b-be3a-d158d7b73dbb,389,"Cổng số bao nhiêu được sử dụng với mục đích truy cập dịch vụ thư mục, xác thực và truy vấn danh bạ?",- Giao thức LDAP (Lightweight Directory Access Protocol),
b9e1317a-8ebc-4691-ab61-4f08ee471398,443,Cổng số bao nhiêu được sử dụng với mục đích truy cập web bảo mật và mã hóa SSL/TLS?,- Giao thức HTTPs (Hypertext Transfer Protocol Secure),
850da1a9-6e76-47df-b85f-2708a78dba3d,445,Cổng số bao nhiêu được sử dụng với mục đích chia sẻ tệp và máy in trong Windows?,- Giao thức SMB (Server Message Block),
986b5a76-132d-40eb-aa50-3de4e94869fa,514,Cổng số bao nhiêu được sử dụng với mục đích thu thập và gửi nhật ký từ các thiết bị mạng về máy chủ tập trung?,- Giao thức Syslog,
14dfa928-6af7-42f8-aaff-66cb3ce5b3d4,53,Cổng số bao nhiêu được sử dụng với mục đích phân giải tên miền và chuyển đổi tên miền thành địa chỉ IP?,- Giao thức DNS (Domain Name Server),
211dd3ef-9236-4267-8263-1e1ccb4bec57,5432,Cổng số bao nhiêu được sử dụng với mục đích truy cập cơ sở dữ liệu mặc định PostgreSQL?,- Giao thức PostgreSQL,
89faa5b8-cd8f-4b12-9839-6d5e826ed1c1,80,Cổng số bao nhiêu được sử dụng với mục đích truy cập web tiêu chuẩn và không mã hóa?,- Giao thức HTTP (Hypertext Transfer Protocol),
c7105bcc-566f-42b0-a69e-ec7183f4e4b7,8080,Cổng số bao nhiêu được sử dụng với mục đích làm cổng Proxy hoặc cho máy chủ phát triển?,- Giao thức HTTP-Alt (Hypertext Transfer Protocol Alternative),
96314240-7448-4d8a-bc28-e6443c0b2007,993,Cổng số bao nhiêu được sử dụng với mục đích nhận mail đã mã hóa SSL/TLS và quản lý mail trực tiếp trên máy chủ?,- Giao thức IMAPs (Internet Message Access Protocol Secure),
1260c0ae-b93e-410a-b98c-b88b4311ed89,995,Cổng số bao nhiêu được sử dụng với mục đích nhận mail đã mã hóa SSL/TLS và tải mail từ máy chủ về máy khách?,- Giao thức POP3s (Post Office Protocol v3 Secure),
