id,answer,question,hint,desc
ce7b1644-5746-4ecc-823f-ccca3bb38dbb,aquarius,Translate to English: bảo bình,- Đây là tên của một cung hoàng đạo,
27597335-36df-4f59-bb14-eb34cfc269e7,aries,Translate to English: bạch dương,- Đây là tên của một cung hoàng đạo,
e4d557fb-2855-44ea-a183-394e6809dd24,cancer,Translate to English: cự giải,- Đây là tên của một cung hoàng đạo,
0c4f14e2-ba5c-4c21-9c1c-df6749c202f4,capricorn,Translate to English: ma kết,- Đây là tên của một cung hoàng đạo,
034f989f-6e7f-4624-9d9b-3d6bd9f3e0c8,gemini,Translate to English: song tử,- Đây là tên của một cung hoàng đạo,
6c176e8a-4468-4c08-99bb-f2d1f984a107,leo,Translate to English: sư tử,- Đây là tên của một cung hoàng đạo,
262c3012-18ec-4812-80d7-2a2a7d0214b3,libra,Translate to English: thiên bình,- Đây là tên của một cung hoàng đạo,
6040a72e-e06e-4f40-a068-83092003b9c1,pisces,Translate to English: song ngư,- Đây là tên của một cung hoàng đạo,
b5e599b3-b4d1-43af-8cfe-ca56fe353196,sagittarius,Translate to English: nhân mã,- Đây là tên của một cung hoàng đạo,
f52dceea-66ac-453b-966f-7e1066e67e18,scorpio,Translate to English: bọ cạp,- Đây là tên của một cung hoàng đạo,
b45f0472-5c3a-495e-9c27-a1ee9370b94f,taurus,Translate to English: kim ngưu,- Đây là tên của một cung hoàng đạo,
75eeb6d2-1d36-4997-bf97-98875389b8ed,virgo,Translate to English: xử nữ,- Đây là tên của một cung hoàng đạo,
