id,answer,question,hint,desc
2f277a09-e284-4a97-af7c-fe7cc31b970a,Di chuột qua các liên kết để khám phá URL.,MD - 100: Đâu là cách nhận biết một email hợp pháp?,,- Hover over links to uncover the URL: Di chuột qua các liên kết để khám phá URL\n- Luôn kiểm tra URL trước khi bạn chọn liên kết — đôi khi các liên kết xấu được nhúng vào email như một cách để đánh lừa người đọc.
0a160346-a76e-4a01-99d4-b815db86bd30,Fake Websites,MD - 100: Đâu là thủ thuật được tội phạm mạng sử dụng để lừa đảo?,,"- Fake Websites: Trang web giả mạo\n- Nếu bạn nhận được một email đáng ngờ và nó nhắc bạn chọn một liên kết, hãy di chuột qua liên kết. Nếu liên kết không khớp với tên trong email của bạn, bạn có thể đã nhận được email lừa đảo. Nếu liên kết trỏ đến một trang web hoặc công ty mà bạn chưa từng nghe nói đến hoặc truy cập trước đây, đây có thể là một nỗ lực lừa đảo."
59d5351d-0eb9-477d-82ab-1a0799394068,Giả mạo công ty hoặc những người ta biết,MD - 100: Đâu là thủ thuật được tội phạm mạng sử dụng để lừa đảo?,,- Spoofing companies or people you know: Giả mạo công ty hoặc những người ta biết\n- Những kẻ lừa đảo sử dụng đồ họa trong email có vẻ như được kết nối với các trang web hợp pháp nhưng thực sự đưa bạn đến các trang web lừa đảo giả mạo hoặc cửa sổ bật lên có vẻ hợp pháp. Giả mạo cũng có thể xảy ra khi kẻ lừa đảo bắt chước ai đó mà bạn biết bằng cách bắt chước địa chỉ email của họ. Luôn kiểm tra xem địa chỉ bạn đang trả lời có chính xác không.
8a26799a-d358-4ff6-86b3-189a26e72b26,Kiểm tra lỗi ngữ pháp và chính tả kém.,MD - 100: Đâu là cách nhận biết một email hợp pháp?,,"- Check for poor grammar and spelling errors: Kiểm tra lỗi ngữ pháp và chính tả kém.\n- Các công ty hiếm khi gửi tin nhắn mà không hiệu đính nội dung, vì vậy nhiều lỗi chính tả và ngữ pháp có thể báo hiệu một tin nhắn lừa đảo."
d78a7eb6-525d-4914-ad2d-ce8df8b88d86,Là loại phần mềm độc hại này cung cấp cho kẻ tấn công quyền truy cập từ xa vào máy tính bị nhiễm.,MD - 100 Giải thích: Trojan horses là gì?,,- Trojan horses: Ngựa thành Troy
4a08b304-27be-4b84-bb6e-b65c3d5230ba,Là loại phần mềm độc hại này mã hóa dữ liệu người dùng và bạn chỉ có thể khôi phục dữ liệu của mình nếu bạn trả tiền chuộc cho tác giả phần mềm độc hại.,MD - 100 Giải thích: Ransomware là gì?,,- Ransomware: Mã độc tống tiền
ed122a82-f35f-4fe1-a335-df82ff0c2c49,"Là loại phần mềm độc hại này sao chép bằng cách chèn một bản sao mã thực thi của nó vào các ứng dụng khác, tệp hệ điều hành, tệp dữ liệu hoặc các thành phần phần cứng, chẳng hạn như tệp BIOS hoặc khu vực khởi động.",MD - 100 Giải thích: Computer viruses là gì?,,- Computer viruses: Virus máy tính
f68385fd-a301-4abc-9b03-1da206d04021,Là loại phần mềm độc hại này theo dõi cách máy tính được sử dụng mà không có sự đồng ý của người dùng.,MD - 100 Giải thích: Spyware là gì?,,- Spyware: Phần mềm gián điệp
845b9a97-fd3a-4f10-9d3d-50487e539d19,Là một dạng phần mềm độc hại đặc biệt sao chép mà không cần can thiệp trực tiếp.,MD - 100 Giải thích: Computer worms là gì?,- Sâu lây lan trên các mạng và có thể lây nhiễm cho các máy tính khác trên mạng mà không yêu cầu người dùng mở tệp đính kèm hoặc tệp email.,- Computer worms: Sâu máy tính
9185a5dc-3624-4328-90b2-eddd23097135,Là một loại trộm cắp danh tính trực tuyến.,MD - 100 Giải thích: Phishing là gì?,"- Nó sử dụng email, cuộc gọi điện thoại, tin nhắn và các trang web lừa đảo được thiết kế để đánh cắp dữ liệu hoặc thông tin cá nhân của bạn như số thẻ tín dụng, mật khẩu, dữ liệu tài khoản hoặc thông tin khác.",- Phishing: Lừa đảo
a95e01f1-9c88-41a5-af73-92dd4ef610bc,Là phần mềm mà kẻ tấn công thiết kế để gây hại cho hệ thống máy tính.,MD - 100 Giải thích: Malicious software là gì?,"- Phần mềm độc hại có thể làm nhiều việc, từ gây thiệt hại cho máy tính, cho phép các bên trái phép truy cập từ xa vào máy tính, thu thập và truyền thông tin nhạy cảm cho các bên thứ ba trái phép.",- Malicious software (Malware): Phần mềm đọc hại
a032fa86-9290-4f80-bb95-6d15444aad48,Threats,MD - 100: Đâu là thủ thuật được tội phạm mạng sử dụng để lừa đảo?,,"- Threats: Mối đe dọa\n- Email đe dọa đóng tài khoản có thể đến từ tội phạm mạng. Nếu bạn nhận được email thúc giục bạn hành động bằng cách đe dọa rằng tài khoản của bạn sẽ bị đóng, hãy cẩn thận. Tội phạm mạng sử dụng nhiều kỹ thuật khác nhau để đánh cắp thông tin của bạn và giành quyền truy cập vào dữ liệu của bạn thông qua các mối đe dọa và thông tin sai lệch."
d64c1ac6-bd06-404e-8727-420aea44e553,"Tránh hành vi rủi ro, chẳng hạn như sử dụng phần mềm hoặc phương tiện vi phạm bản quyền.",MD - 100: Đâu là biện pháp giảm thiểu có thể giúp bảo vệ khỏi sự lây nhiễm phần mềm độc hại trên thiết bị?,,
6edc3a88-9a00-489d-b44e-005164643837,"Tránh mở các tệp đính kèm email đáng ngờ, ngay cả khi chúng đến từ người gửi mà bạn tin tưởng.",MD - 100: Đâu là biện pháp giảm thiểu có thể giúp bảo vệ khỏi sự lây nhiễm phần mềm độc hại trên thiết bị?,,
e401d985-63a9-4d1a-982a-1c6c55fcd14a,Tìm kiếm thông tin liên hệ của công ty và độ chính xác của thương hiệu.,MD - 100: Đâu là cách nhận biết một email hợp pháp?,,"- Look for company contact information and brand accuracy: Tìm kiếm thông tin liên hệ của công ty và độ chính xác của thương hiệu.\n- Hầu hết các công ty sẽ có bản sắc thương hiệu dễ nhận biết trong email của họ. Tìm logo, màu sắc thương hiệu và thông tin liên hệ trong tin nhắn."
5e2ce121-16b3-4b25-bed7-9cf7261fa4c3,"Vì tội phạm mạng có kỹ năng lừa bạn cung cấp thông tin cá nhân của bạn cho chúng, điều này có thể dẫn đến đánh cắp danh tính và mất dữ liệu.",MD - 100: Tại sao lừa đảo lại nguy hiểm?,"- Lừa đảo đặc biệt nguy hiểm vì tội phạm mạng ngụy trang tin nhắn và cuộc gọi là hợp pháp, sử dụng logo và từ viết tắt có vẻ như thật.",
