id,answer,question,hint,desc
e58ed2a4-09d9-4ae5-9409-5b18ae5ccd46,"""""echo ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
e2fec4bd-8def-4b04-a957-4d47482121a3,"""echo"" ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
96a938ea-48f8-4905-9614-85adc33925c5,"""echo"" hello world","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
22a391d5-89b7-4a38-9d20-315ed415a1e5,"'echo' ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
77dfca66-03ec-4df4-9536-79871a16a003,'echo' 'hello world',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
8d86c044-930c-44a0-8c5e-65aa5b688a64,'echo' hello world,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
5c8ec6e8-4e14-4132-b2f7-db3a44479bd4,"\e\c\h\o ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
aea50881-69f7-4479-b3d2-8f2e08c88c51,\echo hello world,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
e9d62846-d20a-40d5-8353-300aa031e46e,"echo   ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
d6628278-982a-4979-baa6-d0b3ec1c2423,"echo  ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
b9e32cd3-91bc-46ed-9821-2ccab081a948,echo  hello world,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
0bfeeda7-7e36-4db2-8093-7f07a543af6a,"echo "" hello world ""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
e825ccc2-58b0-4395-98f4-d85bcc5fbfc9,"echo "" hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
cc463156-9d9d-417d-8bfb-6b51eb8ccdd7,"echo """"hello world","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
a0d2edaa-cd76-4129-9355-5fdc7162ed16,"echo """"hello world""""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
766f31a6-98e8-4cd5-b2ff-d1341518a5e5,"echo ""$(<access.log )""",Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
56a6ea14-66b7-4d33-8ccc-5f5ef5375160,"echo ""$(<access.log)""",Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
d7ff66b4-e77f-45e6-b89b-d615de10248b,"echo ""$(pwd)""",Lệnh nào in ra thư mục làm việc hiện tại?,,
529add94-0cc5-42ef-b5ea-fbabdcf43dee,"echo ""$PWD""",Lệnh nào in ra thư mục làm việc hiện tại?,,
41837236-4f72-46f0-9e7a-dd55e62f6215,"echo ""hello world ""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
930d6064-f0ae-4384-94d9-60ccd8ab84c7,"echo ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
dafa7772-7174-423d-960d-bfbfc4560f5a,"echo ""hello world"" ;","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
06554931-d510-4d37-aa5e-7c118ae9b65d,"echo ""hello world"" ;","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
a15b40b1-422a-41ec-aa9a-743ab82f8a0a,"echo ""hello world"" | cat","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
c8444946-f029-474d-9eef-310e7ca113f3,"echo ""hello world"";","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
304e8982-70c8-4ac6-9ca4-59a18eb0b44b,"echo $""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
19a327b5-e8c2-4b5e-b16c-8dfc412a864e,echo $(pwd),Lệnh nào in ra thư mục làm việc hiện tại?,,
a51f9c38-929c-4c0e-91a6-75fd665303b2,echo $PWD,Lệnh nào in ra thư mục làm việc hiện tại?,,
67a9f1de-ad05-4aff-b2be-063cff4e7a7e,echo &pwd,Lệnh nào in ra thư mục làm việc hiện tại?,,
e83dc6a4-4a87-4a24-9939-a1e194b68226,echo ' hello world ',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
6d9f3022-a9bd-44ed-ab7b-96778cb99b66,echo ''hello world'',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
0b9e5dd5-2ca8-4363-a9ea-a60e4cbfbf2f,echo 'hello world',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
b8e963f3-dd1a-4cf0-9686-113d47267844,echo 'hello world';,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
5ee12690-5b66-468a-a7f8-7787ce131256,"echo -e ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
ad9ec4f6-2433-46af-be0c-f808a6a29b59,"echo -n ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
65a079a1-c89b-45d1-a047-386cf16d2adf,echo -n 'hello world',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
24747497-6f7a-4af0-9f03-88f68dfd70df,echo -n hello world,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
15d12a06-42b1-4f6a-9232-7590e1061e18,echo ``hello world``,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
013f659b-5e0d-4bf0-952c-f3356cb58603,echo `pwd`,Lệnh nào in ra thư mục làm việc hiện tại?,,
63c5de5e-7b50-4075-bd07-ed7528f6f04e,echo hello  world,"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
f561c535-74b5-46d3-b5d6-74685c038085,echo hello vorld | tr [u-x] [v-y],"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
