id,answer,question,hint,desc
bad290e3-09da-4055-84c9-ce573f6b2822,\c\a\t access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
a1f24343-2fcb-4bdd-8c4c-bc470d447953,cat  /var/challenges/print_file_contents/access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
9f78a365-7655-4a03-ba88-d71c5064c4af,cat  access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
d9893aa5-db4c-4973-827c-315e729e2685,"cat ""./access.log""",Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
171c5761-2dd0-4ea5-b7db-20ad62a64b2e,"cat ""access.log""",Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
265987bf-60a7-4b6f-aadc-ad0bf5763208,"cat ""access.log"" | tail -5","Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
f5574279-6723-4303-85ec-1b085e724693,"cat ""access.log"" | tail -n 5","Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
6a11037c-5c2d-4a77-97bc-0a6d23171f00,cat 'access.log',Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
3008d3a3-42be-4280-b314-d837b5a28d76,cat *,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
6a82af70-54d6-474d-b959-7f953972cace,cat **,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
a34c1932-503e-4ad5-89aa-ca410ba635a2,cat *.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
e6a77968-c3f5-4f15-8077-b4bba464b80a,cat *log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
a6e87672-e14f-4f74-991b-f7833b885b2c,cat - <<<'hello world',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
6a946637-d58c-458e-9f2f-e3dd3e4db220,cat ./access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
154b5e92-0b1d-45c1-aca0-9657b53ec689,cat /var/challenges/print_file_contents/access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
7c989761-30ce-4604-82bb-e33cd98dc666,cat < access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
f931270f-be8f-479e-bc3c-96e3985ffdd5,"cat <<< ""hello world""","Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
18f8e026-cb15-4935-8f9a-7dc5906cdc4b,cat <<< 'hello world',"Lệnh nào in dòng chữ ""hello world"" lên màn hình terminal chỉ bằng một lệnh duy nhất?","Có nhiều cách để in văn bản trên dòng lệnh, một trong số đó là sử dụng lệnh 'echo'",
b14126d9-fb2f-43a3-beb6-d877cbae11a1,cat a*,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
1c35cb14-29c0-4433-b006-61fe3fe7ba82,cat ac*,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
43016771-0d35-4311-a301-f24c9bd47bcd,cat acc*,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
a893cc25-d6d6-4269-a08b-d20734cc201c,cat acces*,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
71d4fa06-e5c5-4d4d-8def-e676900d1279,cat access*,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
d11b1d3c-adfc-4932-ae30-43b23af3c9e8,cat access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
c57c3f02-cc5a-4a7a-8efc-0900be3bfc7d,"cat access.log | sed '6,10!d'","Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
0d3e14a1-8527-4cfd-868f-57f6f811ea07,cat access.log | tail -5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
ab4f71f5-85b5-4d3d-9c37-37c379779240,cat access.log | tail -n 5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
331006f7-52c5-45c4-9979-adbeddf26c66,cat access.log | tail -n 5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
aa065b41-4e16-41ed-9756-d7be2d0b1e6c,cat access.log | tail -n5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
0af2b035-3c46-46cc-bcee-32447b9c2bee,cat access.log |tail -5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
8dc044f1-eb28-4ef0-8c03-8db1962c222e,cat access.log |tail -n 5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
619408af-016b-4556-ac80-e70838b9e15c,cat access.log |tail -n5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
19e31f18-4fba-458c-adb2-7679fed1918b,cat access.log;,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
66b64d21-c7ce-4e2f-abf5-21aa9542013c,cat access.log| tail -5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
8640b619-3971-4252-bf24-f7205cd4a8b3,cat access.log| tail -n 5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
248c51af-3728-46f0-b281-ec81728b629a,cat access.log|tail -5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
608a11ae-bcc6-4d3f-9ee5-5ee5d07475f8,cat access.log|tail -n 5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
f7f57881-78e7-4c06-95ee-ef3b02da47e9,cat access.log|tail -n5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
d02d284d-5e1c-4f90-bd06-5584239832ea,cat access?log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
753b6dc1-0587-43b5-959b-199d36b0bfdc,cat<access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
