id,answer,question,hint,desc
140ca92d-44c8-4afc-ab74-e5bd183343ff,Absolute Path Traversal,CWE-36 có tên là gì?,"- Sản phẩm sử dụng đầu vào bên ngoài để xây dựng tên đường dẫn phải nằm trong thư mục hạn chế, nhưng nó không trung hòa đúng cách các chuỗi đường dẫn tuyệt đối như ""/abs/path"" có thể phân giải đến một vị trí bên ngoài thư mục đó. \n- Điều này cho phép kẻ tấn công đi qua hệ thống tệp để truy cập các tệp hoặc thư mục nằm ngoài thư mục bị hạn chế.",
a3f1792e-556a-4934-a6ec-1a82bd22aa0f,Active Debug Code,CWE-489 có tên là gì?,- Sản phẩm được phát hành với mã gỡ lỗi vẫn được bật hoặc đang hoạt động.,
cc671bc5-c356-4984-a5a4-ec0ec059b1d3,Allocation of Resources Without Limits or Throttling,CWE-770 có tên là gì?,- Sản phẩm phân bổ một tài nguyên hoặc nhóm tài nguyên có thể tái sử dụng thay mặt cho một tác nhân mà không áp đặt bất kỳ hạn chế dự kiến nào về kích thước hoặc số lượng tài nguyên có thể được phân bổ.,
918fe831-e724-4a92-a39e-7097cfd114f8,ASP.NET Misconfiguration: Creating Debug Binary,CWE-11 có tên là gì?,- Gỡ lỗi tin nhắn giúp kẻ tấn công tìm hiểu về hệ thống và lên kế hoạch cho một hình thức tấn công. \n- Các ứng dụng ASP .NET có thể được cấu hình để tạo tệp nhị phân gỡ lỗi. Các tệp nhị phân này đưa ra thông báo gỡ lỗi chi tiết và không nên được sử dụng trong môi trường sản xuất. Các tệp nhị phân gỡ lỗi được sử dụng trong môi trường phát triển hoặc thử nghiệm và có thể gây ra rủi ro bảo mật nếu chúng được triển khai vào sản xuất.,
fffd0d26-f513-4cef-8b6f-834d5fe03929,ASP.NET Misconfiguration: Improper Model Validation,CWE-1174 có tên là gì?,- Ứng dụng ASP.NET không sử dụng hoặc sử dụng sai khung xác thực mô hình.,
79afa1df-9ebb-4561-94c7-966d7b018d0a,ASP.NET Misconfiguration: Password in Configuration File,CWE-13 có tên là gì?,"- Lưu trữ mật khẩu văn bản thuần túy trong tệp cấu hình cho phép bất kỳ ai có thể đọc tệp truy cập vào tài nguyên được bảo vệ bằng mật khẩu, khiến họ trở thành mục tiêu dễ dàng cho những kẻ tấn công.",
f16e90ef-e334-43ff-a993-db3f568be848,Authentication Bypass by Alternate Name,CWE-289 có tên là gì?,"- Sản phẩm thực hiện xác thực dựa trên tên của tài nguyên đang được truy cập hoặc tên của tác nhân thực hiện truy cập, nhưng nó không kiểm tra đúng tất cả các tên có thể có cho tài nguyên hoặc tác nhân đó.",
6c0cf43f-f64e-4be5-9d4c-af3df85116f5,Authentication Bypass by Assumed-Immutable Data,CWE-302 có tên là gì?,"- Sơ đồ xác thực hoặc triển khai sử dụng các yếu tố dữ liệu chính được cho là bất biến, nhưng có thể được kiểm soát hoặc sửa đổi bởi kẻ tấn công.",
b11af782-acf0-42e0-87dd-1cc20de6dbcd,Authentication Bypass by Capture-replay,CWE-294 có tên là gì?,"- Lỗ hổng chụp-phát lại tồn tại khi thiết kế của sản phẩm cho phép người dùng độc hại đánh hơi lưu lượng mạng và bỏ qua xác thực bằng cách phát lại nó đến máy chủ được đề cập với hiệu quả tương tự như thông báo gốc (hoặc với những thay đổi nhỏ). \n- Các cuộc tấn công chụp-phát lại là phổ biến và có thể khó bị đánh bại nếu không có mật mã. Chúng là một tập hợp con của các cuộc tấn công tiêm mạng dựa trên việc quan sát các lệnh hợp lệ đã gửi trước đó, sau đó thay đổi chúng một chút nếu cần thiết và gửi lại các lệnh tương tự đến máy chủ.",
7586ed06-c95b-4549-9b37-0f1b206d187f,Authentication Bypass by Primary Weakness,CWE-305 có tên là gì?,"- Thuật toán xác thực là hợp lý, nhưng cơ chế được thực hiện có thể bị bỏ qua do một điểm yếu riêng biệt nguyên nhân gây ra lỗi xác thực.",
2080b454-6aad-47f9-8a6e-b01382d499e7,Authentication Bypass by Spoofing,CWE-290 có tên là gì?,- Điểm yếu tập trung vào tấn công này là do các sơ đồ xác thực được triển khai không chính xác có thể bị tấn công giả mạo.,
7073aada-58be-40b0-bd49-4772a820f786,Authentication Bypass Using an Alternate Path or Channel,CWE-288 có tên là gì?,"- Sản phẩm yêu cầu xác thực, nhưng sản phẩm có đường dẫn hoặc kênh thay thế không yêu cầu xác thực.",
ff8c47a7-772f-4f59-a8df-71d6f6acb789,Authorization Bypass Through User-Controlled Key,CWE-639 có tên là gì?,,
ad3b5d89-c2bb-4ccb-9390-117b7fbb2b64,Authorization Bypass Through User-Controlled SQL Primary Key,CWE-566 có tên là gì?,,
e69a19e7-40db-43c1-9eb6-61ee135ee601,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),CWE-120 có tên là gì?,- Classic Buffer Overflow,
0e67ff12-323c-49bb-a9bf-25a34121335b,Channel Accessible by Non-Endpoint,CWE-300 có tên là gì?,,
2231deca-22d6-4127-8e91-c20d3153f7e1,Cleartext Storage in a File or on Disk,CWE-313 có tên là gì?,,
6e56afc0-ac39-40e2-8e07-3a67ac884f02,Cleartext Storage of Sensitive Information,CWE-312 có tên là gì?,,
786d14d3-0e22-4323-b29b-94fcd8c17a78,Cleartext Storage of Sensitive Information in a Cookie,CWE-315 có tên là gì?,,
70a95240-63fb-45e4-a8b0-38de5b9b5c56,Cleartext Storage of Sensitive Information in Memory,CWE-316 có tên là gì?,,
97afceb4-8434-4845-8ee9-d939f64ea40b,Cleartext Transmission of Sensitive Information,CWE-319 có tên là gì?,,
b6733cf7-9078-4dc4-b47d-0c25959ae5e1,Client-Side Enforcement of Server-Side Security,CWE-602 có tên là gì?,,
31a11fd5-d495-44ee-a6fe-5ca67e2178cf,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),CWE-362 có tên là gì?,- Race Condition,
a6d6d45b-3875-4d68-98dc-8d253df73065,Configuration,CWE-16 có tên là gì?,,
d847ced1-20ae-4406-a8f4-c353b64a54eb,Creation of Temporary File in Directory with Insecure Permissions,CWE-379 có tên là gì?,,
b1ea9e36-b85e-4288-959d-1339b88c6ba0,Critical Public Variable Without Final Modifier,CWE-493 có tên là gì?,,
8a9e2a11-232e-47a5-bcae-9b37ee4aba98,Cross-Site Request Forgery (CSRF),CWE-352 có tên là gì?,,
7f927ccf-8ce4-4ba8-ba9b-b6c3d83e3ba9,Declaration of Catch for Generic Exception,CWE-396 có tên là gì?,,
8bf80cd9-8b32-4e54-80ad-19823a80ba86,Declaration of Throws for Generic Exception,CWE-397 có tên là gì?,,
6c483018-8c65-44fe-9c76-b72494f75d41,Dependency on Vulnerable Third-Party Component,CWE-1395 có tên là gì?,,
6c11cd3b-3ba8-48fb-b6b3-db8711d9782d,Deserialization of Untrusted Data,CWE-502 có tên là gì?,,
2517a81f-fd34-46df-ba73-0f4df2bd1e9d,Detection of Error Condition Without Action,CWE-390 có tên là gì?,,
bb392271-8491-4315-b4e5-48c3d76d3d1f,Direct Request ('Forced Browsing'),CWE-425 có tên là gì?,- Forced Browsing,
3d774a5f-9b10-426d-a4dd-78b8aa684bda,Divide By Zero,CWE-369 có tên là gì?,,
78fee79c-ed38-4c7a-bdea-1eda136b7774,Download of Code Without Integrity Check,CWE-494 có tên là gì?,,
da98409d-c9fe-490f-9b9f-62ef631d36e0,Embedded Malicious Code,CWE-506 có tên là gì?,,
3e543613-6eaf-47dd-a99a-ccbd4da2d21b,Empty Password in Configuration File,CWE-258 có tên là gì?,,
78d5a8ca-c6f7-4071-b175-91891c4ffdfa,Excessive Attack Surface,CWE-1125 có tên là gì?,,
64ac0ce6-fe62-4b1f-bcff-8e899d65cb65,Exposed Dangerous Method or Function,CWE-749 có tên là gì?,,
4bd92c44-393a-4eca-b60c-f9e6224f9ce3,Exposure of Information Through Directory Listing,CWE-548 có tên là gì?,,
1e4debe1-79b1-47ef-a024-07ccfe105ea6,Exposure of Private Personal Information to an Unauthorized Actor,CWE-359 có tên là gì?,,
1bf9d620-a3c6-42a7-b6cc-d10893fa295d,Exposure of Resource to Wrong Sphere,CWE-668 có tên là gì?,,
e1fce3b1-553c-4cc6-8a83-6784515fd8d1,Exposure of Sensitive Information Through Environmental Variables,CWE-526 có tên là gì?,,
95d31339-ca98-4b99-b0d7-6f609bdf7a35,Exposure of Sensitive Information Through Sent Data,CWE-201 có tên là gì?,,
de6203fb-7fbf-4181-b2ce-aec2b11d12b1,Exposure of Sensitive Information to an Unauthorized Actor,CWE-200 có tên là gì?,,
421e98a7-3848-4318-8555-95cebf859d46,Exposure of Sensitive System Information to an Unauthorized Control Sphere,CWE-497 có tên là gì?,,
0cb2089b-88b0-441d-8a87-a6c27de855b5,External Control of Assumed-Immutable Web Parameter,CWE-472 có tên là gì?,,
0ed77e23-e553-40a1-bf0b-09a24fea2ab6,External Control of Critical State Data,CWE-642 có tên là gì?,,
8847cc9d-cf34-4c82-8b9b-33aab204f5bb,External Control of File Name or Path,CWE-73 có tên là gì?,,
55c1e468-c89f-4f2f-8449-639e4524ae43,External Control of System or Configuration Setting,CWE-15 có tên là gì?,,
00ced7c2-a3fa-4513-ae4d-d474e542f1d3,External Initialization of Trusted Variables or Data Stores,CWE-454 có tên là gì?,,
df0484af-2c4a-46ce-877b-9259fd96b953,Externally Controlled Reference to a Resource in Another Sphere,CWE-610 có tên là gì?,,
2db10b4a-6beb-4a95-a645-4bc7b9c6326a,Failure to Handle Missing Parameter,CWE-234 có tên là gì?,,
8fb6b475-c491-416f-8dd0-ce61bec57ad6,Files or Directories Accessible to External Parties,CWE-552 có tên là gì?,,
4a3fdbd9-bf54-4606-a59f-683671ae1f29,Function Call with Incorrectly Specified Arguments,CWE-628 có tên là gì?,,
2c58ee24-d59c-443b-9de6-c46552964664,Generation of Error Message Containing Sensitive Information,CWE-209 có tên là gì?,,
44ad4fd6-b1c8-4733-bc09-c295c768eac4,Generation of Predictable Numbers or Identifiers,CWE-340 có tên là gì?,,
aa1313ed-a270-4bff-9c7d-71c189add79d,Heap-based Buffer Overflow,CWE-122 có tên là gì?,,
680b4a32-1911-43c6-bc48-85d919f365b1,Improper Access Control,CWE-284 có tên là gì?,,
d4a2e4e5-29c9-4832-9672-431d9e09ad3d,Improper Authentication,CWE-287 có tên là gì?,,
c947acb0-cdf7-48c2-8ce9-e81a5ed638f0,Improper Authorization,CWE-285 có tên là gì?,,
39ccfbe2-ee35-4b11-a9fb-e599baf850cb,Improper Certificate Validation,CWE-295 có tên là gì?,,
1c276e19-9e03-4d8e-b220-fb1749083c7d,Improper Check for Certificate Revocation,CWE-299 có tên là gì?,,
8807c6f1-b068-4021-b2d1-33b592035f90,Improper Check for Unusual or Exceptional Conditions,CWE-754 có tên là gì?,,
04f9436f-3f49-4630-a42d-9e9eb3e65568,Improper Check or Handling of Exceptional Conditions,CWE-703 có tên là gì?,,
44f03436-bcd0-4e1a-baee-07477d094f7b,Improper Cleanup on Thrown Exception,CWE-460 có tên là gì?,,
f0d79e09-dd73-4611-8899-4678589bdcf4,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),CWE-98 có tên là gì?,- PHP Remote File Inclusion,
8622b5bf-b371-4cd7-88b8-68b671bc6d05,Improper Control of Generation of Code ('Code Injection'),CWE-94 có tên là gì?,- Code Injection,
e3a4330f-b99f-4ef6-963a-228062ef9a80,Improper Control of Interaction Frequency,CWE-799 có tên là gì?,,
8be1c54d-f584-4bbd-be9c-8d70a499c558,Improper Control of Resource Identifiers ('Resource Injection'),CWE-99 có tên là gì?,- Resource Injection,
83228063-b7d9-4ce6-99fb-4327c52155b9,Improper Encoding or Escaping of Output,CWE-116 có tên là gì?,,
48bdf03c-a804-43f8-8b71-293dc3fe5f3c,Improper Enforcement of Behavioral Workflow,CWE-841 có tên là gì?,,
b11b105c-97b9-4564-b7e7-207c7e23c6d6,Improper Export of Android Application Components,CWE-926 có tên là gì?,,
b5476c83-0d10-43c5-ac73-2c4fc7aa4dff,Improper Following of a Certificate's Chain of Trust,CWE-296 có tên là gì?,,
83e25849-f625-473b-8e98-95d9f09c8253,Improper Handling of Exceptional Conditions,CWE-755 có tên là gì?,,
0885d975-1c9b-4d81-93e6-95e784cc18c0,Improper Handling of Extra Parameters,CWE-235 có tên là gì?,,
f1bbd849-5de9-41f7-a148-13c825552d61,Improper Handling of Insufficient Permissions or Privileges,CWE-280 có tên là gì?,,
7b9931be-f4ed-4631-ac65-ceb5422241eb,Improper Handling of Insufficient Privileges,CWE-274 có tên là gì?,,
d45c901e-2c9f-4337-b8ae-cb938a7aa072,Improper Handling of Invalid Use of Special Elements,CWE-159 có tên là gì?,,
ed9e2815-0254-415b-9fb4-316c4a48a881,Improper Input Validation,CWE-20 có tên là gì?,,
c74556d6-7819-4843-a515-76f8d9aa6aaf,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),CWE-22 có tên là gì?,- Path Traversal,
eeb57232-a26d-4b6d-b199-e17ec4a64bcf,Improper Link Resolution Before File Access ('Link Following'),CWE-59 có tên là gì?,- Link Following,
b6681b79-a3ac-4b77-ba5f-0c634487ed3e,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),CWE-88 có tên là gì?,- Argument Injection,
b996c062-53e0-42ac-a96a-d7fc458f7abc,Improper Neutralization of CRLF Sequences ('CRLF Injection'),CWE-93 có tên là gì?,- CRLF Injection,
0b21b4f5-47a9-49d4-a587-70fe2437c048,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),CWE-113 có tên là gì?,- HTTP Response Splitting,
07607b84-e291-437e-9fea-bf6a13071c68,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),CWE-643 có tên là gì?,- XPath Injection,
00fdb79c-d4de-41e2-be79-e8871fe4ae26,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),CWE-95 có tên là gì?,- Eval Injection,
27c8cb87-60f2-4604-9e53-ef35ecfa736b,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),CWE-96 có tên là gì?,- Static Code Injection,
a3cc1980-f804-4459-bfd3-d50a161a3497,Improper Neutralization of Equivalent Special Elements,CWE-76 có tên là gì?,,
9956b97d-5e12-4f25-82f8-7eea572c5343,Improper Neutralization of HTTP Headers for Scripting Syntax,CWE-644 có tên là gì?,,
64d4fc18-e335-4e39-980b-525805d795e9,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),CWE-79 có tên là gì?,- Cross-site Scripting,
3e36e287-9957-463d-b552-b11f9e545f90,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,CWE-86 có tên là gì?,,
3a57967d-19a0-4ca5-b38c-758b36ae2bd0,Improper Neutralization of Script in Attributes in a Web Page,CWE-83 có tên là gì?,,
6f416ad0-bcab-4416-b1ca-0f227e6317b1,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),CWE-80 có tên là gì?,- Basic XSS,
0f1f6744-6bba-4d53-af35-5d775b1ed1a5,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,CWE-97 có tên là gì?,- SSI,
6c697b7e-67c5-4d16-9231-b5b2065fa8d7,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),CWE-74 có tên là gì?,- Injection,
fb344676-b4db-4acc-85bf-d6b401f5e32b,Improper Neutralization of Special Elements used in a Command ('Command Injection'),CWE-77 có tên là gì?,- Command Injection,
b67b2cee-ae4d-49dd-9d84-ff3891cd34ea,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),CWE-917 có tên là gì?,- Expression Language Injection,
98c67917-e3b2-4f4f-babe-2efce1575ce4,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),CWE-90 có tên là gì?,- LDAP Injection,
957226a2-b8d7-4519-800e-672d02376238,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),CWE-78 có tên là gì?,- OS Command Injection,
aa826b63-cc06-441d-b690-4adab174e33c,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),CWE-89 có tên là gì?,- SQL Injection,
c0989e28-f52a-43f5-9c86-530aefcf6cbd,Improper Output Neutralization for Logs,CWE-117 có tên là gì?,,
2e573610-8d71-4411-9927-387d69209f08,Improper Ownership Management,CWE-282 có tên là gì?,,
5aa78e20-6720-47a4-a9bf-4f6d16b7008b,Improper Preservation of Permissions,CWE-281 có tên là gì?,,
4a813ff6-2b4f-4587-bf11-7b21acb578fa,Improper Privilege Management,CWE-269 có tên là gì?,,
