id,answer,question,hint,desc
7c21334f-5ea6-4c3b-bbcc-fbb8b50de01f,Broken Access Control,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Broken Access Control: Kiểm soát truy cập bị phá vỡs
6ef846d6-7d88-49db-809e-cd694a19ddd9,Confidentiality,Bảo vệ xem bệnh án của bệnh nhân mà không được bác sĩ cho phép. Yếu tố nào trong bộ ba CIA sau đây bị mất?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
654e0f4b-ac3a-4f2f-addd-570846d3fe5f,Confidentiality,Hacker livestearm camera công ty vẫn còn hoạt động. Yếu tố nào trong bộ ba CIA sau đây bị mất?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
c6f285c9-dbed-40c5-9768-f76c25785638,Confidentiality,Làm sao để thấy thứ mà đáng lẽ mình không được thấy. Yếu tố nào trong bộ ba CIA được nhắc đến?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
1e6db9b4-3fb2-4537-871e-493b7296f139,Confidentiality,Một nhân viên IT xem file salary.xlxs mà chỉ có bộ phận HR được xem dù không được ủy quyền. Yếu tố nào trong bộ ba CIA sau đây bị mất?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
538b40fc-4043-4771-b21c-b406198f3929,Confidentiality,Nhân viên IT đọc lén mail mà bộ phận khác gửi cho giám đốc. Yếu tố nào trong bộ ba CIA sau đây bị mất?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
37bf76be-4fe2-4057-a348-325e908aeb95,Confidentiality,Xem trộm nhật ký của người khác. Yếu tố nào trong bộ ba CIA sau đây bị mất?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
24c1bb5d-a4cf-413c-bce8-cce50757ab05,Confidentiality,Yếu tố nào trong bộ ba CIA hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Confidentiality: Tính bảo mật
3aed7922-e8f7-4b7f-a3e4-98461dc792b4,Credential Dump,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Credential Dump: Trích xuất dữ liệu xác thực
64665fb6-2459-4f33-80c3-7145ff0ca16b,Directory Listing,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Directory Listing: Kiểm tra đường dẫn
93b4c370-cc4e-43dd-8838-afbb2dd09808,Insecure Direct Object Reference (IDOR),Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Insecure Direct Object Reference (IDOR): Tham chiếu đối tượng trực tiếp không an toàn
2b3d4250-2ac9-4c75-a1cd-d9a5876dee0b,Kerberoasting,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,* Kerberoasting: Kỹ thuật thu thập và bẻ khóa vé dịch vụ Kerberos (Offline)
70352204-4472-4ad6-b965-1922a5a7fdc4,Local File Inclusion (LFI),Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,*
3b7eae49-f4dd-4223-b010-7189763f8c71,Password Spray,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,*
c0ac8b14-030a-4aa6-a1ed-641779ce5ceb,Path Traversal,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,*
6b26ea3d-7749-48b4-8391-b1a530c89d59,Server-Side Request Forgery,Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,*
a7602b8f-161c-4929-9aa3-0d4d7ad5cf63,SQL Injection (SQLi),Nhân viên kiểm thử (Pentest) thường sử dụng kỹ thuật nào để tấn công tính bảo mật?,- Hầu hết đều chỉ xem nhưng không phá khi bị nhắm đến.,*
