id,answer,question,hint,desc
7a1a0295-cb55-4169-84db-18f835c95026,Resource Development > Acquire Access,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể mua hoặc có được quyền truy cập hiện có vào hệ thống hoặc mạng mục tiêu.,,"- Một loạt các dịch vụ trực tuyến và mạng lưới môi giới truy cập ban đầu có sẵn để bán quyền truy cập vào các hệ thống đã bị xâm nhập trước đó. Trong một số trường hợp, các nhóm đối thủ có thể hình thành quan hệ đối tác để chia sẻ các hệ thống bị xâm nhập với nhau."
c26f4508-80b2-45b0-92c2-6f9f18f65886,Resource Development > Acquire Infrastructure,"Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể mua, thuê, thuê hoặc có được cơ sở hạ tầng có thể được sử dụng trong quá trình nhắm mục tiêu.",,"- Một loạt các cơ sở hạ tầng tồn tại để lưu trữ và điều phối các hoạt động của đối thủ. Các giải pháp cơ sở hạ tầng bao gồm máy chủ vật lý hoặc đám mây, tên miền và dịch vụ web của bên thứ ba. Một số nhà cung cấp cơ sở hạ tầng cung cấp thời gian dùng thử miễn phí, cho phép mua lại cơ sở hạ tầng với chi phí giới hạn hoặc miễn phí. Ngoài ra, botnet có sẵn để thuê hoặc mua."
57ba04c9-256b-4c79-b6e6-b307a4d7e391,Resource Development > Acquire Infrastructure: Botnet,"Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể mua, thuê hoặc thuê một mạng lưới các hệ thống bị xâm nhập có thể được sử dụng trong quá trình nhắm mục tiêu.",,- Botnet là một mạng lưới các hệ thống bị xâm nhập có thể được hướng dẫn để thực hiện các nhiệm vụ phối hợp. Đối thủ có thể mua đăng ký để sử dụng botnet hiện có từ dịch vụ khởi động / căng thẳng.
6bb4db69-8e6b-40a8-baed-4e561563e551,Resource Development > Acquire Infrastructure: DNS Server,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thiết lập máy chủ Hệ thống tên miền (DNS) của riêng họ có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Trong hoạt động hậu xâm phạm, kẻ thù có thể sử dụng lưu lượng DNS cho các tác vụ khác nhau, bao gồm cả Lệnh và Kiểm soát (ví dụ: Giao thức lớp ứng dụng). Thay vì chiếm quyền điều khiển các máy chủ DNS hiện có, kẻ thù có thể chọn cấu hình và chạy các máy chủ DNS của riêng họ để hỗ trợ các hoạt động."
6bf67b4c-e293-44dc-a17a-6f479b611dae,Resource Development > Acquire Infrastructure: Domains,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể có được các tên miền có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Tên miền là tên con người có thể đọc được được sử dụng để đại diện cho một hoặc nhiều địa chỉ IP. Chúng có thể được mua hoặc trong một số trường hợp, mua miễn phí."
eafb01a9-75c7-405f-91ed-2da8fde8c3e6,Resource Development > Acquire Infrastructure: Malvertising,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể mua quảng cáo trực tuyến có thể bị lạm dụng để phát tán phần mềm độc hại cho nạn nhân.,,"- Quảng cáo có thể được mua để trồng cũng như định vị thuận lợi các hiện vật ở các vị trí cụ thể trực tuyến, chẳng hạn như được đặt nổi bật trong kết quả của công cụ tìm kiếm. Những quảng cáo này có thể khiến người dùng khó phân biệt giữa kết quả tìm kiếm và quảng cáo thực tế hơn. Quảng cáo đã mua cũng có thể nhắm mục tiêu các đối tượng cụ thể bằng cách sử dụng khả năng của mạng quảng cáo, có khả năng tận dụng hơn nữa sự tin tưởng vốn có dành cho các công cụ tìm kiếm và các trang web phổ biến."
da526e1d-486a-4f1f-946f-1acb57eea039,Resource Development > Acquire Infrastructure: Server,"Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể mua, thuê, thuê hoặc có được máy chủ vật lý có thể được sử dụng trong quá trình nhắm mục tiêu.",,"- Việc sử dụng máy chủ cho phép kẻ thù dàn dựng, khởi chạy và thực hiện một hoạt động. Trong hoạt động sau xâm phạm, kẻ thù có thể sử dụng máy chủ cho các tác vụ khác nhau, chẳng hạn như hoạt động lỗ hổng trong Drive-by Compromise, cho phép hoạt động Lừa đảo hoặc tạo điều kiện cho Chỉ huy và Kiểm soát. Thay vì xâm phạm Máy chủ của bên thứ ba hoặc thuê Máy chủ riêng ảo, kẻ thù có thể chọn cấu hình và chạy máy chủ của riêng họ để hỗ trợ các hoạt động. Thời gian dùng thử miễn phí của máy chủ đám mây cũng có thể bị lạm dụng."
eafcda50-3256-46f0-b7a3-bb8e9371db57,Resource Development > Acquire Infrastructure: Serverless,"Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể mua và định cấu hình cơ sở hạ tầng đám mây phi máy chủ, chẳng hạn như Cloudflare Workers, hàm AWS Lambda hoặc Google Apps Scripts, có thể được sử dụng trong quá trình nhắm mục tiêu.",,"- Bằng cách sử dụng cơ sở hạ tầng phi máy chủ, kẻ thù có thể gây khó khăn hơn cho việc phân bổ cơ sở hạ tầng được sử dụng trong quá trình hoạt động cho họ."
dbc31a17-3cf6-4297-886a-02ffb9c28a7a,Resource Development > Acquire Infrastructure: Virtual Private Server,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể thuê máy chủ riêng ảo (VPS) có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Có nhiều nhà cung cấp dịch vụ đám mây sẽ bán máy ảo / container dưới dạng dịch vụ. Bằng cách sử dụng VPS, đối thủ có thể gây khó khăn cho việc ràng buộc các hoạt động với chúng. Việc sử dụng cơ sở hạ tầng đám mây cũng có thể giúp đối thủ nhanh chóng cung cấp, sửa đổi và đóng cửa cơ sở hạ tầng của họ dễ dàng hơn."
36f5bbaa-4c3d-42fb-98ba-37c8cd735590,Resource Development > Acquire Infrastructure: Web Services,Mitre Att&ck: Đây là kỹ thuật nào?\n\nKẻ tấn công có thể đăng ký các dịch vụ web có thể được sử dụng trong quá trình nhắm mục tiêu.,,"- Một loạt các trang web phổ biến tồn tại để đối thủ đăng ký một dịch vụ dựa trên web có thể bị lạm dụng trong các giai đoạn sau của vòng đời của đối thủ, chẳng hạn như trong Lệnh và Kiểm soát (Dịch vụ Web), Trích xuất qua Dịch vụ Web hoặc Lừa đảo. Sử dụng các dịch vụ phổ biến, chẳng hạn như các dịch vụ do Google, GitHub hoặc Twitter cung cấp, giúp đối thủ dễ dàng ẩn nấp trong tiếng ồn dự kiến. Bằng cách sử dụng dịch vụ web, kẻ thù có thể gây khó khăn cho việc ràng buộc các hoạt động vật lý với chúng."
