id,answer,question,hint,desc
64ca0ac0-71dd-42d5-9fa9-7c9853cffdd0,Albert Einstein,"Đâu là tác giả của câu nói này?\n\n""Người đọc quá nhiều và dùng tới bộ óc quá ít sẽ rơi vào thói quen suy nghĩ lười biếng.""",,
47ce0e1c-5d94-44e0-85bb-bed174c9d160,Albert Schweitzer,"Đâu là tác giả của câu nói này?\n\n""Thành công không phải là chìa khóa mở cánh cửa hạnh phúc. Hạnh phúc là chìa khóa dẫn tới cánh cửa thành công. Nếu bạn yêu điều bạn đang làm, bạn sẽ thành công.""",,
48ce47f2-1b68-4ab1-9b76-dfb1fa85f8d0,Anne Wilson Schaef,"Đâu là tác giả của câu nói này?\n\n""Sức khỏe không phải là thứ chúng ta có thể mua. Tuy nhiên, nó có thể là một tài khoản tiết kiệm cực kỳ giá trị.""",,
5fd4433f-c4ed-4bea-8ad4-ef8fe10d6c6b,Aristotle Onassis,"Đâu là tác giả của câu nói này?\n\n""Bí quyết thành công là biết điều mà không ai khác biết.""",,
eb378da0-3520-45b8-a32a-5c5df21bf146,Aristotle Onassis,"Đâu là tác giả của câu nói này?\n\n""Sức khỏe là sự lựa chọn, không phải điều bí ẩn của sự ngẫu nhiên.""",,
872ca784-8348-4dc3-8080-4d85d77492f6,Benjamin Franklin,"Đâu là tác giả của câu nói này?\n\n""Chỉ khi người giàu ốm họ mới thực sự hiểu sự bất lực của giàu sang.""",,
c9e8f8c1-6cae-49bf-b293-4247631249b9,Brian Tracy,"Đâu là tác giả của câu nói này?\n\n""Chìa khóa thành công là tập trung lý trí của chúng ta vào những điều chúng ta muốn chứ không phải những điều chúng ta sợ.""",,
03d22a89-c409-4e8c-a7ef-10d2db47127d,Brian Tracy,"Đâu là tác giả của câu nói này?\n\n""Hầu hết mọi người đạt được thành công lớn nhất khi vượt qua chỉ một bước lên trên điều có vẻ như thất bại lớn nhất của họ.""",,
3b559ee2-5193-442b-9c55-a87b09dfe78c,Brian Tracy,"Đâu là tác giả của câu nói này?\n\n""Những người thành công luôn luôn tìm kiếm cơ hội để giúp đỡ người khác. \n Những người không thành công luôn luôn hỏi, 'Tôi được lợi gì?'""",,
a059f923-79bb-4371-bbe9-1e8cb081f14c,Brian Tracy,"Đâu là tác giả của câu nói này?\n\n""Về cơ bản, có ba loại người: người không thành công, người thành công trong chốc lát, và người thành công bền vững. Sự khác biệt nằm ở nghị lực.""",,
4088ce00-7ef1-47ab-b746-475e41311451,Brian Tracy,"Đâu là tác giả của câu nói này?\n\n""Điều kiện tất yếu đầu tiên của thành công là khả năng dồn năng lượng thể xác và tinh thần vào một vấn đề triền miên, không mệt mỏi.""",,
715c9b30-f301-4ea6-94b5-fbd49dac7a18,Bộ Thông tin và Truyền thông,"Đâu là tác giả của câu nói này?\n\n""Hạ tầng bưu chính thì hạ tầng con người là quan trọng nhất.""",,
9ace545f-1af6-4d13-b389-069c24abb594,Bộ Thông tin và Truyền thông,"Đâu là tác giả của câu nói này?\n\n""Lời giải để đẩy nhanh chóng chuyển đổi số Việt Nam là dựa trên các nền tảng số.""",,
8c2180f4-689f-4155-8cf0-d4124c4cafe2,Bộ Thông tin và Truyền thông,"Đâu là tác giả của câu nói này?\n\n""Với không gian mạng thì hai yếu tố quan trọng là: Giám sát tốt và quyền lực thực thi tốt.""",,
858b4184-cac3-4293-8ae0-4a6b62584979,Dale Carnegie,"Đâu là tác giả của câu nói này?\n\n""Người ta hiếm khi thành công nếu không làm điều mình thấy vui thích.""",,
d91fe5cc-1f2c-45ce-aee7-90a1f1ccd785,Dale Carnegie,"Đâu là tác giả của câu nói này?\n\n""Thành công là đạt được thứ bạn muốn. Hạnh phúc là muốn thứ bạn đạt được.""",,
979008e7-a1e1-4dcd-bc32-21f486ceec3b,David Bly,"Đâu là tác giả của câu nói này?\n\n""Mong muốn có thành công mà không làm việc chăm chỉ cũng giống như cố gắng thu hoạch khi chưa hề gieo trồng.""",,
769dcca1-0c5e-4d28-aea7-6fdcb076b59f,Earl Nightingale,"Đâu là tác giả của câu nói này?\n\n""Thế giới của bạn là sự thể hiện sống động cách bạn đã sử dụng và đang sử dụng trí tuệ của mình.""",,
9152c054-2786-4ce9-98dd-eda331cf8740,Eddie Rickenbacker,"Đâu là tác giả của câu nói này?\n\n""Tôi có thể cho bạn công thức thành công sáu chữ: Nghĩ kỹ lưỡng - theo tận cùng.""",,
f9b1c29b-8d64-4a4f-9f2f-2a7d44b3abb9,Elbert Hubbard,"Đâu là tác giả của câu nói này?\n\n""Thêm một chút bền bỉ, một chút nỗ lực, và điều tưởng chừng như là thất bại vô vọng có thể biến thành thành công rực rỡ.""",,
0f80c961-f53c-47df-8ab3-c3a503b8af40,Flora Edwards,"Đâu là tác giả của câu nói này?\n\n""Giúp người khác cũng là giúp chính mình, bởi điều tốt ta cho đi rồi sẽ quay trở lại với ta.""",,
6e6fe1c3-fc66-439c-a8cf-6647de1cb2ea,Gene Tunney,"Đâu là tác giả của câu nói này?\n\n""Để hưởng thụ vầng hào quang của sức khỏe tốt, bạn phải luyện tập.""",,
cf622586-69c1-4078-851f-3b9ea5a27ed9,George Bernard Shaw,"Đâu là tác giả của câu nói này?\n\n""Thành công không nằm ở việc không bao giờ phạm sai lầm, mà nằm ở việc không bao giờ phạm phải cùng một sai lầm tới lần thứ hai.""",,
00685e98-1046-4991-ae97-cf69df960228,George Sand,"Đâu là tác giả của câu nói này?\n\n""Chỉ có một thứ hạnh phúc trên đời, yêu và được yêu.""",,
8bde234e-9a4e-427f-9651-ad8bee7dbef5,Grantland Rice,"Đâu là tác giả của câu nói này?\n\n""Thất bại chẳng tồi tệ nếu nó không ghi dấu vào tim. Thành công là tốt đẹp nếu nó không bốc lên đầu.""",,
b6f77539-4a2c-473f-b668-d151563e8b86,Henry David Thoreau,"Đâu là tác giả của câu nói này?\n\n""Hãy đọc cuốn sách hay nhất trước, nếu không bạn có thể chẳng có cơ hội đọc nó đâu.""",,
c44527aa-d9f1-45fc-bd83-ad08c200e13d,Henry David Thoreau,"Đâu là tác giả của câu nói này?\n\n""Một cuốn sách thực sự hay dạy tôi nhiều điều hơn là đọc nó. Tôi phải nhanh chóng đặt nó xuống, bắt đầu sống theo những điều nó chỉ dẫn. Điều tôi bắt đầu bằng cách đọc, tôi phải kết thúc bằng hành động.""",,
73b6164c-af49-4db2-a5cd-5ff018ed13df,Henry David Thoreau,"Đâu là tác giả của câu nói này?\n\n""Sách là nguồn của cải quý báu của thế giới và là di sản xứng đáng của các thế hệ và các quốc gia.""",,
ace7ac0b-319a-4377-91ae-26393828eedc,Herbert Kaufman,"Đâu là tác giả của câu nói này?\n\n""Thất bại chỉ là thành công tạm thời bị trì hoãn, chừng nào lòng can đảm còn tôi luyện cho khát vọng. Thói quen kiên định chính là thói quen chiến thắng.""",,
ce5a904d-9182-46d4-82fe-0b35d01585be,Hồ Chí Minh,"Đâu là tác giả của câu nói này?\n\n""Dân cường là quốc thịnh. Tôi muốn đồng bào ta ai cũng gắng tập thể dục. Tự tôi, ngày nào tôi cũng tập.""",,
2800f25a-96d1-490b-b7f8-d13565f6c5ac,Hồ Chí Minh,"Đâu là tác giả của câu nói này?\n\n""Nhà nước chú trọng đặc biệt vào giáo dục thanh thiếu niên về đức dục, trí dục và thể dục.""",,
0249b596-8f40-4e85-b905-46ba1eee5b6c,Jennifer Leigh Youngs,"Đâu là tác giả của câu nói này?\n\n""Thành công trong cuộc sống không tự nhiên mà đến. Bạn cần phải có thái độ sống, khát vọng và cả sự chấp nhận.""",,
512ba6b3-53ab-4996-94b0-f3c34e363151,Jim Rohn,"Đâu là tác giả của câu nói này?\n\n""Khi một người chia sẻ, tất cả mọi người đều thắng.""",,
642a5be4-3206-4b25-9fdc-b47893a428f1,John Adams,"Đâu là tác giả của câu nói này?\n\n""Chúng ta không thể đảm bảo thành công, nhưng chúng ta có thể xứng đáng với thành công.""",,
c95596b4-fed8-41b2-ad56-b412e4e4ea0c,Jorge Luis Borges,"Đâu là tác giả của câu nói này?\n\n""Sự nghi ngờ là một trong những cái tên của trí tuệ.""",,
db63bc6e-f345-4a94-82b7-7c13fe6ddf23,Joyce Meyer,"Đâu là tác giả của câu nói này?\n\n""Tôi tin rằng món quà lớn nhất mà bạn có thể trao cho gia đình mình và thế giới là chính mình khỏe khoắn.""",,
1a37a949-22db-4028-8fbe-78776bceb647,Kapil Dev,"Đâu là tác giả của câu nói này?\n\n""Ngoài kiến thức, bạn cần sức khỏe tốt, và để có được nó, bạn cần chới thể thao.""",,
efbc2ea2-26c3-4278-a498-f0ea1cc3835f,Laurence Shames,"Đâu là tác giả của câu nói này?\n\n""Thành công và thất bại. Ta nghĩ chúng đối lập nhau, nhưng thực ra không phải. \n Chúng là bạn đồng hành - vị anh hùng và người cộng sự.""",,
1bf7b2a1-5354-4994-bd75-98a7cfcebe38,Louisa May Alcott,"Đâu là tác giả của câu nói này?\n\n""Sách hay, cũng như bạn tốt, ít và được lựa chọn; chọn lựa càng nhiều, thưởng thức càng nhiều.""",,
f8a03ddc-b5e2-465f-b249-c72558e12291,Mahatma Gandhi,"Đâu là tác giả của câu nói này?\n\n""Chính sức khỏe mới là sự giàu có thực sự, không phải là vàng bạc""",,
