id,answer,question,desc,ref
cdbb7948-3e7e-4ef8-887b-53978fa46a80,1 Gbps,Cáp Cat5e (Category 5 Enhanced) hỗ trợ tốc độ tối đa bao nhiêu?,"- Cat5e là phiên bản cải tiến của Cat5, hỗ trợ tốc độ Gigabit Ethernet.",
55dac429-dd9d-455e-b102-fad8ffdbfa33,1 Gbps,GigabitEthernet (Ethernet gigabit) có tốc độ tối đa là bao nhiêu?,"- GigabitEthernet (1000Base-T) đạt tốc độ 1 gigabit/giây, phổ biến trong mạng hiện đại.",
0e12c8b6-44f2-47d0-abf0-1d4e2afed046,10 Gbps,Cáp Cat6 (Category 6) có thể hỗ trợ tốc độ tối đa là bao nhiêu?,- Cáp Cat6 hỗ trợ tốc độ 10 Gbps trong phạm vi ngắn (dưới 55 mét).,
a568512e-9be5-4411-abbe-a2f7f61f12b2,10 Mbps,Chuẩn 10Base-T truyền dữ liệu ở tốc độ nào?,"- “10” biểu thị tốc độ 10 megabit/giây, “Base-T” là truyền qua cáp xoắn đôi.",
62ec225f-2f60-4a11-bf7a-084785c23f54,100 Mbps,Tốc độ tối đa của FastEthernet (Ethernet tốc độ nhanh) là bao nhiêu?,- FastEthernet (chuẩn 100Base-T) hỗ trợ tốc độ 100 megabit/giây.,
da7be7ea-b0b0-49f6-91d9-d7251646d023,550 mét,Cáp quang đa mode (Multimode fiber) thường hỗ trợ khoảng cách truyền tối đa là bao nhiêu?,"- Cáp đa mode truyền được khoảng cách ngắn hơn cáp đơn mode, nhưng rẻ hơn.",
0d73cfc0-ebc9-4c63-aa8b-c47ebf76c0ca,Cáp quang,Chuẩn 100Base-FX sử dụng loại cáp nào?,- “FX” trong 100Base-FX biểu thị việc sử dụng sợi quang (Fiber).,
179b836a-f87c-41a6-871e-486dd3004922,Cáp quang đơn mode,Chuẩn 1000Base-LX sử dụng loại cáp nào?,"- ""LX” (Long Wavelength) dùng cáp đơn mode để truyền dữ liệu khoảng cách xa.",
d74e2d87-425d-4183-babc-4e1a8d0cd8c6,Cảm ứng điện từ,Nhiễu trong cáp xoắn đôi (Twisted pair cable) chủ yếu do yếu tố nào gây ra?,- Hai sợi dây xoắn giúp triệt tiêu nhiễu điện từ từ môi trường ngoài.,
44ea71d1-fb81-444c-b10b-970069ef5ae9,Cấu hình thiết bị,Cổng Console (Bảng điều khiển) của Router (Bộ định tuyến) dùng để làm gì?,"- Cổng Console cho phép kỹ sư truy cập thiết bị để cấu hình, bảo trì hoặc khắc phục sự cố.",
24d3158a-6d30-429b-bc21-6dcf654143de,FastEthernet cổng đầu tiên,“Fa0/0” trong thiết bị Cisco có nghĩa là gì?,"- “Fa” là viết tắt của FastEthernet, thể hiện cổng 100 Mbps đầu tiên.",
f5fdbbe1-155b-4e6b-a3fe-bb3b29104f14,Fiber optic cable (Cáp quang),"Khi cần truyền dữ liệu tốc độ cao giữa hai tòa nhà, nên dùng loại cáp nào?","- Cáp quang truyền xa, tốc độ cao, chống nhiễu tốt – phù hợp cho liên kết giữa các tòa nhà.",
cae0ee09-5e1b-40a9-bf26-27de0ccce4cc,GigabitEthernet cổng số 1,Ký hiệu “Gi0/1” trên thiết bị Cisco thể hiện gì?,"- “Gi” là viết tắt của GigabitEthernet, “0/1” thể hiện vị trí cổng vật lý trên thiết bị.",
051ada71-c48e-4460-8748-2c387669c874,Gắn module quang hoặc đồng,Cổng SFP (Small Form-factor Pluggable - Bộ thu phát dạng nhỏ gắn rời) có chức năng gì?,"- SFP là khe cắm cho module quang, cho phép linh hoạt giữa kết nối cáp quang hoặc đồng.",
e9d80c79-c1e6-4daf-8a31-8a15bb2957ec,Không bị ảnh hưởng bởi nhiễu điện từ,Cáp STP (Shielded Twisted Pair - Cáp xoắn đôi có bọc chống nhiễu) có ưu điểm gì?,"- STP có lớp bọc kim loại, giúp giảm nhiễu trong môi trường có nhiều thiết bị điện.",
526d5f03-e2ca-4744-b004-baa44c79c180,Kiểm tra và quản lý nội bộ,Giao diện Loopback (Vòng lặp) có mục đích chính là gì?,"- Loopback là giao diện ảo, dùng để kiểm tra, định danh hoặc dùng cho định tuyến logic.",
257c7a1c-227a-4fa5-8ea6-b3fac5fffdfc,Kết nối Console,Cáp Rollover (Cáp đảo ngược) được dùng để làm gì?,"- Cáp rollover có dây đảo ngược, chuyên dùng cho kết nối console Cisco.",
b57299af-df64-4fe6-aa4b-ac72e7dc98ec,RJ45 sang DB9,Cáp Console (Bảng điều khiển) truyền thống có dạng đầu nối nào?,- Cáp console cổ điển của Cisco sử dụng đầu RJ45–DB9 để nối PC với Router/Switch.,
f3847903-642a-4343-9c17-74568105e311,Straight-through cable (Cáp thẳng),"Khi kết nối Router (Bộ định tuyến) với Modem (Bộ điều giải), loại cáp nào được sử dụng?","- Router và Modem là thiết bị khác loại, nên dùng cáp thẳng để kết nối.",
d5dca075-3bff-47d4-bef2-ad2bd9d912c3,Straight-through cable (Cáp thẳng),Loại cáp nào được sử dụng để kết nối Switch (Bộ chuyển mạch) với Router (Bộ định tuyến)?,"- Cáp thẳng dùng để kết nối các thiết bị khác loại, ví dụ như Router–Switch hoặc Switch–PC.",
b8456c59-8726-488e-82fc-4f9667e6c955,Truyền hình cáp,Cáp đồng trục (Coaxial cable) thường được sử dụng trong ứng dụng nào?,"- Cáp đồng trục truyền tín hiệu tần số cao, phổ biến trong truyền hình và Internet cáp.",
37d66023-68d0-4c72-a3a7-3c6e43f56483,Twisted pair cable (Cáp xoắn đôi),Đầu nối RJ45 (Registered Jack 45 - Đầu nối mạng chuẩn 45) được sử dụng với loại cáp nào?,"- RJ45 là đầu nối chuẩn dùng cho cáp xoắn đôi Ethernet (Cat5e, Cat6).",
b16e85e2-3d41-45e0-a4ee-9ff3465f7ebb,WAN (Wide Area Network - Mạng diện rộng),Giao diện Serial (Serial Interface - Giao diện tuần tự) thường được sử dụng trong loại kết nối nào?,- Giao diện Serial chủ yếu được dùng để kết nối các Router (Bộ định tuyến) trong mạng diện rộng WAN.,
b1a5a772-3640-45d3-b4d7-4225fbda7cec,Ánh sáng,Cáp quang (Fiber optic cable) truyền tín hiệu bằng gì?,"- Cáp quang sử dụng ánh sáng để truyền dữ liệu, tốc độ cao và chống nhiễu rất tốt.",
