id,answer,question,hint,desc
d8699692-9cb8-4327-885a-c07da6b38a19,as,English - Fill in the blanks: Tran Thanh is famous _ an actor.,* Trấn Thành nổi tiếng như một diễn viên.,- Tran Thanh is famous [cyan]as[/] an actor.\n- as occupation/jobs
a7a79d33-74c2-46cc-9697-d9e5fb76ec69,cleaning,English - Fill in the blanks: The room needs _ .,* Căn phòng này cần được dọn dẹp,- The room needs [cyan]cleaning[/].\n- S(s) + V + Doing (Biểu hiện của bị động)\n
081e56b4-0e0e-4f0e-8d7d-b18240a1f44f,completing,English - Fill in the blanks: This report needs _ .,* Báo cáo này cần phải được hoàn thành,- This report needs [cyan]completing[/].\n- S(s) + V + Doing (Biểu hiện của bị động)
252b5b83-5cc5-4e4b-a302-e05cb803bd4c,for,English - Fill in the blanks: Son Tung MTP is famous _ his excellent music.,* Sơn Tùng MTP nổi tiếng vì âm nhạc xuất sắc của anh ấy,- Son Tung MTP is famous [cyan]for[/] his excellent music.\n- for something
dff3d15d-c383-481d-84e2-a86ef7b70885,for,English - Fill in the blanks: Vietnam is famous _ the ao dai.,* Việt Nam nổi tiếng với áo dài.,- Vietnam is famous [cyan]for[/] the ao dai.\n- for something
22a90c75-9165-4b46-b6bb-af3921e1c398,from,English - Fill in the blanks: Cheese is made _ milk.,* Phô mai được làm từ sữa,- Cheese is made [cyan]from[/] milk.\n- made from: làm từ (không còn nhận diện được vật liệu)
3d140c4e-e5e3-4893-875b-0951af7170bf,in,English - Fill in the blanks: This product is made _ VietNam.,* Sản phẩn này được sản xuất tại Việt Nam.,- This product is made [cyan]in[/] VietNam.\n- made in: được sản xuất tại
b1bdd310-2829-451f-93f6-5101f316dafa,of,English - Fill in the blanks: The chair is made _ wood.,* Cái ghế này được làm bằng gỗ,- The chair is made [cyan]of[/] wood.\n- made of: làm bằng (còn nhận diện được vật liệu)
ba5dc2fa-51ca-4cab-a042-e053bdb1374b,of,English - Fill in the blanks: The ring is made _ gold.,* Chiếc nhẫn này được làm bằng vàng,- The ring is made [cyan]of[/] gold.\n- made of: làm bằng (còn nhận diện được vật liệu)
5c0f0418-7f4e-483e-b62f-6f4e2978ac82,to,English - Fill in the blanks: This movie is famous _ students.,* Bộ phim này nổi tiếng với học sinh,- This movie is famous [cyan]to[/] students.\n- to somebody
1ff27302-910b-4705-bd76-f82917be5b2c,to complete,English - Fill in the blanks: I need _ this report.,* Tôi cần phải cần hoàn thành báo cáo này,- I need [cyan]to complete[/] this report.\n- S(p) + V + to do (Biểu hiện của chủ động)
