id,answer,question,hint,desc
feb40157-2ac2-4995-aa60-1488eb13938c,\ls,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
64985575-432f-4be4-a8b6-203173316351,ls,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
b60b89d9-ec8e-48b9-8e06-f30db1b13df5,"ls ""$PWD""","Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
c8f00f2f-eb31-44bd-9b16-630fa5145950,ls $file,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
ffd0d324-f03d-4248-8644-601cd7ba7790,ls $pwd,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
32064bfb-c566-4828-8324-aa21215eac4d,ls $PWD,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
08ab292c-fdaf-46ec-9e78-5945470ff828,ls $search_dir,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
7ca2aaee-ca7f-4314-8cd7-d233bd4be98b,ls *,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
4dfed0ad-690a-4827-82ad-11267e091de6,ls -1,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
defe2149-0b75-4e71-8736-5470f0652a88,ls -1 .,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
09cfff3c-e409-4877-99e2-0abbd6a5535c,ls -1 /var/challenges/list_files,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
a6d7339a-7649-4dab-8112-1e6b486bdce1,ls -1A,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
805252ab-0160-4ce9-8c71-633748bb2e7c,ls -1D,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
74321eee-650d-4d67-abef-2d8e9ca549b6,ls -A,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
aefb836f-fb4b-4fb4-aa0b-ce8140557072,ls -a | cat access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
caa7cf00-15ef-4d26-af77-c4f1163ed883,ls -A1,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
eb97069b-2af8-44ef-a669-bc120f0b829a,ls -AL,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
caeeaeab-4a04-4e6f-b2ca-938cb5fe0475,ls -b,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
7031bc70-ecdd-4d5c-804d-d24e267b9ece,ls -c,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
223e9d53-a893-4e1f-9a54-f47f13288152,ls -D,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
496c5216-71e9-47e0-be9c-1f0f56e06be6,ls -d $PWD,Lệnh nào in ra thư mục làm việc hiện tại?,,
63c6f20e-7ab4-447a-8724-ed2355d52a73,ls -F,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
14859112-d87c-4581-8004-e02c1de65776,ls -h,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
0f5d1620-9910-4eb2-8412-26709c639b8d,ls -L,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
710cbd3b-ea89-418c-a5aa-caccb3354efa,ls -l | awk '{ print $9 }',"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
11caa969-a724-46f3-8d94-d21caa23b23d,ls -l | awk '{print $9}',"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
eca12d9e-f467-48b8-8ae6-aae1ff34586d,ls -L1,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
3ba0219e-d47f-4423-846b-71e4b429e9ce,ls -N,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
78941574-4e65-499c-8d16-959f00e68a2f,ls -p,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
e4d61f08-73d2-459e-84c3-6ffe06f1da99,ls -p | grep -v /,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
46348dba-5d47-4787-ae7c-3bb9bef0d2c4,ls -q,"Lệnh nào liệt kê tên của tất cả các tệp trong thư mục hiện tại, mỗi tệp một dòng?",,
