id,answer,question,hint,desc
54668209-51f8-4882-8d42-f3d969d6f78b,phường An Hải,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Sơn Trà (Đà Nẵng),
c5656619-708f-42b7-96d3-f461f9a93c55,phường An Khê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Thanh Khê, Cẩm Lệ (Đà Nẵng)",
e976f63d-4cce-49cd-a102-4f37484f2288,phường An Thắng,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thị xã Điện Bàn (Quảng Nam),
498565e3-f61f-4b98-8442-ee0a9a989565,phường Bàn Thạch,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Tam Kỳ (Quảng Nam),
9b2887da-c867-4c8f-934b-aab60fbb9934,phường Cẩm Lệ,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Cẩm Lệ (Đà Nẵng),
85d85db5-e45a-4360-90a6-8bd8f64e15ed,phường Hòa Cường,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Hải Châu (Đà Nẵng),
77ad5cf7-98ad-43f3-8440-4d47d80d6d43,phường Hòa Khánh,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Liên Chiểu, Huyện Hòa Vang (Đà Nẵng)",
2dcf5c70-b147-434f-8579-f35d45dbbffd,phường Hòa Xuân,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Cẩm Lệ, Huyện Hòa Vang (Đà Nẵng)",
57b00f07-7e4b-4ce9-af93-c24e7469885c,phường Hương Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Tam Kỳ (Quảng Nam),
b7828b79-0247-48f6-999b-f5d4fc6fac0d,phường Hải Châu,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Hải Châu (Đà Nẵng),
a5cec06e-2ceb-4c9a-af83-96ed071f22bc,phường Hải Vân,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Liên Chiểu, Huyện Hòa Vang (Đà Nẵng)",
8887d861-525e-4853-9fea-748b7cac9084,phường Hội An,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Hội An (Quảng Nam),
9a5bdacc-ef16-4ebe-a62d-6d8ed51e4852,phường Hội An Tây,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Hội An (Quảng Nam),
bc8d9570-e889-4c13-a2e3-75dce0e047a3,phường Hội An Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Hội An (Quảng Nam),
bc609f02-fb66-430c-8cbc-1504c5089fc3,phường Liên Chiểu,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,"- Từng thuộc đơn vị hành chính cấp huyện: Quận Liên Chiểu, Huyện Hòa Vang (Đà Nẵng)",
e3b8b9fa-91a3-430a-a9e8-fc144bb980e0,phường Ngũ Hành Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Ngũ Hành Sơn (Đà Nẵng),
f5e27984-074d-446c-bbf4-416a7aad1487,phường Quảng Phú,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Tam Kỳ (Quảng Nam),
1eed6edb-9ee0-44aa-b263-d625fa4cea23,phường Sơn Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Sơn Trà (Đà Nẵng),
1d884096-a624-4b6c-8bdb-9c26c8a0e187,phường Tam Kỳ,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thành phố Tam Kỳ (Quảng Nam),
a0b96187-a022-454c-8fa5-1c61d152cdf4,phường Thanh Khê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Quận Thanh Khê (Đà Nẵng),
c5aac9b1-6cf7-4e6b-9358-afe5209f1dff,phường Điện Bàn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thị xã Điện Bàn (Quảng Nam),
f617c556-1fed-4a12-973e-a414eaea437a,phường Điện Bàn Bắc,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thị xã Điện Bàn (Quảng Nam),
aa6084fc-daa9-43c0-872b-4c390659838a,phường Điện Bàn Đông,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thị xã Điện Bàn (Quảng Nam),
60f2159b-7e97-4ce1-892c-2f9e35b233d5,xã Avương,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Tây Giang (Quảng Nam),
4601ed23-3803-43a3-b573-4e801ed5b07d,xã Bà Nà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Hòa Vang (Đà Nẵng),
cc74aecf-7725-4099-9972-30373894eeb1,xã Bến Giằng,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Nam Giang (Quảng Nam),
122f0d13-08e9-44c9-a51e-1f2c6077bca1,xã Bến Hiên,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Đông Giang (Quảng Nam),
8c22f11b-3f78-4018-adea-2fe8ed48b430,xã Chiên Đàn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phú Ninh (Quảng Nam),
03deea02-9dcf-4861-bb80-68a50c5a6149,xã Duy Nghĩa,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Duy Xuyên (Quảng Nam),
adaa5820-04e6-4a24-b3cd-10ce32ed8159,xã Duy Xuyên,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Duy Xuyên (Quảng Nam),
5d05d2c5-f9da-49c2-9766-8e32e778de19,xã Gò Nổi,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Thị Xã Điện Bàn (Quảng Nam),
197714f8-4c5b-4634-abf7-5b5c01cbbc6e,xã Hiệp Đức,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Hiệp Đức (Quảng Nam),
753b887e-cf81-402a-86f3-1606e0664a31,xã Hà Nha,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Đại Lộc (Quảng Nam),
1ac4b241-4d90-40f8-af4c-e7e903a0b4a4,xã Hòa Tiến,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Hòa Vang (Đà Nẵng),
16951821-7e8f-42f5-9eeb-5d56c18ef09b,xã Hòa Vang,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Hòa Vang (Đà Nẵng),
87b92d45-c2a8-4cb7-abc8-44f2fcd8f1a3,xã Hùng Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Tây Giang (Quảng Nam),
643f5a2d-dc70-49b0-b7b6-cdb4bb13417e,xã Khâm Đức,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phước Sơn (Quảng Nam),
712549f5-5585-4684-893f-2c5c57c3d4b0,xã La Dêê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Nam Giang (Quảng Nam),
7109363a-3b68-4997-9dce-0e5194734786,xã La Êê,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Nam Giang (Quảng Nam),
d5e1b4b9-0497-41ac-a3f8-1548e33a268b,xã Lãnh Ngọc,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Tiên Phước (Quảng Nam),
6f20a44f-2373-491f-ad8d-779c0d32d7a3,xã Nam Giang,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Nam Giang (Quảng Nam),
bea42770-e20a-445d-bad4-d265d3c3214a,xã Nam Phước,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Duy Xuyên (Quảng Nam),
20d0fd15-3916-4af5-b6e1-9fa531b5ffc0,xã Nam Trà My,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Nam Trà My (Quảng Nam),
10ebd2da-63f9-44f9-80e6-3ce4af151f1b,xã Nông Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Quế Sơn (Quảng Nam),
546881e0-697f-4070-8e80-54f267370be0,xã Núi Thành,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Núi Thành (Quảng Nam),
a6789fdc-c690-4380-b0d7-ed7da538e2fe,xã Phú Ninh,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phú Ninh (Quảng Nam),
24b12669-051d-467a-a8bf-247d3423404d,xã Phú Thuận,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Đại Lộc (Quảng Nam),
788a5be5-5979-413e-8405-965e4b351745,xã Phước Chánh,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phước Sơn (Quảng Nam),
0b54af2d-b7b1-48b9-89e1-ab856a394138,xã Phước Hiệp,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phước Sơn (Quảng Nam),
fd92e3ef-4899-458d-b967-c79b5c8c0aec,xã Phước Năng,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phước Sơn (Quảng Nam),
7b0230bf-5d1a-48f0-b5e9-2931e8aabab3,xã Phước Thành,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Phước Sơn (Quảng Nam),
3993feff-d1b3-42b4-9533-64907bbc55be,xã Phước Trà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Hiệp Đức (Quảng Nam),
535bf427-068d-48d4-892d-ed0c1f67e8b8,xã Quế Phước,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Quế Sơn (Quảng Nam),
e3f35b42-6269-4c49-a2fb-7818eba98fdb,xã Quế Sơn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Quế Sơn (Quảng Nam),
8afa546e-9e76-414e-b39c-4484b2d033f3,xã Quế Sơn Trung,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Quế Sơn (Quảng Nam),
07b835ba-efd3-4b9d-9e2a-b46dd4fb807d,xã Sông Kôn,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Đông Giang (Quảng Nam),
ae603eb3-230d-485a-b784-c8cdfbd5e13c,xã Sông Vàng,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Đông Giang (Quảng Nam),
7630708b-91be-4c25-a656-2aa20b4fb2f8,xã Sơn Cẩm Hà,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Tiên Phước (Quảng Nam),
a1760e08-ae7d-4331-a10b-a55c7c8aa0b2,xã Tam Anh,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Núi Thành (Quảng Nam),
e122adad-d4ab-480d-a085-b488b8206e77,xã Tam Hải,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Núi Thành (Quảng Nam),
ecee4c49-c8cb-4d3e-92f8-3265bcfdc6d7,xã Tam Mỹ,Đâu là đơn vị hành chính cấp xã của Thành phố Đà Nẵng?,- Từng thuộc đơn vị hành chính cấp huyện: Huyện Núi Thành (Quảng Nam),
