id,answer,question,hint,desc
0fef64a7-1ef2-4440-8957-c980cbf61f5a,Abbosbek Fayzullaev,Ai là cầu thủ ghi bàn của đội tuyển Uzbekistan trong trận giữa Uzbekistan - Colombia (1 - 3) ở kỳ World Cup 2026?,- Bàn thứ 2. 60',
d92f3f9a-017b-4f33-b81e-f0bb5bc27059,Abdulelah Al-Amri,Ai là cầu thủ ghi bàn của đội tuyển Ả Rập Xê Út trong trận đấu giữa Ả Rập Xê Út - Uruguay (1 - 1) ở World Cup 2026?,- Bàn đầu tiên. 41',
908a0c7f-1da4-4025-8cb3-1ad0b21aac4e,Alex Freeman,Ai là cầu thủ ghi bàn của đội tuyển Hoa Kỳ trong trận giữa Hoa Kỳ - Úc (2 - 0) ở kỳ World Cup 2026?,- Bàn thứ 2. 43',
c5d12129-09ed-480b-85c9-ea47813b5bad,Alexander Isak,Ai là cầu thủ ghi bàn của đội tuyển Thụy Điển trong trận đấu giữa Thụy Điển - Tunisia (5 - 1) ở World Cup 2026?,- Bàn thứ 2. 30',
92c8ad23-78a9-4663-89e2-ced718dd85b2,Ali Olwan,Ai là cầu thủ ghi bàn của đội tuyển Jordan trong trận giữa Áo - Jordan (3 - 1) ở kỳ World Cup 2026?,- Bàn thứ 2. 50',
8dc266c3-7213-4b8b-8651-269b79bb1bc5,Amad Diallo,Ai là cầu thủ ghi bàn của đội tuyển Bờ Biển Ngà trong trận đấu giữa Bờ Biển Ngà - Ecuador (1 - 0) ở kỳ World Cup 2026?,- Bàn duy nhất. 90',
0643ee20-473a-4819-bab5-53b6d16e0045,Aymen Hussein,Ai là cầu thủ ghi bàn của đội tuyển Iraq trong trận đấu giữa Iraq - Na Uy (1 - 4) ở kỳ World Cup 2026?,- Bàn thứ 2. 39',
a2ed4e70-a5c2-4d2d-833f-2541afd49a48,Aymen Hussein,Ai là cầu thủ phản lưới của đội tuyển Iraq trong trận đấu giữa Iraq - Na Uy (1 - 4) ở kỳ World Cup 2026?,- Bàn thứ 5. 90+6',
919f11fa-b558-44d8-9594-d4b54dc72aa0,Bradley Barcola,Ai là cầu thủ ghi bàn của đội tuyển Pháp trong trận đấu giữa Pháp - Sénégal (3 - 1) ở kỳ World Cup 2026?,- Bàn thứ 2. 82',
723a3365-d276-41b1-9d27-907a2a1d8026,Breel Embolo,Ai là cầu thủ ghi bàn của đội tuyển Thụy Sĩ trong trận đấu giữa Qatar - Thụy Sĩ (1 - 1) ở kỳ World Cup 2026?,- Bàn phạt đền đầu tiên kỳ World Cup 2026. 17'(P),
