id,answer,question,desc,ref
749b3dca-8ffb-4ebb-b1ac-e43a614f3497,A large network spread over a wide geographical area like the Internet.,What is a WAN (Wide Area Network)?,,
5f42b8bf-0517-4d5c-b894-bb84a4d96d59,A network that spans a city or large campus.,What is a MAN (Metropolitan Area Network)?,,
45f21cc9-f564-450d-badb-e6bdd8849e88,"A small network within a home, office, or building.",What is a LAN (Local Area Network)?,,
a6bcfa32-6104-42a9-bee3-50166c7fc0ea,Broadcasts data to all connected devices regardless of destination.,Hub có chức năng gì?,,
b504bdcd-12d5-4d35-a927-52251e841f19,Broadcasts data to all connected devices regardless of destination.,What does a Hub do?,,
065f93ff-276c-4574-8904-79d2b3d92504,Cho phép thiết bị không dây kết nối vào mạng có dây.,Access Point (AP) có chức năng gì?,,
d93d394f-7c34-4819-9a1d-2b6a845824c2,Chuyển đổi dữ liệu số sang tín hiệu tương tự (và ngược lại) để kết nối Internet.,Modem có chức năng gì?,,
08c79212-1160-4eab-9a6e-da2441f2e695,Connecting devices in a LAN (Local Area Network).,What are Ethernet Cables (Twisted Pair) used for?,,
69baf7a5-027b-44af-bd42-f527c3201fcc,Connects devices in a LAN and forwards data based on MAC addresses.,What does a Switch do?,,
0eca2911-1654-4fe1-9ef7-e26d603e29dc,Connects different networks and routes data between them.,What does a Router do?,,
d5984243-4718-4682-afa8-0156a52fc9d9,Converts digital data to analog (and vice versa) for internet connectivity.,What does a Modem do?,,
64089a36-d41a-4bb4-bc8f-b099ca736e87,"Dùng cho kết nối tốc độ cao, khoảng cách xa (WAN, mạng trục).",Dây cáp quang dùng để làm gì?,,
d351608b-3d91-41b2-8119-3f574e221e78,"Dùng cho trung tâm dữ liệu hiệu năng cao, hỗ trợ tốc độ 10–40 Gbps, đắt tiền và ít phổ biến ở gia đình/văn phòng.",Cat7/Cat8 được dùng ở đâu?,,
4e235076-8a46-446b-98ce-09d800e316fc,Dùng để kết nối các thiết bị trong mạng LAN (mạng cục bộ).,Dây Ethernet (xoắn đôi) dùng để làm gì?,,
732054e2-f9f3-4379-aa72-95b0b002ecff,Enables wireless devices to connect to a wired network.,What does an Access Point (AP) do?,,
33741d32-5d16-4eb4-b18b-b4244271c6c4,"High-performance data centers, supports 10–40 Gbps speeds, expensive and less common in homes/offices.",What are Cat7 and Cat8 used for?,,
f9e03bc3-6100-4b57-be4b-86223157258c,"High-speed, long-distance connections (WANs, backbone networks).",What are Fiber Optic Cables used for?,,
f116eeb6-539b-4fc6-8cfb-6b72a609d306,Kết nối các mạng khác nhau và định tuyến dữ liệu giữa chúng.,Router có chức năng gì?,,
a562c953-1511-4836-ac77-662415b189ac,"Long-distance (up to 100 km+), uses laser light, thin core (~9 microns).",What is Single-mode Fiber (SMF)?,Single-mode Fiber (SMF) là gì?,
0af11e88-4f35-434c-85db-ea982190a79d,Là mạng bao phủ một thành phố hoặc một khuôn viên lớn.,MAN (Mạng đô thị) là gì?,,
26cb510c-1e88-4082-b9ef-5ecd528c7016,"Là một mạng nhỏ trong phạm vi gia đình, văn phòng hoặc tòa nhà.",LAN (Mạng cục bộ) là gì?,,
6fea501e-4427-4296-aa7e-95839c4f63ad,"Là việc kết nối máy tính, máy chủ và thiết bị để chia sẻ dữ liệu và tài nguyên (tập tin, internet, máy in, v.v.).",Networking là gì?,,
1db2c1c7-f8f4-494b-80df-7239809707f0,"Speed: 10 Gbps, shielded, supports higher bandwidth and longer distances than Cat6.",What is Cat6a (Augmented Category 6)?,,
ed8da113-1e60-4368-8b31-41bb441059bc,"Speed: Up to 1 Gbps, reduced crosstalk, better performance than Cat5, still widely used.",What is Cat5e (Enhanced Category 5)?,,
b45424e6-764b-4fcf-bc86-f5149b417d93,"Speed: Up to 10 Gbps (short distances), better shielding, common in modern setups.",What is Cat6?,,
bcffa117-e4e4-4f36-9281-fe0b94900c3f,"Speed: Up to 100 Mbps (Fast Ethernet), Max Length: 100m, mostly outdated.",What is Cat5 (Category 5)?,,
01a10483-1453-4af3-b5a2-0776446d7e42,"The practice of connecting computers, servers, and devices to share data and resources (files, internet, printers, etc.).",What is Networking?,,
33b06d0e-1e6d-4aba-805f-809851060e96,"Tốc độ: 10 Gbps, có che chắn, hỗ trợ băng thông cao hơn và khoảng cách xa hơn Cat6.",Cat6a là gì?,,
78547181-d38f-4120-94e0-ccbd3cee023d,"Tốc độ: Tối đa 1 Gbps, giảm nhiễu xuyên âm, hiệu năng tốt hơn Cat5, vẫn còn dùng phổ biến.",Cat5e (Category 5e) là gì?,,
e867ef81-561d-4692-b6ec-80615c2237fa,"Tốc độ: Tối đa 10 Gbps (khoảng cách ngắn), chống nhiễu tốt hơn, phổ biến trong hệ thống hiện đại.",Cat6 là gì?,,
f373ea46-cdbf-4cc4-8d19-f0e6d198dbd1,"Tốc độ: Tối đa 100 Mbps (Fast Ethernet), Chiều dài tối đa: 100m, hiện nay hầu như đã lỗi thời.",Cat5 (Category 5) là gì?,,
