id,answer,question,desc,ref
a3d2ea5d-14d3-49af-9631-139bedb4f358,Độ trễ (Latency),Edge Computing (Điện toán biên) giúp giảm yếu tố nào so với Cloud?,"- Edge Computing xử lý dữ liệu gần nơi sinh ra nó, giảm độ trễ khi gửi về trung tâm đám mây.",
b5e68495-6f15-4c4f-bbad-7b33222c66e4,Gửi đến tất cả các cổng,Hub (Bộ tập trung/chia mạng) gửi dữ liệu như thế nào trong mạng?,"- Hub là thiết bị “ngu” — nó không biết địa chỉ đích, nên gửi dữ liệu đến tất cả thiết bị trong mạng.",
b9155e65-9992-4d63-b5df-3901b96c89eb,"Quản lý tập trung, mở rộng linh hoạt",Kiến trúc mạng Cloud (Đám mây) cho phép điều gì?,"- Cloud Architecture cho phép quản trị, lưu trữ và triển khai dịch vụ mạng linh hoạt trên hạ tầng đám mây.",
42aad515-62fe-4dec-bee6-34c7f8da8f83,Core và Distribution,Kiến trúc mạng hai lớp (Two-Tier Architecture) thường gộp lớp nào lại với nhau?,- Two-tier Architecture gộp Core và Distribution lại để giảm chi phí và độ phức tạp cho mạng nhỏ.,
cd7404f0-279e-4b76-a472-6e6d5f18e040,Tăng tính tự động hóa,Kiến trúc mạng hiện đại của doanh nghiệp thường hướng đến mục tiêu nào?,"- Mục tiêu của thiết kế mạng hiện đại là tự động hóa, khả năng mở rộng, và tối ưu vận hành.",
341104d2-0141-4253-8cad-2b5cab3e3385,Kết hợp nhiều loại tô-pô mạng,Kiến trúc mạng Hybrid (Lai) là gì?,"- Hybrid Topology kết hợp các tô-pô khác nhau (Star, Mesh, Bus…) để tận dụng ưu điểm của từng loại.",
8c729dad-2f64-4573-b454-1c7ce8613c37,Một tòa nhà hoặc khu vực nhỏ,Kiến trúc mạng LAN (Local Area Network - Mạng cục bộ) thường giới hạn trong phạm vi nào?,"- LAN kết nối các thiết bị trong phạm vi gần, thường là trong cùng tòa nhà hoặc văn phòng.",
8f6f27a5-c3bc-4d41-8f6a-251458ebb539,Control Plane (Mặt điều khiển) và Data Plane (Mặt dữ liệu),Kiến trúc mạng SDN (Software Defined Networking - Mạng được định nghĩa bằng phần mềm) phân tách gì?,"- SDN tách control plane ra khỏi thiết bị mạng, cho phép quản lý tập trung và linh hoạt.",
57dfe202-026a-441b-998e-8ce0caa7dd72,Access Layer (Lớp truy cập),Lớp nào cung cấp kết nối cho người dùng cuối đến mạng?,"- Access Layer kết nối thiết bị người dùng như PC, IP Phone, hoặc AP (Access Point - Điểm truy cập).",
8f3506ec-83f2-41bf-a102-4c65ddd905f0,Distribution Layer (Lớp phân phối),Lớp nào trong mô hình Cisco chịu trách nhiệm định tuyến giữa các mạng con (subnet)?,"- Distribution Layer xử lý định tuyến, chính sách, và kiểm soát truy cập giữa các VLAN hoặc subnet.",
591ae307-4156-49c3-99c2-cf63aa7d1729,Core Layer (Lớp lõi),Lớp nào tập trung vào tốc độ và độ tin cậy cao trong việc truyền dữ liệu?,"- Core Layer là “xương sống” của mạng, ưu tiên tốc độ, hiệu suất và độ tin cậy.",
318a1f3b-02a3-47fe-880c-48cc30a40b81,Data Center (Trung tâm dữ liệu),Mô hình mạng Campus (Khuôn viên) của Cisco thường bao gồm thành phần nào sau đây?,"- Campus Network bao gồm các tòa nhà trong cùng khuôn viên, được kết nối bởi các switch và router hiệu năng cao, thường gắn liền với Data Center.",
