id,answer,question,hint,desc
fe416f6c-f896-427e-afc0-120e67681118,Là dịch vụ mạng có mã hóa. Dùng để truy cập và điều khiển các thiết bị trong nội bộ hoặc từ xa.,Network: SSH là gì?,- Port 22\n- Thay thế cho Telnet,* SSH: Secure Shell
e4e05e85-cdfe-4117-94d6-c5a0fee97143,"Là dịch vụ mạng có mã hóa. Dùng để xác thực, phân quyền và ghi nhật ký truy cập cho các thiết bị mạng.",Network: TACACS+ là gì?,- Port 49\n- Thường dùng trong môi trường doanh nghiệp lớn để quản lý tập trung.,* TACACS+: Terminal Access Controller Access-Control System Plus
d8913bd0-118e-4f56-9adb-679ca6a851e0,Là dịch vụ mạng không mã hóa. Dùng để giám sát và quản lý các thiết bị trong mạng.,Network: SNMP là gì?,- Port 161\n- Sử dụng các bản tin (Trap/Get) để theo dõi trạng thái thiết bị,* SNMP: Simple Network Management Protocol
e555480a-7d22-43af-b78d-18adb5727173,Là dịch vụ mạng không mã hóa. Dùng để gửi hoặc truyền tải thư điện tử giữa các thiết bị trong mạng.,Network: SMTP là gì?,"- Port 25\n- Chỉ dùng để gửi, không dùng để nhận thư.",* SMTP: Simple Mail Transfer Protocol
9e28580c-1b81-4ac4-9ba0-77be72f37861,Là dịch vụ mạng không mã hóa. Dùng để phân giải tên miền thành địa chỉ IP và ngược lại.,Network: DNS là gì?,"- Port 53\n- Đóng vai trò như một ""danh bạ"" của Internet.",* DNS: Domain Name System
9c84022c-6167-4b5e-857d-9d5c6fd96023,Là dịch vụ mạng không mã hóa. Dùng để quản lý kết nối và điểm kiểm tra cho các ứng dụng cơ sở dữ liệu Oracle đời cũ.,Network: Oracle SQL*Net là gì?,- Port 66\n- Hiện nay các dịch vụ Oracle hiện đại thường dùng port 1521 và có cơ chế bảo mật tốt hơn.,* Oracle SQL*Net: Oracle SQL*Net Checkpoint
45238b60-32a1-4ee6-9084-e0da76336a6b,Là dịch vụ mạng không mã hóa. Dùng để truy cập và điều khiển các thiết bị trong nội bộ hoặc từ xa.,Network: Telnet là gì?,- Port 23\n- Dữ liệu truyền từ xa hoặc nội bộ dưới dạng Plain Text.,* Telnet: Teletype Network (hoặc Terminal Login)
bf5243c8-3b1f-4cf9-b1a0-3f8e7f81a7ac,Là dịch vụ mạng không mã hóa. Dùng để truyền tải dữ liệu giữa các thiết bị trong mạng.,Network: FTP là gì?,"- Port 20 (Data), 21 (Control)\n- Kém an toàn do gửi dữ liệu dạng plain text.",* FTP: File Transfer Protocol
96be12b3-97d5-46c3-95f8-d4410ec9739e,Là dịch vụ mạng không mã hóa. Dùng để truyền tải dữ liệu và đồng bộ giữa các máy chủ tên miền đời cũ.,Network: WINS Replication là gì?,- Port 42\n- Tiền thân của việc phân giải tên miền trong mạng Windows cục bộ.,* WINS: Windows Internet Name Service Replication (Host Name Service)
a138e1c3-1263-4b36-b229-d70062b3d42f,Là dịch vụ mạng không mã hóa. Dùng để truyền tải nội dung dữ liệu siêu văn bản giữa các thiết bị trong mạng.,Network: HTTP là gì?,- Port 80\n- Nền tảng của việc trao đổi dữ liệu trên World Wide Web.,* HTTP: Hypertext Transfer Protocol
20449028-3617-49ed-b87c-002e1539975e,Là dịch vụ mạng không mã hóa. Dùng để truyền tải tệp tin đơn giản bằng UDP giữa các thiết bị mà không cần xác thực.,Network: TFTP là gì?,"- Port 69\n- Chạy trên UDP, thường dùng để nạp firmware hoặc cấu hình cho thiết bị mạng.",* TFTP: Trivial File Transfer Protocol
f7d303d0-30b3-4b49-b8fb-8a1419a21d4c,Là dịch vụ mạng không mã hóa. Dùng để tìm kiếm và truy xuất tài liệu theo cấu trúc phân cấp (menu-driven).,Network: Gopher là gì?,"- Port 70\n- Tiền thân của World Wide Web, phát triển mạnh vào đầu thập niên 90 trước khi bị HTTP thay thế.",* Gopher Protocol
427d8578-039b-4232-a87f-94dc7c6db6a7,Là dịch vụ mạng không mã hóa. Dùng để tự động hóa cung cấp địa chỉ IP có thời hạn được yêu cầu từ các thiết bị trong mạng.,Network: DHCP là gì?,"- Port 67 (Server), 68 (Client)\n- Giúp quản lý IP tập trung, tránh trùng lặp IP trong mạng.",* DHCP: Dynamic Host Configuration Protocol
8dd29c4a-c0cb-4622-8841-2466543139be,Là giao thức liên kết mạng không mã hóa. Dùng để tìm và đối chiếu địa chỉ MAC tương ứng với địa chỉ IP giữa các thiết bị trong mạng.,Network: ARP là gì?,- Hoạt động ở Layer 2.5 (giữa Data Link và Network),* ARP: Address Resolution Protocol
eef1bb9d-e692-4802-9c85-785e534c7a8c,"Là giao thức truyền tải mạng không mã hóa. Dùng để truyền tải dữ liệu có trình tự, tin cập và không tổn hao.",Network: TCP là gì?,"- Sử dụng cơ chế ""Bắt tay 3 bước"" (3-way handshake).",* TCP: Transmission Control Protocol
