id,answer,question,desc,ref
f1cad9ed-4bd6-4568-8083-7f2d69b3cda3,11,"Theo Mitre Att&ck - Enterprise, chiến thuật ""Reconnaissance"" có bao nhiêu kỹ thuật?","- Active Scanning, Gather Victim Host Information, Gather Victim Identity Information, Gather Victim Network Information, Gather Victim Org Information, Phishing for Information, Search Closed Sources, Search Open Technical Databases, Search Open Websites/Domains, Search Threat Vendor Data, Search Victim-Owned Websites. \n\n* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Enterprise - Doanh nghiệp/Tổ chức",
5550da19-7fb9-4108-b8e7-13d0ebacc4b9,Kẻ tấn công sẽ cố gắng thu thập thông tin có thể sử dụng để lập kế hoạch cho các hoạt động khai thác trong tương lai,"Theo Mitre Att&ck - Enterprise, mục tiêu của kẻ tấn công khi thực hiện chiến thuật ""Reconnaissance"" là gì?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Enterprise - Doanh nghiệp/Tổ chức",
866475b6-879d-4902-aa68-ea179c02ea19,T1589,"Theo Mitre Att&ck - Enterprise, đâu là id kỹ thuật ""Gather Victim Identity Information"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Gather Victim Identity Information - Thu thập thông tin định danh/danh tính của nạn nhân",
fadebe70-5059-4498-a650-89ac2cb26555,T1590,"Theo Mitre Att&ck - Enterprise, đâu là id kỹ thuật ""Gather Victim Network Information"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Gather Victim Network Information - Thu thập thông tin mạng của nạn nhân",
0a430d8d-2b30-4e16-98ba-da24698ec211,T1591,"Theo Mitre Att&ck - Enterprise, đâu là id kỹ thuật ""Gather Victim Org Information"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Gather Victim Organization Information - Thu thập thông tin tổ chức của nạn nhân",
5d413af9-2111-4dfa-82aa-c9d186f819cb,T1592,"Theo Mitre Att&ck - Enterprise, đâu là id kỹ thuật ""Gather Victim Host Information"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Gather Victim Host Information - Thu thập thông tin máy chủ của nạn nhân",
e91529e0-1e6d-41f2-b1ed-6e6292a759a9,T1595,"Theo Mitre Att&ck - Enterprise, đâu là id kỹ thuật ""Active Scanning"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Enterprise - Doanh nghiệp/Tổ chức\n* Active scanning - Quét chủ động",
0f3e9224-3ee5-4474-aae0-118a7335c015,T1595.001,"Theo Mitre Att&ck - Enterprise, đâu là id nhánh phụ ""Scanning IP Block"" của kỹ thuật ""Active Scanning"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n* IP: Internet Protocol - Giao thức mạng\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Enterprise - Doanh nghiệp/Tổ chức\n* Active scanning - Quét chủ động\n* Scanning IP Block - Quét chủ động theo khối địa chỉ IP",
5d6d8d93-5db1-4dd1-bffa-0d7610c972cb,T1595.002,"Theo Mitre Att&ck - Enterprise, đâu là id nhánh phụ ""Vulnerability Scanning"" của kỹ thuật ""Active Scanning"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Enterprise - Doanh nghiệp/Tổ chức\n* Active scanning - Quét chủ động\n* Vulnerability Scanning - Quét điểm yếu",
ce7db26a-0134-45f3-8946-bd4f572a45f1,T1595.003,"Theo Mitre Att&ck, đâu là id nhánh phụ ""Wordlist Scanning"" của kỹ thuật ""Active Scanning"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Active scanning - Quét chủ động\n* Wordlist Scanning - Quét từ điển/ Quét danh sách từ",
8a1f0e41-8a42-449d-9b34-f0867be5cc1e,T1598,"Theo Mitre Att&ck - Enterprise, đâu là id kỹ thuật ""Phishing for Information"" trong chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản\n* Phishing for Information - Giả mạo/lừa đảo để thu thập thông tin",
45ad7f9c-7acf-4a67-a6b7-5a97a1da0895,TA0043,"Theo Mitre Att&ck - Enterprise, đâu là id chiến thuật ""Reconnaissance""?","* Mitre Att&ck: Mitre Adversarial Tactics, Techniques & Common Knowledge - Những hiểu biết cơ bản, chiến thuật và kỹ thuật về kẻ tấn công của Mitre\n* Recon: Reconnaissance - Trinh sát\n\n* Mitre - tổ chức phi lợi nhuận, nổi tiếng với khung Mitre Att&ck\n* Adversary - Kẻ tấn công\n* Tactic - Chiến thuật\n* Technique - Kỹ thuật\n* Common Knowledge - Hiểu biết cơ bản",
