id,answer,question,hint,desc
7e202e7c-cf1f-4ee5-a73f-6a5eefb25c05,tail  -5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
61f65818-4393-41b9-85b3-50d1a704d2b7,tail  -n 5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
d5e5c6e6-4a90-44da-93ca-2d8d3882efb1,tail  access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
85161f64-2d3a-4237-b64e-e97fabe9da62,tail +6 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
7c2ecc55-ab21-4052-abed-6d451c8f9388,tail --lines 5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
ff6027ee-ea01-4b6c-b90d-4e6ad3c25630,tail --lines=5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
f1e63b90-ca3a-4e88-8b7e-1d6ec2338462,tail -5  access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
2027c976-136e-44c9-a3a1-cab727a009cd,"tail -5 ""access.log""","Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
9a2cdf84-1763-43e4-a1b5-7b5a3b866b06,tail -5 *,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
c44e0313-9cc1-492f-97d5-028c464f3cd4,tail -5 ./access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
fb2d1ca2-fbe8-46b2-afd7-6de0a7d63887,tail -5 < access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
b793daef-57db-46bc-8f93-c38e126e769c,tail -5 a*,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
edb3c2e4-fd64-4be7-bf4b-69e81c5e94fe,tail -5 a*g,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
8340e0a0-c37b-4c1c-bfe5-ec6729bc18a8,tail -5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
e7d3914c-dbe4-41ef-9d21-c98da481f892,tail -n  5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
47e91a9c-b9ce-45df-832e-23269967b2ce,tail -n -5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
eff99f2f-b9db-41ad-973d-7b8aaff591e9,tail -n 5  access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
5bb799ad-e76f-49ef-bcdf-08c8e1a46a2e,"tail -n 5 ""access.log""","Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
ac279899-c0c6-4b50-a7b6-80e4585f7b45,tail -n 5 'access.log',"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
bd69b8ef-bc50-4b1d-9a89-2add32329fe1,tail -n 5 ./access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
15b4b7b9-87de-46cc-bab5-970d1ced7249,tail -n 5 a*,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
20cdb1ef-fffe-43c7-9a94-b3b3b424f541,tail -n 5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
38bb1a18-dda4-4472-a4d3-ed5f21603045,tail -n 5 access.log;,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
0f3f97c5-fed0-4aeb-9413-a7f3038d1395,tail -n5  access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
41496370-56cc-44f9-9e04-7489a59bd54a,"tail -n5 ""access.log""","Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
9cb35ed1-94d7-4d6f-ab80-008f727905a6,tail -n5 'access.log',"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
75fc268a-752a-4735-9952-4947586b76b3,tail -n5 ./access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
e745248a-428d-42f1-8ccc-19020712a9b5,tail -n5 access.log,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
b1ead616-f0a4-423a-83d1-38368218d249,tail access.log,Trong thư mục hiện tại có một tệp tên là access.log. Lệnh nào in nội dung của tệp đó ra?,,
ade69aa1-d5c3-4d49-acb2-3ee31dc78ace,tail access.log --lines=5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
3dac1b80-23d3-44db-ac2a-cfbaa5e85701,tail access.log -n -5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
e66093f4-20df-45c6-935e-b0b9aa503a48,tail access.log -n 5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
5710def4-af56-4780-b014-b7b1190204a9,tail access.log -n5,"Lệnh nào in 5 dòng cuối cùng của tệp ""access.log""?",,
