id,answer,question,hint,desc
d336bd28-d9b9-4180-80a8-c6c7881c2aef,25.000,"Sử dụng công thức ALE = ARO × SLE, nếu SLE cho một vụ vi phạm dữ liệu là 50.000 đô la và Tỷ lệ xảy ra hàng năm ước tính (ARO) là 0,5 (một lần mỗi hai năm), thì Mức tổn thất dự kiến ​​hàng năm (ALE) là bao nhiêu?",,"- Category: Program Management; Topics: Risk Management\n\n- Mức tổn thất dự kiến ​​hàng năm (ALE) = Tỷ lệ xảy ra hàng năm (ARO) × Mức tổn thất dự kiến ​​đơn lẻ (SLE). Trong trường hợp này: ALE = 0,5 × 50.000 đô la = 25.000 đô la. Điều này có nghĩa là tổ chức nên dự kiến ​​mức tổn thất trung bình hàng năm là 25.000 đô la từ rủi ro này. ALE giúp chứng minh tính hiệu quả của các khoản đầu tư an ninh — bất kỳ biện pháp kiểm soát nào có chi phí dưới 25.000 đô la mỗi năm đều sẽ mang lại hiệu quả về chi phí."
34e47afe-e444-474a-8a5b-9f0a04069836,4624,Quản trị viên Windows cần điều tra khả năng leo thang đặc quyền. Nhà phân tích nên tìm ID Nhật ký Sự kiện Windows nào để tìm các sự kiện đăng nhập thành công?,,"- Category: Security Operations; Topics: Monitoring Alerting\n\n- Sự kiện ID 4624 của Windows ghi lại các sự kiện đăng nhập thành công, bao gồm loại đăng nhập, tên tài khoản và thông tin nguồn. Sự kiện ID 4625 cho biết các lần đăng nhập không thành công, 4720 cho biết việc tạo tài khoản người dùng và 1102 cho biết nhật ký kiểm tra đã bị xóa. Việc xem xét các sự kiện 4624 giúp xác định truy cập trái phép và leo thang đặc quyền."
405ef39c-1d76-4579-a165-adbfa7fad1a4,[green]journalctl -u sshd -f[/],"Một quản trị viên Linux muốn xem nhật ký xác thực hệ thống theo thời gian thực. Trên hệ thống sử dụng systemd, lệnh nào nên được sử dụng?",,"- Category: Security Operations; Topics: Monitoring Alerting\n\n- Lệnh journalctl được sử dụng để truy vấn nhật ký systemd. Sử dụng tùy chọn -u sshd sẽ lọc các dịch vụ daemon SSH, và cờ -f sẽ theo dõi đầu ra nhật ký theo thời gian thực (tương tự như tail -f). Đây là phương pháp được ưu tiên để xem xét nhật ký xác thực trên các hệ thống sử dụng systemd, vì nó cung cấp đầu ra nhật ký có cấu trúc và có thể lọc được."
4dcaa459-b090-4ec1-be1a-cfad214547b1,A fingerprint scan,"Câu nào sau đây là ví dụ về yếu tố xác thực ""something you are""?",* Quét dấu vân tay,"- Category: General Concepts; Topics: Authentication Authorization\n\n* A fingerprint scan: Quét dấu vân tay\n- Quét dấu vân tay là một yếu tố xác thực sinh trắc học, thuộc loại ""thứ bạn là"". Ba loại yếu tố xác thực chính là: thứ bạn biết (mật khẩu, mã PIN), thứ bạn có (thẻ thông minh, khóa bảo mật, mã thông báo) và thứ bạn là (sinh trắc học như dấu vân tay, quét võng mạc, nhận dạng khuôn mặt)."
9e778a4f-098b-46e4-925f-09fa13315b34,"A formal patch management process with testing, approval, and deployment timelines",Một phần mềm quét lỗ hổng bảo mật báo cáo rằng một số máy chủ thiếu các bản vá lỗi quan trọng được phát hành cách đây ba tháng. Nhóm CNTT cho biết họ đã trì hoãn việc vá lỗi vì lo ngại về khả năng tương thích của ứng dụng. Cần thực hiện quy trình nào để giải quyết vấn đề này?,"* Một quy trình quản lý bản vá chính thức với các mốc thời gian thử nghiệm, phê duyệt và triển khai","- Category: Security Operations; Topics: Endpoint Security\n\n* A formal patch management process with testing, approval, and deployment timelines: Một quy trình quản lý bản vá chính thức với các mốc thời gian thử nghiệm, phê duyệt và triển khai\n- Quy trình quản lý bản vá chính thức bao gồm việc thử nghiệm các bản vá trong môi trường phi sản xuất để xác minh khả năng tương thích, xin phê duyệt từ bộ phận quản lý thay đổi và triển khai trong khung thời gian xác định dựa trên mức độ nghiêm trọng. Quy trình này cân bằng giữa nhu cầu cập nhật bảo mật kịp thời với các vấn đề về tính ổn định của ứng dụng, đảm bảo rằng các bản vá quan trọng không bị trì hoãn vô thời hạn."
9a25de63-375f-4242-8e57-a57af2c5a67a,Acceptable Use Policy (AUP),Một tổ chức tạo ra một văn bản quy định các hành vi được chấp nhận đối với nhân viên khi sử dụng máy tính và truy cập internet của công ty. Văn bản này được gọi là gì?,* Chính sách sử dụng hợp lý,"- Category: Program Management; Topics: Security Awareness\n\n* Acceptable Use Policy (AUP): Chính sách sử dụng hợp lý\n- Chính sách sử dụng hợp lý (AUP) xác định các quy tắc và hành vi mà nhân viên cần tuân thủ khi sử dụng các nguồn lực của tổ chức, bao gồm máy tính, mạng, email và truy cập internet. Chính sách này thường bao gồm các hoạt động bị cấm, hướng dẫn sử dụng cá nhân, thông tin về việc giám sát và hậu quả đối với các vi phạm chính sách. AUP là những chính sách bảo mật cơ bản thiết lập các kỳ vọng về hành vi."
af138a8e-6777-4a59-8ea0-df8061052e83,Active log files that were not deleted,Một chuyên gia phân tích pháp y phát hiện ra rằng kẻ tấn công đã sử dụng các kỹ thuật chống pháp y để xóa sạch dung lượng trống trên một máy chủ bị xâm nhập. Loại bằng chứng nào sau đây VẪN có thể thu thập được bất chấp việc xóa dữ liệu?,* Các tệp nhật ký đang hoạt động chưa bị xóa,"- Category: Security Operations; Topics: Digital Forensics\n\n* Active log files that were not deleted: Các tệp nhật ký đang hoạt động chưa bị xóa\n- Việc xóa dữ liệu trong không gian trống nhắm vào không gian đĩa chưa được phân bổ, nơi còn sót lại các tệp đã xóa. Tuy nhiên, các tệp nhật ký đang hoạt động, vẫn đang được sử dụng và không bị kẻ tấn công xóa một cách rõ ràng, sẽ vẫn còn nguyên vẹn trên các phần đã được phân bổ của đĩa. Đó là lý do tại sao việc ghi nhật ký tập trung vào một hệ thống riêng biệt rất quan trọng — ngay cả khi kẻ tấn công xóa bằng chứng cục bộ, các bản sao từ xa vẫn có thể tồn tại."
5c86e077-a431-4073-b23d-56a6a6036fbb,Aligning IT governance with business objectives,Việc triển khai khung COBIT giúp tổ chức đạt được mục tiêu chính nào?,* Đảm bảo quản trị CNTT phù hợp với mục tiêu kinh doanh,"- Category: Program Management; Topics: Governance Compliance\n\n* Aligning IT governance with business objectives: Đảm bảo quản trị CNTT phù hợp với mục tiêu kinh doanh\n- COBIT (Control Objectives for Information and Related Technologies) là một khung quản trị CNTT giúp các tổ chức điều chỉnh các hoạt động CNTT phù hợp với mục tiêu kinh doanh, quản lý rủi ro liên quan đến CNTT và đảm bảo tuân thủ. Khác với các khung kiểm soát kỹ thuật, COBIT tập trung vào quản trị và quản lý CNTT doanh nghiệp ở cấp chiến lược, thu hẹp khoảng cách giữa yêu cầu kinh doanh và triển khai kỹ thuật."
d2979cf3-4d6b-48ec-89c2-f240ebe18cc6,ARP poisoning,"Kẻ tấn công trên mạng cục bộ gửi các thông báo phản hồi ARP giả mạo để liên kết địa chỉ MAC của chúng với địa chỉ IP của cổng mặc định, khiến tất cả lưu lượng truy cập từ các máy chủ khác được chuyển hướng qua máy của kẻ tấn công. Đây là loại tấn công nào?",* Tấn công đầu độc ARP,"- Category: Threats Vulnerabilities; Topics: Attack Types\n\n* ARP poisoning: Tấn công đầu độc ARP\n- Tấn công đầu độc ARP (còn gọi là giả mạo ARP) khai thác tính chất không trạng thái của giao thức ARP bằng cách gửi các phản hồi ARP giả mạo. Vì ARP không xác thực phản hồi, các máy chủ trên mạng chấp nhận ánh xạ sai địa chỉ MAC của kẻ tấn công tới địa chỉ IP của cổng. Điều này chuyển hướng lưu lượng truy cập qua máy của kẻ tấn công, cho phép nghe lén hoặc sửa đổi dữ liệu. Kiểm tra ARP động (DAI) trên các thiết bị chuyển mạch là một biện pháp đối phó quan trọng."
b21e2162-b042-4595-b7c6-92ee65367637,Asymmetric encryption,RSA và mã hóa đường cong Elliptic (ECC) là ví dụ về loại mã hóa nào?,* Mã hóa bất đối xứng,"- Category: Security Architecture; Topics: Cryptography\n\n* Asymmetric encryption: Mã hóa bất đối xứng\n- RSA và ECC là các thuật toán mã hóa bất đối xứng sử dụng một cặp khóa có liên quan về mặt toán học: khóa công khai để mã hóa và khóa riêng tư để giải mã. Mã hóa bất đối xứng chậm hơn mã hóa đối xứng nhưng giải quyết được vấn đề phân phối khóa — bất kỳ ai cũng có thể mã hóa dữ liệu bằng khóa công khai, nhưng chỉ người nắm giữ khóa riêng tư mới có thể giải mã được. ECC cung cấp mức độ bảo mật tương đương với RSA với kích thước khóa nhỏ hơn, giúp nó hiệu quả hơn cho các thiết bị di động và IoT."
