id,answer,question,hint,desc
25ceace4-651b-455f-a7c2-968389da4d4e,Absolute magnitude,Translate to English: Cấp sao tuyệt đối,,
f5a6be66-ef3e-42aa-9eea-c105eb5ab241,Age,Translate to English: Tuổi,,
4176a695-d47a-4215-b64e-fb3057a78de3,Apparent magnitude,Translate to English: Cấp sao biểu kiến,,
066e74c2-7cdb-4fd2-873a-8d062e7e090b,Constellation,Translate to English: Chòm sao,,
87ce0f49-73a0-42c6-91a7-3b405cc02aa4,Declination,Translate to English: Xích vĩ,,
2d8c434a-aed7-46bb-90f5-f8642b11d302,Distance,Translate to English: Khoảng cách,,
3f269ac4-0dd1-426d-a979-8904281db328,Evolutionary stage,Translate to English: Giai đoạn tiến hóa,,
7a3f8d2d-53fb-402f-bea8-d54b190c38cf,Luminosity,Translate to English: Độ sáng,,
bc2db3ae-a548-4d1e-8966-e47e9d6d4467,Mass,Translate to English: Khối lượng,,
ecc9d7ae-5aba-4e40-80ee-8478751c0fd9,Metallicity,Translate to English: Độ kim loại,,
cf70c40d-44f4-4ebf-b963-c6923468be55,Proper motion,Translate to English: Chuyển động riêng,,
b7b66009-195e-4d8d-b99c-7d394a226c3a,Radial velocity,Translate to English: Vận tốc xuyên tâm,,
f3c53007-ef30-4ab0-8352-05a57b455642,Radius,Translate to English: Bán kính,,
ee29377c-74cf-466e-8e4e-141688576661,Right ascension,Translate to English: Xích kinh,,
eb518b60-5a18-4512-a009-c426b0410c1d,Surface gravity,Translate to English: Hấp dẫn bề mặt,,
7653de26-ce86-488e-b16c-54961003bada,Temperature,Translate to English: Nhiệt độ,,
