id,answer,question,hint,desc
4aef2485-0593-4cb0-a825-bc3a746dbcd8,5,Cyber Security: Hacking có bao nhiêu giai đoạn?,- GSGMC,"- Reconnaissance, Scanning, Gaining Access, Maintaining Access và Clearing Tracks"
955b18a7-e45b-4473-a475-4d73c00df438,7,Cyber Security: Ethical Hacking có bao nhiêu giai đoạn?,,"- Pre-engagement, Reconnaissance, Scanning & Enumeration, Gaining Access & Exploitation, Maintaining Access, Analysis & Reporting, Post-engagement & Cleanup"
177424fb-179f-4711-8ab7-4cee7385ff63,Analysis & Reporting,Cyber Security: Giai đoạn nào là giai đoạn thứ sáu trong quá trình Ethical Hacking?,"- Viết báo cáo, đề xuất khắc phục",* Analysis & Reporting: Phân tích và báo cáo
8eb56779-e4c4-4a08-81f3-4d56db04c6cb,Clearing Tracks,Cyber Security: Giai đoạn nào là giai đoạn cuối cùng trong quá trình Hacking?,"- Để tránh bị các quản trị viên hệ thống hoặc cơ quan chức năng phát hiện, hacker sẽ cố gắng xóa mọi bằng chứng về sự hiện diện của mình.",* Clearing Tracks: Xóa dấu vết
aae252b6-64b4-4499-88b6-eeb321d69b6b,Gaining Access & Exploitation,Cyber Security: Giai đoạn nào là giai đoạn thứ ba trong quá trình Hacking?,- Sử dụng các lỗ hổng đã tìm thấy để xâm nhập.,* Gaining Access & Exploitation: Chiếm quyền và khai thác lỗi
80c716dc-ae6f-40f3-9d2a-e3cc0f30f1bf,Gaining Access & Exploitation,Cyber Security: Giai đoạn nào là giai đoạn thứ tư trong quá trình Ethical Hacking?,- Thực hiện việc xâm nhập,* Gaining Access & Exploitation: Chiếm quyền và khai thác lỗi
fec1704f-903e-497f-ab47-fac28d5e0e58,Maintaining Access,Cyber Security: Giai đoạn nào là giai đoạn thứ năm trong quá trình Ethical Hacking?,- Nhằm mô phỏng các mối đe dọa dai dẳng (APT).,* Maintaining Access: Duy trì quyền truy cập
1eb018ed-3cd0-418a-8c90-55114499ece5,Maintaining Access,Cyber Security: Giai đoạn nào là giai đoạn thứ tư trong quá trình Hacking?,- Muốn giữ quyền kiểm soát lâu dài ngay cả khi hệ thống được khởi động lại hoặc thay đổi mật khẩu,* Maintaining Access: Duy trì quyền truy cập
3a68bdb3-0dce-4ee1-ac5a-e91de6d8d259,Post-engagement & Cleanup,Cyber Security: Giai đoạn nào là giai đoạn cuối cùng trong quá trình Ethical Hacking?,"Xóa bỏ tất cả các tệp tin, tài khoản giả lập hoặc mã độc (Backdoors) đã cài đặt trong quá trình kiểm thử để trả lại trạng thái nguyên bản cho hệ thống của khách hàng",* Post-engagement & Cleanup: Hậu thỏa thuận/kiểm thử và dọn dẹp
5c5a3f5a-1188-41eb-b099-899d37e3f2e3,Pre-engagement,Cyber Security: Giai đoạn nào là giai đoạn đầu tiên trong quá trình Ethical Hacking?,"- Xác định mục tiêu, giới hạn và pháp lý",* Pre-engagement: Thỏa thuận
6cf716a1-bc3c-4bfc-bd1d-fb63ddc22ac2,Reconnaissance,Cyber Security: Giai đoạn nào là giai đoạn thứ hai trong quá trình Ethical Hacking?,"- Mục tiêu là xây dựng một ""hồ sơ"" về mục tiêu.",* Reconnaissance: Thu thập thông tin
8bddc4a2-be09-4382-bb30-67ffee779a8b,Reconnaissance,Cyber Security: Giai đoạn nào là giai đoạn đầu tiên trong quá trình Hacking?,- Tìm hiểu càng nhiều càng tốt về mục tiêu.,* Reconnaissance: Thu thập thông tin
3f7549eb-6408-418c-9751-b1a51e8b24cc,Scanning & Enumeration,Cyber Security: Giai đoạn nào là giai đoạn thứ ba trong quá trình Ethical Hacking?,- Sử dụng các công cụ kỹ thuật để chạm vào hệ thống và tìm cửa vào.,* Scanning & Enumeration: Quét và liệt kê hệ thống
59486b1e-ee99-4c9b-a075-9d3c7ee404a3,Scanning & Enumeration,Cyber Security: Giai đoạn nào là giai đoạn thứ hai trong quá trình Hacking?,- Sử dụng các công cụ kỹ thuật để tìm điểm yếu cụ thể.,* Scanning & Enumeration: Quét và liệt kê hệ thống
