id,answer,question,hint,desc
55702036-e104-4bc7-94e5-8f1466be1514,Activation Point,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Thuật ngữ trong lý thuyết lỗ hổng, chỉ vị trí trong mã nguồn nơi ""payload"" (mã độc) của kẻ tấn công có thể được thực thi, tức là khi mã nguồn vi phạm chính sách bảo mật dự kiến.",- Điểm kích hoạt,* Activation Point: Điểm kích hoạt
ff6c8d35-dba4-4815-ba66-b40ec1c86aca,Actor,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Thực thể tương tác với sản phẩm hoặc các thực thể khác, chẳng hạn như Người dùng, Dịch vụ, Bộ giám sát (như IDS), Trung gian, v.v.",- Tác nhân,* Actor: Tác nhân
0cf9fac3-d19c-4a7b-bd44-05d1e434a7ec,Adversary-in-the-Middle,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Kẻ tấn công có khả năng nghe lén, chặn và/hoặc sửa đổi thông tin liên lạc giữa hai bên bằng cách truy cập vào hệ thống trung gian mà luồng thông tin phải đi qua (ví dụ: bộ định tuyến).",* Kẻ tấn công ở giữa,* Adversary-in-the-Middle (AITM): Kẻ tấn công ở giữa
6e7f899b-4dc6-442e-8756-81eb36ca1a3f,Allowlist,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Danh sách các ký tự, chuỗi, mẫu hoặc phần tử được xác định là an toàn, được chấp nhận hoặc xử lý mà không cần sửa đổi.",- Danh sách cho phép,* Allowlist: Danh sách cho phép
942022ab-6585-46f1-8ade-144eb814d644,Attack Pattern,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Cách tiếp cận và các thuộc tính chung liên quan đến việc khai thác một điểm yếu trong phần mềm, phần sụn (firmware), phần cứng hoặc dịch vụ.",- Mẫu tấn công,* Attack Pattern: Mẫu tấn công
a947e763-c01b-4208-ba58-285ccfb89604,Attacker,Nội dung sau đây chỉ thuật ngữ nào?\n\t- Một tác nhân cố gắng truy cập vào các hành vi hoặc tài nguyên nằm ngoài phạm vi kiểm soát dự kiến của sản phẩm dành cho tác nhân đó.,- Kẻ tấn công,* Attacker: Kẻ tấn công
ab93a742-d76d-453e-92c4-9e007c4b6384,Authentication,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Quá trình xác minh một tác nhân có danh tính thực sự cụ thể, thường bằng cách kiểm tra thông tin mà sản phẩm giả định chỉ tác nhân đó mới có.",- Xác thực,* Authentication: Xác thực
677a0e79-26f2-4ec0-942e-93bb3de39042,Authorization,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Quá trình xác định xem một tác nhân với danh tính đã cho có được phép truy cập vào một tài nguyên hay không, dựa trên các chính sách bảo mật.",- Cấp phép hoặc Ủy quyền,* Authorization: Cấp phép/Ủy quyền
8fb08c46-c36b-4e6c-bbe3-90b65a7374f2,Base Weakness,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Điểm yếu được mô tả ở mức độ trừu tượng vừa phải, đủ chi tiết để suy ra các phương pháp phát hiện và ngăn chặn cụ thể.",- Điểm yếu cơ sở,* Base Weakness: Điểm yếu cơ sở
dc588873-ee78-4f38-bfde-f9d96ab2a45d,Behavior,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Một hành động mà sản phẩm thực hiện, thường được triển khai trong mã nguồn hoặc được đại diện bởi một thuật toán.",- Hành vi,* Behavior: Hành vi
3d48a852-7422-4538-b2ce-4a225d9266a6,Business Logic,Nội dung sau đây chỉ thuật ngữ nào?\n\t- Các quy tắc nghiệp vụ đặc thù của miền ứng dụng. CWE khuyến cáo hạn chế dùng thuật ngữ này vì nó khó phát hiện bằng công cụ tự động.,- Logic nghiệp vụ,* Business Logic: Logic nghiệp vụ
fb005ffc-b277-4312-9a63-3a80ce3db69a,Callable,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Thuật ngữ trừu tượng cho hàm, phương thức, thủ tục... có thể được gọi tên trực tiếp.",- Phần tử có thể gọi,* Callable: Phần tử có thể gọi
950bf922-585c-4bb0-8fa3-d407d8594d43,Canonicalization,Nội dung sau đây chỉ thuật ngữ nào?\n\t- Hành vi chuyển đổi một đầu vào/đầu ra về một dạng cố định duy nhất không thể rút gọn thêm được nữa (ví dụ: chuyển đường dẫn tương đối thành đường dẫn tuyệt đối).,- Chuẩn hóa dạng thức,* Canonicalization: Chuẩn hóa dạng thức
43ac25a9-218d-45c2-a699-c5b0cf108c27,Category,Nội dung sau đây chỉ thuật ngữ nào?\n\t- Một mục CWE chứa một tập hợp các mục khác có chung đặc điểm để giúp người dùng tra cứu.,- Danh mục,* Category: Danh mục
895efb6e-8602-4519-91d5-999433762981,Chain,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Một phần tử hợp phức là một chuỗi gồm hai hoặc nhiều điểm yếu riêng biệt có liên quan chặt chẽ, trong đó điểm yếu này tạo điều kiện cho điểm yếu kia.",- Chuỗi,* Chain: Chuỗi
51cb89ac-aedd-4039-a1b9-806a1fefa355,Check,Nội dung sau đây chỉ thuật ngữ nào?\n\t- Xem xét một tài nguyên hoặc trạng thái hệ thống để xác định xem chúng có phù hợp với mong đợi của sản phẩm hay không.,- Kiểm tra,* Check: Kiểm tra
48b9e9e9-ebc6-4f5d-b927-1f58f8aa06bb,Class Weakness,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Điểm yếu được mô tả ở mức độ rất trừu tượng, thường độc lập với bất kỳ ngôn ngữ hoặc công nghệ cụ thể nào.",- Điểm yếu của lớp,* Class Weakness: Điểm yếu của lớp
0184bdd3-9d8d-4b56-bbcb-f0212ad71ed5,Cleartext,"Nội dung sau đây chỉ thuật ngữ nào?\n\t- Thông tin không được mã hóa, mặc dù có thể ở dạng mã hóa dễ đọc (như base64).",- Văn bản rõ,* Cleartext: Văn bản rõ
