id,answer,question,hint,desc
341fa45c-e136-4e9e-b13d-de2a52428144,Collection,Mitre Att&ck: Kẻ tấn công cố gắng thu thập dữ liệu mà chúng chú ý. Đây là chiến thuật nào?,,
cb554e32-94c5-4f35-ab17-66fba8d7d2bb,Credential Access,Mitre Att&ck: Kẻ tấn công cố gắng trộm tài khoản và mật khẩu. Đây là chiến thuật nào?,,
8b6829e0-8f23-4b0f-a06b-d2ef4b5426ed,Defense Impairment,"Mitre Att&ck: Kẻ tấn công cố gắng phá hủy cơ chế bảo mật, ống nối (pipelines) và công cụ phòng thủ không thể nhận biết hoặc không thể tin tưởng hiện trạng đang diễn ra. Đây là chiến thuật nào?",,
693119a5-0248-481f-be37-9b3749647822,Discovery,Mitre Att&ck: Kẻ tấn công cố gắng tìm hiểu môi trường mục tiêu. Đây là chiến thuật nào?,,
c4f11402-8e33-442c-b35a-45062ec79ed9,Execution,Mitre Att&ck: Kẻ tấn công cố gắng chạy mã độc. Đây là chiến thuật nào?,,
01bc0bdc-14fb-4b89-b0cb-90e7afead0ce,Initial Access,Mitre Att&ck: Kẻ tấn công cố gắng truy cập mạng cụ thể. Đây là chiến thuật nào?,,
cc0f0a4a-0393-4fdf-92f3-a41746c8585a,Lateral Movement,Mitre Att&ck: Kẻ tấn công cố gắng di chuyển qua lại giữa môi trường mục tiêu. Đây là chiến thuật nào?,,
cbd8dcad-073c-4983-8115-65a28a9eb0f8,Persistence,Mitre Att&ck: Kẻ tấn công cố gắng duy trì vị trí của chúng. Đây là chiến thuật nào?,,
f31fc4c3-36a2-428c-bc8a-b111a7fb3e5e,Privilege Escalation,Mitre Att&ck: Kẻ tấn công cố gắng lấy quyền hạn cao nhất. Đây là chiến thuật nào?,,
aadd1005-bce8-4133-aaed-4a9d2e5e0577,Reconnaissance,Mitre Att&ck: Kẻ tấn công cố gắng thu thập thông tin mà họ có thể sử dụng để lập kế hoạch chiến dịch tương lai. Đây là chiến thuật nào?,,
46620544-baf2-49f7-bf94-f20715d47453,Resource Development,Mitre Att&ck: Kẻ tấn công cố gắng thiết lập tài nguyên mà họ có thể sử dụng để cung cấp chiến dịch. Đây là chiến thuật nào?,,
2c448da2-5c4e-421a-bb3e-d87af4b06991,Stealth,Mitre Att&ck: Kẻ tấn công cố gắng ẩn giấu các hành động và sự hiện diện của chúng. Đây là chiến thuật nào?,,
