id,answer,question,desc,ref
d6fea032-1b3d-4f36-86e8-712493f71f63,{BRIGHT_GREEN}ls *{BRIGHT_BLUE}.php{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê các tệp có đuôi {BRIGHT_BLUE}.php{RESET}?",,
7f51bb4e-e02c-4b8b-b842-4fd40a564d87,"{BRIGHT_GREEN}ls *{BRIGHT_BLUE}.{png,jpg,gif}{RESET}","Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê các tệp có đuôi {BRIGHT_BLUE}.png, .jpg, .gif{RESET}?",,
466806b3-bb35-4de6-b0da-9f13dad3fe48,{BRIGHT_GREEN}ls -A{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê các thư mục và tệp (kể cả bị ẩn đi) nhưng không hiển thị thư mục gốc?",,
1d637f2f-37a3-499d-b89d-cebf46a3dffb,{BRIGHT_GREEN}ls -a{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê tất cả các thư mục và tệp (kể cả bị ẩn đi)?",,
2eefc3f1-8f74-436f-a28c-c04f157fe2b0,{BRIGHT_GREEN}ls -F{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê và phân loại tất cả các thư mục và tệp?",,
52977a0b-b63c-4bc1-82a5-d40fc8e83e74,{BRIGHT_GREEN}ls -g{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê và chỉ hiện group giữa các thư mục và tệp?",,
9a2f47e9-0d5d-47fc-911e-6e742a5561b0,{BRIGHT_GREEN}ls -lcr{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê và sắp xếp theo tên có thời gian thay đổi metadata cũ nhất lên đầu (ctime) giữa các thư mục và tệp?",,
0f0324c2-0bbd-4e68-888e-dccad4c22059,{BRIGHT_GREEN}ls -lc{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê và sắp xếp theo tên có thời gian thay đổi metadata mới nhất lên đầu (ctime) giữa các thư mục và tệp?",,
399c6881-8cca-427b-840e-ab92455420bc,{BRIGHT_GREEN}ls -lh{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê và hiển thị kích thước giữa các thư mục và tệp?",,
f6e43cca-f683-4506-9358-b39a0af37b06,{BRIGHT_GREEN}ls -lSr{RESET},"Một người dùng sử dụng tiện ích dòng lệnh {BRIGHT_GREEN}ls{RESET} để tương tác với thư mục {BRIGHT_BLUE}Document{RESET}. Trong số các lệnh sau, lệnh nào người dùng nên sử dụng để liệt kê và sắp xếp theo kích thước nhẹ nhất giữa các thư mục và tệp?",,
