id,answer,question,hint,desc
341fa45c-e136-4e9e-b13d-de2a52428144,Collection,Mitre Att&ck: Đối thủ đang cố gắng thu thập dữ liệu quan trọng phục vụ cho mục tiêu của chúng. Đây là chiến thuật nào?,,
11a5f4f3-66e8-4517-b2e6-935b427f6d3e,Command and Control,Mitre Att&ck: Đối thủ đang cố gắng liên lạc với các hệ thống đã bị xâm nhập để kiểm soát chúng. Đây là chiến thuật nào?,,
cb554e32-94c5-4f35-ab17-66fba8d7d2bb,Credential Access,Mitre Att&ck: Đối thủ đang cố gắng đánh cắp tên tài khoản và mật khẩu. Đây là chiến thuật nào?,,
8b6829e0-8f23-4b0f-a06b-d2ef4b5426ed,Defense Impairment,"Mitre Att&ck: Đối thủ đang cố gắng phá vỡ các cơ chế bảo mật, quy trình và công cụ để những người phòng thủ không thể nhìn thấy hoặc tin tưởng vào những gì đang diễn ra. Đây là chiến thuật nào?",,
693119a5-0248-481f-be37-9b3749647822,Discovery,Mitre Att&ck: Đối thủ đang cố gắng tìm hiểu môi trường của bạn. Đây là chiến thuật nào?,,
c4f11402-8e33-442c-b35a-45062ec79ed9,Execution,Mitre Att&ck: Đối thủ đang cố gắng chạy mã độc. Đây là chiến thuật nào?,,
755d6efa-d488-4310-a252-35b0549be857,Exfiltration,Mitre Att&ck: Đối thủ đang cố gắng đánh cắp dữ liệu. Đây là chiến thuật nào?,,
7844f43d-c2cd-48e7-ac34-410c14617711,Impact,"Mitre Att&ck: Đối thủ đang cố gắng thao túng, làm gián đoạn hoặc phá hủy các hệ thống và dữ liệu của bạn. Đây là chiến thuật nào?",,
01bc0bdc-14fb-4b89-b0cb-90e7afead0ce,Initial Access,Mitre Att&ck: Đối thủ đang cố gắng xâm nhập vào mạng lưới của bạn. Đây là chiến thuật nào?,,
cc0f0a4a-0393-4fdf-92f3-a41746c8585a,Lateral Movement,Mitre Att&ck: Đối thủ đang cố gắng di chuyển trong môi trường của bạn. Đây là chiến thuật nào?,,
cbd8dcad-073c-4983-8115-65a28a9eb0f8,Persistence,Mitre Att&ck: Đối thủ đang cố gắng duy trì chỗ đứng của mình. Đây là chiến thuật nào?,,
f31fc4c3-36a2-428c-bc8a-b111a7fb3e5e,Privilege Escalation,Mitre Att&ck: Đối thủ đang cố gắng giành được các quyền cấp cao hơn. Đây là chiến thuật nào?,,
aadd1005-bce8-4133-aaed-4a9d2e5e0577,Reconnaissance,Mitre Att&ck: Đối thủ đang cố gắng thu thập thông tin mà chúng có thể sử dụng để lập kế hoạch cho các hoạt động trong tương lai. Đây là chiến thuật nào?,,
46620544-baf2-49f7-bf94-f20715d47453,Resource Development,Mitre Att&ck: Đối thủ đang cố gắng thiết lập các tài nguyên mà chúng có thể sử dụng để hỗ trợ các hoạt động của mình. Đây là chiến thuật nào?,,
2c448da2-5c4e-421a-bb3e-d87af4b06991,Stealth,"Mitre Att&ck: Đối thủ đang cố gắng che giấu các hành động của mình, khiến chúng trông giống như hành vi bình thường. Đây là chiến thuật nào?",,
